,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.002054444942471384,0.0022256165724476584,0.0021739518969752947,0.0021447940906731485,0.002238290086075332,0.0023022993787147512,0.0019495186746586737,0.0018645116808375267,0.002028811128350237,0.001912293148046777
t1,2.4471826043202704e-6,2.672496607631146e-6,2.597841676180124e-6,2.562231114849258e-6,2.6674016352229676e-6,2.7975654018815473e-6,2.301244089879449e-6,2.2212849196853715e-6,2.4199472245128e-6,2.3072376589810633e-6
t2,2.4466918790562816e-6,2.6699544569137662e-6,2.597102880673798e-6,2.560208065613685e-6,2.6596907781444686e-6,2.781258676545254e-6,2.2932378581520837e-6,2.2243406992704538e-6,2.4151770674806837e-6,2.30726706895786e-6
t3,2.4442935058784245e-6,2.6701558284830694e-6,2.5966547733058846e-6,2.559154231828282e-6,2.657299052843081e-6,2.7648769429893756e-6,2.288073760504156e-6,2.2228602414462847e-6,2.4134448668111314e-6,2.3072247561458046e-6
t4,2.4462538890416093e-6,2.669772547102731e-6,2.595333890690581e-6,2.558169677873469e-6,2.6549082278026544e-6,2.7615841330782395e-6,2.289572223272088e-6,2.224755792185077e-6,2.4119728377663365e-6,2.306047864830845e-6
t5,2.444630811724514e-6,2.6682442379171804e-6,2.5939909345625116e-6,2.5577918367045344e-6,2.650714195415655e-6,2.75321212911585e-6,2.2856831609190823e-6,2.222810792198639e-6,2.4100238268634697e-6,2.305636598361412e-6
t6,2.44125519484645e-6,2.673023679798607e-6,2.6001774661668163e-6,2.564559323219008e-6,2.6554828136867777e-6,2.7469877274808765e-6,2.290203576590957e-6,2.2186674161341243e-6,2.4147587755247863e-6,2.31170348699309e-6
t7,2.4400971048147324e-6,2.6728092600545085e-6,2.6021462534645734e-6,2.56481846717992e-6,2.651614832982056e-6,2.7408455784735016e-6,2.287481742537253e-6,2.2175826998007072e-6,2.4131417190741946e-6,2.3130436306788607e-6
t8,2.439795100841687e-6,2.6733583450311e-6,2.602757862246714e-6,2.564176122856144e-6,2.646928075809341e-6,2.7422934001088583e-6,2.2867767043265363e-6,2.216119534261347e-6,2.4124168637716384e-6,2.3138123134526915e-6
t9,2.4400459755781025e-6,2.672933372617413e-6,2.603102665472034e-6,2.563693729122624e-6,2.6415245009387683e-6,2.748259617648387e-6,2.28397668538557e-6,2.2142341636110037e-6,2.4117248482476475e-6,2.314176470336667e-6
t10,2.4393310382498686e-6,2.6704711776519605e-6,2.601454638919973e-6,2.56102348191474e-6,2.631333312069867e-6,2.7514438498576244e-6,2.2526078592930337e-6,2.211824397947408e-6,2.41245636096317e-6,2.3136636273461776e-6
t11,2.4456833612606153e-6,2.6748122061811683e-6,2.6065758837789544e-6,2.5668191936472304e-6,2.627590012548526e-6,2.7548181496931156e-6,2.2303749174999843e-6,2.2190123756818077e-6,2.4176027257014813e-6,2.318477731715224e-6
t12,2.4449966346045238e-6,2.6721311432457016e-6,2.604749416991177e-6,2.5640482907395656e-6,2.6198258435762083e-6,2.7578323725023763e-6,2.216431388063343e-6,2.2171443219813326e-6,2.4166863128860015e-6,2.3167162731819607e-6
t13,2.444231538438195e-6,2.6701993287147005e-6,2.603845769348988e-6,2.563261229667275e-6,2.6174840005426173e-6,2.760865564570162e-6,2.211387274568166e-6,2.2171096267871485e-6,2.4158615571333063e-6,2.316395394263832e-6
t14,2.4429461433217016e-6,2.668444398416347e-6,2.602624779233696e-6,2.5622890750878266e-6,2.6177091986914826e-6,2.7615352841145077e-6,2.2147506169424147e-6,2.217013549462298e-6,2.414832707189636e-6,2.315830196504521e-6
t15,2.439620674967472e-6,2.664913659989099e-6,2.5995474434231168e-6,2.5599070694001714e-6,2.6213324708701646e-6,2.7610726879977665e-6,2.225970119627559e-6,2.215893302882075e-6,2.412665562675261e-6,2.3137447588480366e-6
