,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.017541237097094813,0.01903491001339757,0.018581989616686407,0.01834129308113228,0.019164861940711386,0.01974605127164651,0.01669770992304274,0.015929177968319923,0.017380569225606702,0.016403269748958234
t1,2.0894277003078146e-5,2.285681859966433e-5,2.220523601805288e-5,2.191099054781698e-5,2.2839023854185462e-5,2.3994094768160175e-5,1.9710226173248403e-5,1.897730082367705e-5,2.07313756187916e-5,1.979115951271881e-5
t2,2.089010038237948e-5,2.2835086739081366e-5,2.219894036970284e-5,2.1893710055405286e-5,2.277298792324521e-5,2.3854216259789237e-5,1.964165035279737e-5,1.900339675693207e-5,2.0690510658446423e-5,1.9791423982218943e-5
t3,2.0869635468205756e-5,2.2836818866014356e-5,2.2195124480195913e-5,2.1884715277914913e-5,2.2752513568077552e-5,2.371369746067832e-5,1.9597415348410036e-5,1.8990735485682576e-5,2.0675670654524815e-5,1.9791068034832638e-5
t4,2.0886401281677744e-5,2.2833546348023815e-5,2.2183833703857487e-5,2.1876292212177658e-5,2.2732039843336176e-5,2.3685468164046766e-5,1.9610250590125206e-5,1.900691272806452e-5,2.0663058543761122e-5,1.9780972612052654e-5
t5,2.0872560391847804e-5,2.2820481965027782e-5,2.217235748381164e-5,2.1873072971184378e-5,2.2696115062465904e-5,2.3613667224237228e-5,1.957693377830313e-5,1.8990293683106733e-5,2.0646361382503778e-5,1.9777446623313203e-5
t6,2.0843671994595674e-5,2.2861350962908976e-5,2.2225240488425735e-5,2.1930975740650978e-5,2.2736959992645338e-5,2.3560309054659073e-5,1.9615647301589802e-5,1.8954888649211578e-5,2.068693300768265e-5,1.982949374397015e-5
t7,2.0833795242449456e-5,2.285952133564576e-5,2.224207771237221e-5,2.1933199715013497e-5,2.2703821378689127e-5,2.3507618498101137e-5,1.9592335223833675e-5,1.8945624912939804e-5,2.067307966040693e-5,1.9840992005591546e-5
t8,2.083122348100155e-5,2.2864219593285467e-5,2.224730449286427e-5,2.1927703085060985e-5,2.2663662254791482e-5,2.3520031236557342e-5,1.9586297406497133e-5,1.8933125579731065e-5,2.0666869699633113e-5,1.984758829342293e-5
t9,2.083337234215418e-5,2.286058394266683e-5,2.225024857269755e-5,2.192357337852811e-5,2.261735567187449e-5,2.3571196710029777e-5,1.9562304130536117e-5,1.891701327640759e-5,2.0660942370630015e-5,1.9850712961206692e-5
t10,2.082730220331034e-5,2.2839531355522254e-5,2.2236171577261095e-5,2.190075162225934e-5,2.2530018350626285e-5,2.359848147831289e-5,1.929355587673812e-5,1.8896415815768448e-5,2.066722180658129e-5,1.9846325219270892e-5
t11,2.0881555460348224e-5,2.2876661283653906e-5,2.2279962008589927e-5,2.1950349934196303e-5,2.2497898054581578e-5,2.3627422368936185e-5,1.9103066372105416e-5,1.8957811437168832e-5,2.0711330567407627e-5,1.9887635655222897e-5
t12,2.0875708679347687e-5,2.2853734708595476e-5,2.226435517258825e-5,2.192664718410222e-5,2.2431368890140418e-5,2.3653270285462013e-5,1.898361054446959e-5,1.8941847631849808e-5,2.0703484405376483e-5,1.987252813743938e-5
t13,2.08691805624003e-5,2.2837222689273416e-5,2.225662969523814e-5,2.1919915494423117e-5,2.2411304009735408e-5,2.3679284084812906e-5,1.8940398673531055e-5,1.894154251727748e-5,2.069641899034237e-5,1.986977495567206e-5
t14,2.0858199800332555e-5,2.2822218255609115e-5,2.2246186788585565e-5,2.1911596792092447e-5,2.2413243696093877e-5,2.3685031475404576e-5,1.8969220608550763e-5,1.894071535494121e-5,2.0687601819508518e-5,1.986492250075139e-5
t15,2.08297857600479e-5,2.279202513221219e-5,2.2219868047832594e-5,2.189121091942358e-5,2.2444318141195006e-5,2.368107259400627e-5,1.90653528382538e-5,1.8931141022020906e-5,2.0669027778137177e-5,1.9847022073221426e-5
t16,2.0850879339267168e-5,2.2809662179006775e-5,2.2251477283812984e-5,2.1934498313519656e-5,2.2533763240653844e-5,2.3713323890188536e-5,1.929485155550991e-5,1.897279802965386e-5,2.0691544246887956e-5,1.98695519399369e-5
t17,2.0825819221801776e-5,2.2782407000500373e-5,2.2248552245133928e-5,2.191981416715636e-5,2.2542641144476945e-5,2.376561901285913e-5,1.9515104524780153e-5,1.8966071476266547e-5,2.0668736545566426e-5,1.9855992921974715e-5
t18,2.0819530461379075e-5,2.2775504524568866e-5,2.2244464305177214e-5,2.1907641712797343e-5,2.2563642439954944e-5,2.3983708792671244e-5,1.9783560335576505e-5,1.8968758611135e-5,2.0651640692666295e-5,1.9830794414500733e-5
t19,2.0803468569317834e-5,2.2752096322383275e-5,2.2218426318860906e-5,2.1884604818597646e-5,2.259913422279434e-5,2.4096577286430916e-5,1.9803895769311296e-5,1.894755714320266e-5,2.0644950658093747e-5,1.9803948594374603e-5
t20,2.0786489226252185e-5,2.2719521111913445e-5,2.218947512100995e-5,2.1857887760134357e-5,2.262153085598601e-5,2.4135435856043702e-5,1.9930276417058788e-5,1.8925807810151767e-5,2.0634203860741885e-5,1.97678190525963e-5
t21,2.0824963907497456e-5,2.2744480906369486e-5,2.2209216788360067e-5,2.1892965073817915e-5,2.2712140478195535e-5,2.4004201134128273e-5,1.991233321126385e-5,1.8963045842027573e-5,2.068090184986308e-5,1.978271516753768e-5
t22,2.0818739004343816e-5,2.2726418248687053e-5,2.2182861793059812e-5,2.1878042461048325e-5,2.2711987045657535e-5,2.3996296771855753e-5,1.988794746993209e-5,1.8947207628217045e-5,2.0671238470272587e-5,1.9755696576303294e-5
t23,2.0820904649691252e-5,2.2716628433909665e-5,2.2171770126349944e-5,2.1878304934263247e-5,2.2719187398852594e-5,2.396570128372421e-5,1.9905124939245012e-5,1.8943836048396567e-5,2.0665405193958247e-5,1.9743184495006624e-5
t24,2.082017448178712e-5,2.2707582142744306e-5,2.2149828623016893e-5,2.1865649692251588e-5,2.2691902252003365e-5,2.3924910947835234e-5,1.99059332154068e-5,1.8926897210314813e-5,2.066595680738021e-5,1.9733908596153243e-5
t25,2.081033180366244e-5,2.2694954683950173e-5,2.212497184259782e-5,2.1851006040418597e-5,2.2665638979230283e-5,2.3944855570651208e-5,1.9926737057583612e-5,1.890415558582943e-5,2.0654830419370637e-5,1.972078982371103e-5
t26,2.0888742166577097e-5,2.272379715534738e-5,2.2156371804359123e-5,2.188666817481313e-5,2.2725187655917122e-5,2.392715690427087e-5,2.0012323928599538e-5,1.898876115765598e-5,2.069214610422063e-5,1.9742928232122962e-5
t27,2.0901314552814963e-5,2.2708965352392537e-5,2.2133132563726343e-5,2.1866916506671032e-5,2.270949141108911e-5,2.3926057519324896e-5,2.0090868819354875e-5,1.9002207676348112e-5,2.068098683859583e-5,1.97284238819712e-5
t28,2.09002702510228e-5,2.27074506970546e-5,2.2122404027388324e-5,2.185936113815787e-5,2.2701412417703106e-5,2.387955412826102e-5,2.0148391294962026e-5,1.899014671561857e-5,2.0680191109332927e-5,1.972771433430794e-5
t29,2.0901331064224577e-5,2.2708042513152487e-5,2.211870047060124e-5,2.185351393956584e-5,2.2697718602581818e-5,2.3831659307515923e-5,2.0195203575707638e-5,1.898184165875994e-5,2.0682435821283294e-5,1.9732816552727886e-5
t30,2.0831422922840386e-5,2.2706814803321462e-5,2.2128009162131776e-5,2.1852674085395155e-5,2.269297764886508e-5,2.383153192352207e-5,2.0228362167517557e-5,1.8894775709741194e-5,2.0683523796731163e-5,1.974452878050728e-5
t31,2.0871004085935638e-5,2.2749869170215207e-5,2.2197641237386805e-5,2.1902172800010843e-5,2.2766894677088076e-5,2.377010176946531e-5,2.0318104145642784e-5,1.8939908089381946e-5,2.0732872449397724e-5,1.9783262565104712e-5
t32,2.08638327183491e-5,2.27478182838719e-5,2.2197794522342186e-5,2.1891078431297458e-5,2.2768517980164416e-5,2.377736031008041e-5,2.0389309055186717e-5,1.8933366874591663e-5,2.072856156412753e-5,1.9773914799429976e-5
t33,2.0883636754559158e-5,2.2779063580622456e-5,2.220119506142693e-5,2.188671469806252e-5,2.2772705076395677e-5,2.3804638498348876e-5,2.0422224435377745e-5,1.8947484302714628e-5,2.0737786787715906e-5,1.976762434380368e-5
t34,2.089556602752414e-5,2.2786053958174156e-5,2.2177236115202946e-5,2.1862299003266928e-5,2.2744232825703444e-5,2.3727543464249062e-5,2.0406887141614927e-5,1.8942226666863968e-5,2.075276837083405e-5,1.974633605378204e-5
t35,2.089414371436949e-5,2.2755589098413447e-5,2.216761638930582e-5,2.1853439975277757e-5,2.2706644179305122e-5,2.3823194752023284e-5,2.041453081157831e-5,1.893437662849537e-5,2.074230331082425e-5,1.973248064994947e-5
t36,2.093534300486607e-5,2.2783683201042088e-5,2.2184510497170916e-5,2.1885248769639492e-5,2.272303452868673e-5,2.378799331496767e-5,2.0448182430855417e-5,1.8955827888369805e-5,2.078574667625819e-5,1.9742607729042303e-5
t37,2.0917121884015362e-5,2.2756472844737625e-5,2.21601709752859e-5,2.1872667498688965e-5,2.2725341661782823e-5,2.3748100982781656e-5,2.0426705349104222e-5,1.892969655342967e-5,2.0769320809674894e-5,1.9728788571579165e-5
t38,2.090412161553022e-5,2.2748260086283747e-5,2.2146579837052045e-5,2.187661199982374e-5,2.276747282540425e-5,2.366040252520001e-5,2.036887908292163e-5,1.8915459937336204e-5,2.076352470682055e-5,1.9730457577574653e-5
t39,2.088234043984367e-5,2.2730120057151186e-5,2.2131469218902843e-5,2.1872744284961242e-5,2.2832790549405108e-5,2.3699576090867262e-5,2.035039105859619e-5,1.889466379215058e-5,2.074903485213316e-5,1.9728662368594047e-5
t40,2.0854124349057337e-5,2.2707496957486648e-5,2.211834227002641e-5,2.18568811966511e-5,2.2883031663256545e-5,2.3724678686108742e-5,2.040521777501631e-5,1.8885541348657317e-5,2.072178393106503e-5,1.971417811016259e-5
t41,2.088134699873148e-5,2.2721444265973166e-5,2.217435873090135e-5,2.1905371540696874e-5,2.297919738178309e-5,2.3666018087014183e-5,2.058733747870824e-5,1.8933833623867072e-5,2.075043777968246e-5,1.9742501824656792e-5
t42,2.087527974929265e-5,2.272002099227615e-5,2.216454731599293e-5,2.190241107066506e-5,2.299804003450531e-5,2.3708639273744208e-5,2.0709888996332117e-5,1.8935801629118097e-5,2.0728998206550813e-5,1.9724164965769658e-5
t43,2.0870257234101934e-5,2.2710014030232303e-5,2.21358436226707e-5,2.188404799367864e-5,2.303262084726397e-5,2.3502541294550262e-5,2.0690995629596732e-5,1.892473977781674e-5,2.0722326988122372e-5,1.9712193293090874e-5
t44,2.086761700244972e-5,2.2690999559017755e-5,2.2095992691704873e-5,2.1864047928403806e-5,2.305075293994157e-5,2.350563878607789e-5,2.0746014736946876e-5,1.8909792901508494e-5,2.0714658961795007e-5,1.968964648567551e-5
t45,2.0852842625033814e-5,2.2665942624510634e-5,2.20559231535905e-5,2.184046590332482e-5,2.3044534605732545e-5,2.33086315808026e-5,2.040060177066764e-5,1.8887529772980615e-5,2.0720752756855213e-5,1.967592302578944e-5
t46,2.088748570540129e-5,2.268498713273039e-5,2.207069614722954e-5,2.1871694694628985e-5,2.310335134493386e-5,2.3303942860434927e-5,2.0392985135444385e-5,1.8919377590279288e-5,2.0760977419043395e-5,1.9679691698355324e-5
t47,2.0873065508735407e-5,2.265855182930991e-5,2.2036793880982556e-5,2.1857635239865553e-5,2.3084858915760135e-5,2.3470635895503223e-5,2.035855314541322e-5,1.8896403645923198e-5,2.0738138136136834e-5,1.9642582597774097e-5
t48,2.0871378364723176e-5,2.2644796733100744e-5,2.201263976650127e-5,2.1852320935477846e-5,2.3075968125103517e-5,2.3416900529611846e-5,2.0304276999672752e-5,1.8900502320863472e-5,2.0725983001179762e-5,1.9621500980775436e-5
t49,2.0868522420685292e-5,2.2640523751389244e-5,2.1988742897010517e-5,2.1843172746105754e-5,2.3070703507415393e-5,2.33887315468959e-5,2.0296413974204516e-5,1.8895310154202384e-5,2.0707460396659798e-5,1.959557343654297e-5
t50,2.0864920332129945e-5,2.2632147535560594e-5,2.1969100444767134e-5,2.183299839543444e-5,2.3058482577671144e-5,2.3370539562552872e-5,2.0282985672058605e-5,1.889006287896326e-5,2.068296550221405e-5,1.9564425694513915e-5
t51,2.0933904911224283e-5,2.266748590300226e-5,2.2007836718277046e-5,2.1866436672952887e-5,2.3111682251330852e-5,2.3300616817617396e-5,2.031210463038029e-5,1.8961389687449454e-5,2.071400447919069e-5,1.9564845953348565e-5
t52,2.094547648547699e-5,2.266426682177204e-5,2.199554308159824e-5,2.185418245401608e-5,2.309690877410456e-5,2.3410721936086576e-5,2.0342192039177003e-5,1.897260075661196e-5,2.0690341175805042e-5,1.9533840526424304e-5
t53,2.094023674887216e-5,2.2674572885434773e-5,2.199384779889247e-5,2.1848588239671608e-5,2.308571195466417e-5,2.341800587125895e-5,2.0345654565517273e-5,1.8959555489060877e-5,2.0684921920045524e-5,1.951914642887757e-5
t54,2.087407191167151e-5,2.2688550043703005e-5,2.2017039326865023e-5,2.1856737466131167e-5,2.3080998935163364e-5,2.3392395903996092e-5,2.0354118133229136e-5,1.888248480973387e-5,2.0688502306194217e-5,1.9528588575803553e-5
t55,2.086518450920629e-5,2.26897471499852e-5,2.203878951412796e-5,2.185192948235122e-5,2.3063157372873894e-5,2.336898646358006e-5,2.0382175754211852e-5,1.8878027711870313e-5,2.0677140701362503e-5,1.952383700172764e-5
