Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
GEO_SEQ_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_INJECT_6,6,0.13686182669209568,0.22064167839574342,0.3575035050878391
GEO_SEQ_INJECT_7,7,0.12961760247931176,0.20896290844493992,0.3385805109242517
GEO_SEQ_INJECT_8,8,0.13639117472080242,0.2198829172174345,0.3562740919382369
GEO_SEQ_INJECT_9,9,0.13013894075567514,0.20980338350719044,0.3399423242628656
GEO_SEQ_INJECT_10,10,0.13113439461436108,0.21140820360534762,0.34254259821970867
GEO_SEQ_GAS_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0,0.0,0.0
