H2_Pipelines,z1,z2,z3,Max_No_Pipe,Existing_No_Pipe,Max_Flow_MW_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_MW_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_p_MWh_yr,BoosterCompEnergy,H2PipeCompCapex,H2PipeCompEnergy
1,1,-1,0,20,0,1527.944,254652.74,123.0584,46.4684,0.1,100,1269.680041,0.020314881,1290.0992889791771,0.025393601
2,1,0,-1,20,0,1527.944,254652.74,196.5385,46.4684,0.1,100,1269.680041,0.020314881,1290.0992889791771,0.025393601
3,0,1,-1,20,0,1527.944,254652.74,196.5385,46.4684,0.1,100,1269.680041,0.020314881,1290.0992889791771,0.025393601
