Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
,,,,,,,106,869.1166000000001,5115.0682,1926.0758
,,,,,,,107,864.3910000000001,5086.3208,1915.4432000000002
,,,,,,,108,896.2888000000002,5272.982000000001,1985.5396000000003
,,,,,,,109,952.2084000000001,5603.3802,2109.9804
,,,,,,,110,988.8318,5818.7888,2191.4970000000003
,,,,,,,111,1069.5608,6292.924000000001,2369.8884000000003
,,,,,,,112,1135.3254,6680.817000000001,2515.9882000000002
,,,,,,,113,1103.8214,6494.1558,2445.498
,,,,,,,114,1037.663,6106.2628,2299.3982
,,,,,,,115,854.546,5028.826,1893.7842000000003
,,,,,,,116,627.7172,3692.6626,1390.5078
,,,,,,,117,454.0514,2672.3268000000003,1006.5528
,,,,,,,118,341.8184,2011.5304,757.6712
,,,,,,,119,202.80700000000002,1192.4264,448.932
,,,,,,,120,114.59580000000001,675.367,254.3948
,,,,,,,121,112.6268,663.5530000000001,250.063
,,,,,,,122,79.5476,468.2282000000001,176.42240000000004
,,,,,,,123,77.18480000000001,453.2638,170.9092
,,,,,,,124,107.90120000000002,635.987,239.43040000000002
,,,,,,,125,200.4442,1179.431,444.20640000000003
,,,,,,,126,329.2168,1936.7084000000002,729.3176000000001
,,,,,,,127,499.73220000000003,2940.5046,1107.3656
,,,,,,,128,678.9112,3993.5258000000003,1503.9222
,,,,,,,129,860.4530000000001,5063.0866,1906.7796000000003
,,,,,,,130,952.996,5606.9244,2111.5556
,,,,,,,131,983.7124000000001,5789.2538,2180.0768000000003
,,,,,,,132,1028.9994,6053.8874,2279.7082
,,,,,,,133,1093.1888000000001,6433.116800000001,2422.6576000000005
,,,,,,,134,1141.2324,6714.290000000001,2528.5897999999997
,,,,,,,135,1197.152,7044.294400000001,2652.6368
,,,,,,,136,1228.2622000000001,7226.6238,2721.5518
,,,,,,,137,1167.2232000000001,6867.084400000001,2586.0846
,,,,,,,138,1055.7778,6211.4074,2339.172
,,,,,,,139,877.3864000000001,5161.5366,1943.7968
,,,,,,,140,682.0616000000001,4013.2158,1511.4044000000001
,,,,,,,141,520.6036,3062.1888000000004,1153.0464000000002
,,,,,,,142,406.40160000000003,2390.3660000000004,900.2268
,,,,,,,143,283.536,1668.9244,628.5048
,,,,,,,144,183.51080000000002,1079.4058,406.40160000000003
,,,,,,,145,113.4144,667.8848,251.6382
,,,,,,,146,146.09980000000002,859.2716,323.70360000000005
,,,,,,,147,53.55680000000001,314.6462,118.5338
,,,,,,,148,83.4856,491.46240000000006,185.086
,,,,,,,149,155.94480000000001,917.9478,345.7564
,,,,,,,150,255.97000000000003,1506.285,567.072
,,,,,,,151,391.0434,2300.5796,866.36
,,,,,,,152,553.6828,3256.726,1226.6870000000001
,,,,,,,153,723.4106,4256.978,1603.1598000000001
,,,,,,,154,930.9432,5478.151800000001,2063.1182000000003
,,,,,,,155,1063.6538,6257.875800000001,2356.4992
,,,,,,,156,1090.826,6419.727600000001,2417.5382
,,,,,,,157,1086.1004,6390.192600000001,2406.5118
,,,,,,,158,1053.415,6198.8058,2334.4464000000003
,,,,,,,159,1030.9684,6066.4890000000005,2284.4338000000002
,,,,,,,160,986.0752,5801.855400000001,2184.8024
,,,,,,,161,938.4254,5522.2573999999995,2079.6578000000004
,,,,,,,162,841.1568,4948.4908000000005,1863.4616
,,,,,,,163,723.4106,4256.978,1603.1598000000001
,,,,,,,164,578.4922,3404.0072,1281.819
,,,,,,,165,461.13980000000004,2712.4944,1021.5172000000001
,,,,,,,166,358.358,2109.5866,794.2946000000002
,,,,,,,167,258.3328,1520.8556,572.979
,,,,,,,168,176.0286,1035.6940000000002,389.862
,,,,,,,169,63.79560000000001,374.5038,140.9804
,,,,,,,170,48.043600000000005,282.3546,106.32600000000001
,,,,,,,171,68.915,405.2202,152.7944
,,,,,,,172,157.52,927.3990000000001,349.3006
,,,,,,,173,324.49120000000005,1909.93,719.4726
,,,,,,,174,528.0858000000001,3107.8696000000004,1170.3736000000001
,,,,,,,175,661.1902,3890.744,1465.3298000000002
,,,,,,,176,757.6712,4458.9974,1679.1632000000002
,,,,,,,177,797.0512,4689.3704,1765.7992000000002
,,,,,,,178,843.9134,4965.818,1870.1562000000001
,,,,,,,179,1000.6458000000001,5886.916200000001,2217.094
,,,,,,,180,1065.6228,6270.8712000000005,2361.6186000000002
,,,,,,,181,1097.1268,6455.1696,2430.9274
,,,,,,,182,1076.2554,6332.304000000001,2384.459
,,,,,,,183,1065.6228,6270.8712000000005,2361.6186000000002
,,,,,,,184,1021.5172000000001,6009.781800000001,2263.1686
,,,,,,,185,969.1418,5702.617800000001,2147.3914
,,,,,,,186,856.9088000000002,5042.2152,1898.9036
,,,,,,,187,713.5656000000001,4197.908,1580.7132000000001
,,,,,,,188,543.8378,3200.0188000000003,1205.0280000000002
,,,,,,,189,413.49,2432.1088,915.9788000000001
,,,,,,,190,288.26160000000004,1695.309,638.3498000000001
,,,,,,,191,178.39140000000003,1050.2646000000002,395.3752
,,,,,,,192,105.53840000000001,620.235,233.5234
,,,,,,,193,98.05620000000002,577.7046,217.77140000000003
,,,,,,,194,70.884,417.428,157.1262
,,,,,,,195,65.3708,385.1364,144.91840000000002
,,,,,,,196,96.87480000000001,569.8286,214.621
,,,,,,,197,174.4534,1027.4242000000002,386.71160000000003
,,,,,,,198,286.2926,1685.464,634.8056
,,,,,,,199,432.39240000000007,2544.3418,958.1154
,,,,,,,200,590.7,3475.2850000000003,1308.5973999999999
,,,,,,,201,746.251,4390.0824,1653.1724
,,,,,,,202,827.7676,4871.6998,1834.7142000000003
,,,,,,,203,853.7584,5024.1004,1892.209
,,,,,,,204,890.7756,5240.6904,1973.7256
,,,,,,,205,947.8766,5577.7832,2100.5292000000004
,,,,,,,206,990.407,5826.6648000000005,2194.2536
,,,,,,,207,1036.4816,6099.5682,2297.0354
,,,,,,,208,1062.4724,6251.9688,2354.5302
,,,,,,,209,1010.8846000000001,5947.167600000001,2239.5406000000003
,,,,,,,210,915.1912,5385.215,2028.0700000000002
,,,,,,,211,759.6402,4470.4176,1683.4950000000001
,,,,,,,212,587.9434,3459.1392000000005,1302.6904
,,,,,,,213,448.932,2640.429,994.345
,,,,,,,214,347.72540000000004,2046.5786,770.6666
,,,,,,,215,244.15600000000003,1436.5824,541.0812000000001
,,,,,,,216,155.55100000000002,914.7974,344.57500000000005
,,,,,,,217,66.5522,390.6496,147.2812
,,,,,,,218,48.8312,286.68640000000005,107.90120000000002
