Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_liqH2_tonne_per_hr_z1,Load_liqH2_tonne_per_hr_z2,Load_liqH2_tonne_per_hr_z3
50000000,1,1,0,1,168,1,1,0.81,4.755,1.79
,,,,,,,2,0.61,3.585,1.35
,,,,,,,3,0.875,5.145,1.94
,,,,,,,4,2,11.775,4.435
,,,,,,,5,4.12,24.25,9.135
,,,,,,,6,6.705,39.46,14.86
,,,,,,,7,8.395,49.4,18.605
,,,,,,,8,9.62,56.615,21.32
,,,,,,,9,10.12,59.54,22.42
,,,,,,,10,10.715,63.05,23.745
,,,,,,,11,12.705,74.745,28.15
,,,,,,,12,13.53,79.62,29.985
,,,,,,,13,13.93,81.96,30.865
,,,,,,,14,13.665,80.4,30.275
,,,,,,,15,13.53,79.62,29.985
,,,,,,,16,12.97,76.305,28.735
,,,,,,,17,12.305,72.405,27.265
,,,,,,,18,10.88,64.02,24.11
,,,,,,,19,9.06,53.3,20.07
,,,,,,,20,6.905,40.63,15.3
,,,,,,,21,5.25,30.88,11.63
,,,,,,,22,3.66,21.525,8.105
,,,,,,,23,2.265,13.335,5.02
,,,,,,,24,1.34,7.875,2.965
,,,,,,,25,1.245,7.335,2.765
,,,,,,,26,0.9,5.3,1.995
,,,,,,,27,0.83,4.89,1.84
,,,,,,,28,1.23,7.235,2.725
,,,,,,,29,2.215,13.045,4.91
,,,,,,,30,3.635,21.4,8.06
,,,,,,,31,5.49,32.305,12.165
,,,,,,,32,7.5,44.125,16.615
,,,,,,,33,9.475,55.74,20.99
,,,,,,,34,10.51,61.855,23.295
,,,,,,,35,10.84,63.79,24.025
,,,,,,,36,11.31,66.54,25.06
,,,,,,,37,12.035,70.82,26.67
,,,,,,,38,12.575,73.98,27.86
,,,,,,,39,13.16,77.445,29.165
,,,,,,,40,13.49,79.38,29.895
,,,,,,,41,12.835,75.51,28.435
,,,,,,,42,11.62,68.375,25.75
,,,,,,,43,9.645,56.76,21.375
,,,,,,,44,7.465,43.92,16.54
,,,,,,,45,5.7,33.525,12.625
,,,,,,,46,4.415,25.985,9.785
,,,,,,,47,3.1,18.24,6.87
,,,,,,,48,1.975,11.615,4.375
,,,,,,,49,0.845,4.96,1.87
,,,,,,,50,0.62,3.64,1.37
,,,,,,,51,0.87,5.125,1.93
,,,,,,,52,2.025,11.91,4.485
,,,,,,,53,4.355,25.635,9.655
,,,,,,,54,7,41.185,15.51
,,,,,,,55,8.66,50.94,19.185
,,,,,,,56,9.925,58.385,21.985
,,,,,,,57,10.455,61.53,23.17
,,,,,,,58,10.005,58.88,22.175
,,,,,,,59,9.95,58.55,22.05
,,,,,,,60,10.315,60.7,22.86
,,,,,,,61,10.965,64.505,24.29
,,,,,,,62,11.385,66.985,25.225
,,,,,,,63,12.31,72.445,27.28
,,,,,,,64,13.07,76.91,28.965
,,,,,,,65,12.705,74.76,28.155
,,,,,,,66,11.945,70.295,26.47
,,,,,,,67,9.84,57.89,21.8
,,,,,,,68,7.225,42.505,16.01
,,,,,,,69,5.23,30.765,11.585
,,,,,,,70,3.935,23.155,8.72
,,,,,,,71,2.335,13.73,5.17
,,,,,,,72,1.32,7.775,2.925
,,,,,,,73,0.88,5.18,1.95
,,,,,,,74,0.645,3.8,1.43
,,,,,,,75,0.91,5.355,2.015
,,,,,,,76,2.115,12.435,4.68
,,,,,,,77,4.55,26.77,10.08
,,,,,,,78,7.31,43,16.195
,,,,,,,79,9.04,53.19,20.03
,,,,,,,80,10.36,60.96,22.955
,,,,,,,81,10.92,64.24,24.195
,,,,,,,82,10.45,61.48,23.15
,,,,,,,83,10.39,61.135,23.02
,,,,,,,84,10.77,63.38,23.87
,,,,,,,85,11.445,67.35,25.365
,,,,,,,86,11.885,69.94,26.34
,,,,,,,87,12.855,75.64,28.485
,,,,,,,88,13.65,80.305,30.24
,,,,,,,89,13.265,78.06,29.395
,,,,,,,90,12.475,73.395,27.64
,,,,,,,91,10.27,60.445,22.76
,,,,,,,92,7.545,44.38,16.715
,,,,,,,93,5.46,32.12,12.095
,,,,,,,94,4.11,24.175,9.105
,,,,,,,95,2.435,14.335,5.4
,,,,,,,96,1.38,8.115,3.055
,,,,,,,97,0.93,5.475,2.06
,,,,,,,98,0.68,4.015,1.51
,,,,,,,99,0.96,5.655,2.13
,,,,,,,100,2.23,13.135,4.945
,,,,,,,101,4.805,28.275,10.65
,,,,,,,102,7.72,45.425,17.105
,,,,,,,103,9.55,56.185,21.16
,,,,,,,104,10.945,64.395,24.25
,,,,,,,105,11.535,67.86,25.555
,,,,,,,106,11.035,64.945,24.455
,,,,,,,107,10.975,64.58,24.32
,,,,,,,108,11.38,66.95,25.21
,,,,,,,109,12.09,71.145,26.79
,,,,,,,110,12.555,73.88,27.825
,,,,,,,111,13.58,79.9,30.09
,,,,,,,112,14.415,84.825,31.945
,,,,,,,113,14.015,82.455,31.05
,,,,,,,114,13.175,77.53,29.195
,,,,,,,115,10.85,63.85,24.045
,,,,,,,116,7.97,46.885,17.655
,,,,,,,117,5.765,33.93,12.78
,,,,,,,118,4.34,25.54,9.62
,,,,,,,119,2.575,15.14,5.7
,,,,,,,120,1.455,8.575,3.23
,,,,,,,121,1.43,8.425,3.175
,,,,,,,122,1.01,5.945,2.24
,,,,,,,123,0.98,5.755,2.17
,,,,,,,124,1.37,8.075,3.04
,,,,,,,125,2.545,14.975,5.64
,,,,,,,126,4.18,24.59,9.26
,,,,,,,127,6.345,37.335,14.06
,,,,,,,128,8.62,50.705,19.095
,,,,,,,129,10.925,64.285,24.21
,,,,,,,130,12.1,71.19,26.81
,,,,,,,131,12.49,73.505,27.68
,,,,,,,132,13.065,76.865,28.945
,,,,,,,133,13.88,81.68,30.76
,,,,,,,134,14.49,85.25,32.105
,,,,,,,135,15.2,89.44,33.68
,,,,,,,136,15.595,91.755,34.555
,,,,,,,137,14.82,87.19,32.835
,,,,,,,138,13.405,78.865,29.7
,,,,,,,139,11.14,65.535,24.68
,,,,,,,140,8.66,50.955,19.19
,,,,,,,141,6.61,38.88,14.64
,,,,,,,142,5.16,30.35,11.43
,,,,,,,143,3.6,21.19,7.98
,,,,,,,144,2.33,13.705,5.16
,,,,,,,145,1.44,8.48,3.195
,,,,,,,146,1.855,10.91,4.11
,,,,,,,147,0.68,3.995,1.505
,,,,,,,148,1.06,6.24,2.35
,,,,,,,149,1.98,11.655,4.39
,,,,,,,150,3.25,19.125,7.2
,,,,,,,151,4.965,29.21,11
,,,,,,,152,7.03,41.35,15.575
,,,,,,,153,9.185,54.05,20.355
,,,,,,,154,11.82,69.555,26.195
,,,,,,,155,13.505,79.455,29.92
,,,,,,,156,13.85,81.51,30.695
,,,,,,,157,13.79,81.135,30.555
,,,,,,,158,13.375,78.705,29.64
,,,,,,,159,13.09,77.025,29.005
,,,,,,,160,12.52,73.665,27.74
,,,,,,,161,11.915,70.115,26.405
,,,,,,,162,10.68,62.83,23.66
,,,,,,,163,9.185,54.05,20.355
,,,,,,,164,7.345,43.22,16.275
,,,,,,,165,5.855,34.44,12.97
,,,,,,,166,4.55,26.785,10.085
,,,,,,,167,3.28,19.31,7.275
,,,,,,,168,2.235,13.15,4.95
,,,,,,,169,0.81,4.755,1.79
,,,,,,,170,0.61,3.585,1.35
,,,,,,,171,0.875,5.145,1.94
,,,,,,,172,2,11.775,4.435
,,,,,,,173,4.12,24.25,9.135
,,,,,,,174,6.705,39.46,14.86
,,,,,,,175,8.395,49.4,18.605
,,,,,,,176,9.62,56.615,21.32
,,,,,,,177,10.12,59.54,22.42
,,,,,,,178,10.715,63.05,23.745
,,,,,,,179,12.705,74.745,28.15
,,,,,,,180,13.53,79.62,29.985
,,,,,,,181,13.93,81.96,30.865
,,,,,,,182,13.665,80.4,30.275
,,,,,,,183,13.53,79.62,29.985
,,,,,,,184,12.97,76.305,28.735
,,,,,,,185,12.305,72.405,27.265
,,,,,,,186,10.88,64.02,24.11
,,,,,,,187,9.06,53.3,20.07
,,,,,,,188,6.905,40.63,15.3
,,,,,,,189,5.25,30.88,11.63
,,,,,,,190,3.66,21.525,8.105
,,,,,,,191,2.265,13.335,5.02
,,,,,,,192,1.34,7.875,2.965
,,,,,,,193,1.245,7.335,2.765
,,,,,,,194,0.9,5.3,1.995
,,,,,,,195,0.83,4.89,1.84
,,,,,,,196,1.23,7.235,2.725
,,,,,,,197,2.215,13.045,4.91
,,,,,,,198,3.635,21.4,8.06
,,,,,,,199,5.49,32.305,12.165
,,,,,,,200,7.5,44.125,16.615
,,,,,,,201,9.475,55.74,20.99
,,,,,,,202,10.51,61.855,23.295
,,,,,,,203,10.84,63.79,24.025
,,,,,,,204,11.31,66.54,25.06
,,,,,,,205,12.035,70.82,26.67
,,,,,,,206,12.575,73.98,27.86
,,,,,,,207,13.16,77.445,29.165
,,,,,,,208,13.49,79.38,29.895
,,,,,,,209,12.835,75.51,28.435
,,,,,,,210,11.62,68.375,25.75
,,,,,,,211,9.645,56.76,21.375
,,,,,,,212,7.465,43.92,16.54
,,,,,,,213,5.7,33.525,12.625
,,,,,,,214,4.415,25.985,9.785
,,,,,,,215,3.1,18.24,6.87
,,,,,,,216,1.975,11.615,4.375
,,,,,,,217,0.845,4.96,1.87
,,,,,,,218,0.62,3.64,1.37
,,,,,,,219,0.87,5.125,1.93
,,,,,,,220,2.025,11.91,4.485
,,,,,,,221,4.355,25.635,9.655
,,,,,,,222,7,41.185,15.51
,,,,,,,223,8.66,50.94,19.185
,,,,,,,224,9.925,58.385,21.985
,,,,,,,225,10.455,61.53,23.17
,,,,,,,226,10.005,58.88,22.175
,,,,,,,227,9.95,58.55,22.05
,,,,,,,228,10.315,60.7,22.86
,,,,,,,229,10.965,64.505,24.29
,,,,,,,230,11.385,66.985,25.225
,,,,,,,231,12.31,72.445,27.28
,,,,,,,232,13.07,76.91,28.965
,,,,,,,233,12.705,74.76,28.155
,,,,,,,234,11.945,70.295,26.47
,,,,,,,235,9.84,57.89,21.8
,,,,,,,236,7.225,42.505,16.01
,,,,,,,237,5.23,30.765,11.585
,,,,,,,238,3.935,23.155,8.72
,,,,,,,239,2.335,13.73,5.17
,,,,,,,240,1.32,7.775,2.925
,,,,,,,241,0.88,5.18,1.95
,,,,,,,242,0.645,3.8,1.43
,,,,,,,243,0.91,5.355,2.015
,,,,,,,244,2.115,12.435,4.68
,,,,,,,245,4.55,26.77,10.08
,,,,,,,246,7.31,43,16.195
,,,,,,,247,9.04,53.19,20.03
,,,,,,,248,10.36,60.96,22.955
,,,,,,,249,10.92,64.24,24.195
,,,,,,,250,10.45,61.48,23.15
,,,,,,,251,10.39,61.135,23.02
,,,,,,,252,10.77,63.38,23.87
,,,,,,,253,11.445,67.35,25.365
,,,,,,,254,11.885,69.94,26.34
,,,,,,,255,12.855,75.64,28.485
,,,,,,,256,13.65,80.305,30.24
,,,,,,,257,13.265,78.06,29.395
,,,,,,,258,12.475,73.395,27.64
,,,,,,,259,10.27,60.445,22.76
,,,,,,,260,7.545,44.38,16.715
,,,,,,,261,5.46,32.12,12.095
,,,,,,,262,4.11,24.175,9.105
,,,,,,,263,2.435,14.335,5.4
,,,,,,,264,1.38,8.115,3.055
,,,,,,,265,0.93,5.475,2.06
,,,,,,,266,0.68,4.015,1.51
,,,,,,,267,0.96,5.655,2.13
,,,,,,,268,2.23,13.135,4.945
,,,,,,,269,4.805,28.275,10.65
,,,,,,,270,7.72,45.425,17.105
,,,,,,,271,9.55,56.185,21.16
,,,,,,,272,10.945,64.395,24.25
,,,,,,,273,11.535,67.86,25.555
,,,,,,,274,11.035,64.945,24.455
,,,,,,,275,10.975,64.58,24.32
,,,,,,,276,11.38,66.95,25.21
,,,,,,,277,12.09,71.145,26.79
,,,,,,,278,12.555,73.88,27.825
,,,,,,,279,13.58,79.9,30.09
,,,,,,,280,14.415,84.825,31.945
,,,,,,,281,14.015,82.455,31.05
,,,,,,,282,13.175,77.53,29.195
,,,,,,,283,10.85,63.85,24.045
,,,,,,,284,7.97,46.885,17.655
,,,,,,,285,5.765,33.93,12.78
,,,,,,,286,4.34,25.54,9.62
,,,,,,,287,2.575,15.14,5.7
,,,,,,,288,1.455,8.575,3.23
,,,,,,,289,1.43,8.425,3.175
,,,,,,,290,1.01,5.945,2.24
,,,,,,,291,0.98,5.755,2.17
,,,,,,,292,1.37,8.075,3.04
,,,,,,,293,2.545,14.975,5.64
,,,,,,,294,4.18,24.59,9.26
,,,,,,,295,6.345,37.335,14.06
,,,,,,,296,8.62,50.705,19.095
,,,,,,,297,10.925,64.285,24.21
,,,,,,,298,12.1,71.19,26.81
,,,,,,,299,12.49,73.505,27.68
,,,,,,,300,13.065,76.865,28.945
,,,,,,,301,13.88,81.68,30.76
,,,,,,,302,14.49,85.25,32.105
,,,,,,,303,15.2,89.44,33.68
,,,,,,,304,15.595,91.755,34.555
,,,,,,,305,14.82,87.19,32.835
,,,,,,,306,13.405,78.865,29.7
,,,,,,,307,11.14,65.535,24.68
,,,,,,,308,8.66,50.955,19.19
,,,,,,,309,6.61,38.88,14.64
,,,,,,,310,5.16,30.35,11.43
,,,,,,,311,3.6,21.19,7.98
,,,,,,,312,2.33,13.705,5.16
,,,,,,,313,1.44,8.48,3.195
,,,,,,,314,1.855,10.91,4.11
,,,,,,,315,0.68,3.995,1.505
,,,,,,,316,1.06,6.24,2.35
,,,,,,,317,1.98,11.655,4.39
,,,,,,,318,3.25,19.125,7.2
,,,,,,,319,4.965,29.21,11
,,,,,,,320,7.03,41.35,15.575
,,,,,,,321,9.185,54.05,20.355
,,,,,,,322,11.82,69.555,26.195
,,,,,,,323,13.505,79.455,29.92
,,,,,,,324,13.85,81.51,30.695
,,,,,,,325,13.79,81.135,30.555
,,,,,,,326,13.375,78.705,29.64
,,,,,,,327,13.09,77.025,29.005
,,,,,,,328,12.52,73.665,27.74
,,,,,,,329,11.915,70.115,26.405
,,,,,,,330,10.68,62.83,23.66
,,,,,,,331,9.185,54.05,20.355
,,,,,,,332,7.345,43.22,16.275
,,,,,,,333,5.855,34.44,12.97
,,,,,,,334,4.55,26.785,10.085
,,,,,,,335,3.28,19.31,7.275
,,,,,,,336,2.235,13.15,4.95
,,,,,,,337,0.81,4.755,1.79
,,,,,,,338,0.61,3.585,1.35
