Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,0.012449808631170046,43.82838384677984,43.815934038148676
Fuel_cell_1.0,1.0,0,0.0062623748128856575,8.228865887514566,8.22260351270168
CCGT-H2_2.0,2.0,0,0.012456882134974619,65.46777246827773,65.45531558614276
Fuel_cell_2.0,2.0,0,0.006263328566124492,8.42261859075876,8.416355262192635
CCGT-H2_3.0,3.0,0,0.012419600324155337,43.2332915010061,43.22087190068194
Fuel_cell_3.0,3.0,0,0.00625966730759665,8.696328753110805,8.69006908580321
CCGT-H2_4.0,4.0,0,0.012468160024889426,44.4067482833807,44.39428012335581
Fuel_cell_4.0,4.0,0,0.00626241503555207,8.688782658746746,8.682520243711194
CCGT-H2_5.0,5.0,0,0.01234478712873103,44.695567809181746,44.68322302205301
Fuel_cell_5.0,5.0,0,0.006261966779275568,8.114766388879556,8.10850442210028
CCGT-H2_6.0,6.0,0,0.011685161507278783,51.85134146904777,51.83965630754049
Fuel_cell_6.0,6.0,0,0.006254686509941019,9.45427426481721,9.44801957830727
CCGT-H2_7.0,7.0,0,0.012460295175420797,68.15298196018067,68.14052166500525
Fuel_cell_7.0,7.0,0,0.006261539236872124,8.594386717245026,8.588125178008154
CCGT-H2_8.0,8.0,0,0.012363729376467411,49.98273858280187,49.970374853425405
Fuel_cell_8.0,8.0,0,0.0062600112351760325,7.688659933789097,7.6823999225539215
CCGT-H2_9.0,9.0,0,0.01234257607282142,43.788883542455224,43.776540966382406
Fuel_cell_9.0,9.0,0,0.006259617255845474,7.966240887055376,7.95998126979953
CCGT-H2_10.0,10.0,0,0.012437812929263208,38.10080079571795,38.08836298278869
Fuel_cell_10.0,10.0,0,0.006261342786074457,7.866978181673648,7.860716838887574
Total,n/a,0,0.18603576283051562,577.2304125224204,577.0443767595899
