,Power Consumption,Power Consumption,Power Consumption
Zone,1,2,3
AnnualSum,131654.1883562675,37351.07890601798,339.2747268886521
t1,783.6558830730208,222.41044421273054,2.031585190950013
t2,783.6558830730208,222.41044421273054,2.031585190950013
t3,783.6558830730208,222.41044421273054,2.031585190950013
t4,783.6558830730208,222.41044421273054,2.031585190950013
t5,783.6558830730208,222.41044421273054,2.031585190950013
t6,783.6558830730208,222.41044421273054,2.031585190950013
t7,783.6558830730208,222.41044421273054,2.031585190950013
t8,783.6558830730208,222.41044421273054,2.031585190950013
t9,783.6558830730208,222.41044421273054,2.031585190950013
t10,783.6558830730208,222.41044421273054,2.031585190950013
t11,783.6558830730208,222.41044421273054,2.031585190950013
t12,783.6558830730208,222.41044421273054,2.031585190950013
t13,783.6558830730208,222.41044421273054,2.031585190950013
t14,783.6558830730208,222.41044421273054,2.031585190950013
t15,783.6558830730208,222.41044421273054,2.031585190950013
t16,783.6558830730208,222.41044421273054,2.031585190950013
t17,783.6558830730208,222.41044421273054,2.031585190950013
t18,783.6558830730208,222.41044421273054,2.031585190950013
t19,783.6558830730208,222.41044421273054,2.031585190950013
t20,783.6558830730208,222.41044421273054,2.031585190950013
t21,783.6558830730208,222.41044421273054,2.031585190950013
t22,783.6558830730208,222.41044421273054,2.031585190950013
t23,783.6558830730208,222.41044421273054,2.031585190950013
t24,783.6558830730208,222.41044421273054,2.031585190950013
t25,783.6558830730208,222.41044421273054,2.031585190950013
t26,783.6558830730208,222.41044421273054,2.031585190950013
t27,783.6558830730208,222.41044421273054,2.031585190950013
t28,783.6558830730208,222.41044421273054,2.031585190950013
t29,783.6558830730208,222.41044421273054,2.031585190950013
t30,783.6558830730208,222.41044421273054,2.031585190950013
t31,783.6558830730208,222.41044421273054,2.031585190950013
t32,783.6558830730208,222.41044421273054,2.031585190950013
t33,783.6558830730208,222.41044421273054,2.031585190950013
t34,783.6558830730208,222.41044421273054,2.031585190950013
t35,783.6558830730208,222.41044421273054,2.031585190950013
t36,783.6558830730208,222.41044421273054,2.031585190950013
t37,783.6558830730208,222.41044421273054,2.031585190950013
t38,783.6558830730208,222.41044421273054,2.031585190950013
t39,783.6558830730208,222.41044421273054,2.031585190950013
t40,783.6558830730208,222.41044421273054,2.031585190950013
t41,783.6558830730208,222.41044421273054,2.031585190950013
t42,783.6558830730208,222.41044421273054,2.031585190950013
t43,783.6558830730208,222.41044421273054,2.031585190950013
t44,783.6558830730208,222.41044421273054,2.031585190950013
t45,783.6558830730208,222.41044421273054,2.031585190950013
t46,783.6558830730208,222.41044421273054,2.031585190950013
t47,783.6558830730208,222.41044421273054,2.031585190950013
t48,783.6558830730208,222.41044421273054,2.031585190950013
t49,783.6558830730208,222.41044421273054,2.031585190950013
t50,783.6558830730208,222.41044421273054,2.031585190950013
t51,783.6558830730208,222.41044421273054,2.031585190950013
t52,783.6558830730208,222.41044421273054,2.031585190950013
t53,783.6558830730208,222.41044421273054,2.031585190950013
t54,783.6558830730208,222.41044421273054,2.031585190950013
t55,783.6558830730208,222.41044421273054,2.031585190950013
t56,783.6558830730208,222.41044421273054,2.031585190950013
t57,783.6558830730208,222.41044421273054,2.031585190950013
t58,783.6558830730208,222.41044421273054,2.031585190950013
t59,783.6558830730208,222.41044421273054,2.031585190950013
t60,783.6558830730208,222.41044421273054,2.031585190950013
t61,783.6558830730208,222.41044421273054,2.031585190950013
