Resource,Small_Electrolyzer_1,Large_SMR_1,Large_SMR_wCCS_90pct_1,Above_ground_storage_1,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,36142.65,36142.65
t1,0.0,0.0,0.0,13.66333333333333,13.66333333333333
t2,0.0,0.0,0.0,13.66333333333333,13.66333333333333
t3,0.0,0.0,0.0,13.66333333333333,13.66333333333333
t4,0.0,0.0,0.0,11.523333333333332,11.523333333333332
t5,0.0,0.0,0.0,7.283333333333331,7.283333333333331
t6,0.0,0.0,0.0,2.1133333333333315,2.1133333333333315
t7,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.1609999999999978,0.1609999999999978
t21,0.0,0.0,0.0,5.023333333333332,5.023333333333332
t22,0.0,0.0,0.0,8.203333333333331,8.203333333333331
t23,0.0,0.0,0.0,10.993333333333332,10.993333333333332
t24,0.0,0.0,0.0,12.843333333333332,12.843333333333332
t25,0.0,0.0,0.0,11.480999999999998,11.480999999999998
t26,0.0,0.0,0.0,13.66333333333333,13.66333333333333
t27,0.0,0.0,0.0,13.66333333333333,13.66333333333333
t28,0.0,0.0,0.0,11.511,11.511
t29,0.0,0.0,0.0,11.093333333333332,11.093333333333332
t30,0.0,0.0,0.0,6.700999999999999,6.700999999999999
t31,0.0,0.0,0.0,4.543333333333331,4.543333333333331
t32,0.0,0.0,0.0,0.5233333333333317,0.5233333333333317
t33,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,2.570999999999998,2.570999999999998
t46,0.0,0.0,0.0,5.140999999999998,5.140999999999998
t47,0.0,0.0,0.0,8.887333333333743,8.887333333333743
t48,0.0,0.0,0.0,11.57333333333333,11.57333333333333
t49,0.0,0.0,0.0,13.66333333333333,13.66333333333333
t50,0.0,0.0,0.0,13.66333333333333,13.66333333333333
t51,0.0,0.0,0.0,13.66333333333333,13.66333333333333
t52,0.0,0.0,0.0,11.473333333333333,11.473333333333333
t53,0.0,0.0,0.0,6.813333333333331,6.813333333333331
t54,0.0,0.0,0.0,1.5233333333333317,1.5233333333333317
t55,0.0,0.0,0.0,0.0,0.0
