Resource,Small_Electrolyzer_1,Large_SMR_1,Large_SMR_wCCS_90pct_1,Above_ground_storage_1
t119,0.0,0.0,0.0,97.57285714285749
t120,0.0,0.0,0.0,110.18619047619082
t121,0.0,0.0,0.0,122.84952380952414
t122,0.0,0.0,0.0,136.3528571428575
t123,0.0,0.0,0.0,149.91619047619082
t124,0.0,0.0,0.0,162.69952380952415
t125,0.0,0.0,0.0,173.1328571428575
t126,0.0,0.0,0.0,180.29619047619067
t127,0.0,0.0,0.0,183.12952380952402
t128,0.0,0.0,0.0,181.41285714285735
t129,0.0,0.0,0.0,175.08619047619067
t130,0.0,0.0,0.0,166.409523809524
t131,0.0,0.0,0.0,156.9528571428573
t132,0.0,0.0,0.0,146.34619047619066
t133,0.0,0.0,0.0,134.10952380952398
t134,0.0,0.0,0.0,120.65285714285731
t135,0.0,0.0,0.0,105.77619047619073
t136,0.0,0.0,0.0,90.10952380952406
t137,0.0,0.0,0.0,75.99285714285739
t138,0.0,0.0,0.0,64.70619047619073
t139,0.0,0.0,0.0,57.94952380952406
t140,0.0,0.0,0.0,56.15285714285725
t141,0.0,0.0,0.0,56.90385714285725
t142,0.0,0.0,0.0,62.10719047619058
t143,0.0,0.0,0.0,69.24619047619069
t144,0.0,0.0,0.0,80.10952380952402
t145,0.0,0.0,0.0,92.75285714285735
t146,0.0,0.0,0.0,104.56619047619068
t147,0.0,0.0,0.0,118.22952380952401
t148,0.0,0.0,0.0,131.63285714285735
t149,0.0,0.0,0.0,143.19619047619068
t150,0.0,0.0,0.0,152.21952380952402
t151,0.0,0.0,0.0,157.81285714285735
t152,0.0,0.0,0.0,159.2761904761907
t153,0.0,0.0,0.0,156.42952380952403
t154,0.0,0.0,0.0,148.31285714285735
t155,0.0,0.0,0.0,136.82619047619067
t156,0.0,0.0,0.0,124.649523809524
t157,0.0,0.0,0.0,112.59285714285733
t158,0.0,0.0,0.0,101.36619047619065
t159,0.0,0.0,0.0,90.70952380952399
t160,0.0,0.0,0.0,81.19285714285732
t161,0.0,0.0,0.0,72.88619047619065
t162,0.0,0.0,0.0,67.04952380952398
t163,0.0,0.0,0.0,64.20285714285731
t164,0.0,0.0,0.0,65.03619047619064
t165,0.0,0.0,0.0,68.84952380952397
t166,0.0,0.0,0.0,75.2728571428573
t167,0.0,0.0,0.0,84.23619047619063
t168,0.0,0.0,0.0,95.28952380952396
