Resource,Small_Electrolyzer_1,Large_SMR_1,Large_SMR_wCCS_90pct_1,Above_ground_storage_1
Zone,1,1,1,1
AnnualSum,0.0,135100.58,0.0,36142.65
t1,0.0,15.283333333333331,0.0,0.0
t2,0.0,14.883333333333331,0.0,0.0
t3,0.0,15.41333333333333,0.0,0.0
t4,0.0,15.523333333333332,0.0,0.0
t5,0.0,15.523333333333332,0.0,0.0
t6,0.0,15.523333333333332,0.0,0.0
t7,0.0,15.523333333333332,0.0,1.2666666666666675
t8,0.0,15.523333333333332,0.0,3.716666666666667
t9,0.0,15.523333333333332,0.0,4.716666666666667
t10,0.0,15.523333333333332,0.0,5.906666666666668
t11,0.0,15.523333333333332,0.0,9.886666666666668
t12,0.0,15.523333333333332,0.0,11.536666666666667
t13,0.0,15.523333333333332,0.0,12.336666666666668
t14,0.0,15.523333333333332,0.0,11.806666666666667
t15,0.0,15.523333333333332,0.0,11.536666666666667
t16,0.0,15.523333333333332,0.0,10.41666666666667
t17,0.0,15.523333333333332,0.0,9.086666666666668
t18,0.0,15.523333333333332,0.0,6.23666666666667
t19,0.0,15.523333333333332,0.0,2.5966666666666693
t20,0.0,13.970999999999998,0.0,0.0
t21,0.0,15.523333333333332,0.0,0.0
t22,0.0,15.523333333333332,0.0,0.0
t23,0.0,15.523333333333332,0.0,0.0
t24,0.0,15.523333333333332,0.0,0.0
t25,0.0,13.970999999999998,0.0,0.0
t26,0.0,15.463333333333331,0.0,0.0
t27,0.0,15.32333333333333,0.0,0.0
t28,0.0,13.970999999999998,0.0,0.0
t29,0.0,15.523333333333332,0.0,0.0
t30,0.0,13.970999999999998,0.0,0.0
t31,0.0,15.523333333333332,0.0,0.0
t32,0.0,15.523333333333332,0.0,0.0
t33,0.0,15.523333333333332,0.0,3.4266666666666676
t34,0.0,15.523333333333332,0.0,5.496666666666668
t35,0.0,15.523333333333332,0.0,6.156666666666668
t36,0.0,15.523333333333332,0.0,7.096666666666669
t37,0.0,15.523333333333332,0.0,8.546666666666669
t38,0.0,15.523333333333332,0.0,9.626666666666667
t39,0.0,15.523333333333332,0.0,10.796666666666669
t40,0.0,15.523333333333332,0.0,11.456666666666669
t41,0.0,15.523333333333332,0.0,10.14666666666667
t42,0.0,15.523333333333332,0.0,7.716666666666667
t43,0.0,15.523333333333332,0.0,3.7666666666666675
t44,0.0,14.93,0.0,0.0
t45,0.0,13.970999999999998,0.0,0.0
t46,0.0,13.970999999999998,0.0,0.0
t47,0.0,15.087333333333742,0.0,0.0
t48,0.0,15.523333333333332,0.0,0.0
t49,0.0,15.35333333333333,0.0,0.0
t50,0.0,14.90333333333333,0.0,0.0
t51,0.0,15.40333333333333,0.0,0.0
t52,0.0,15.523333333333332,0.0,0.0
t53,0.0,15.523333333333332,0.0,0.0
t54,0.0,15.523333333333332,0.0,0.0
t55,0.0,15.523333333333332,0.0,1.7966666666666686
t56,0.0,15.523333333333332,0.0,4.32666666666667
t57,0.0,15.523333333333332,0.0,5.3866666666666685
t58,0.0,15.523333333333332,0.0,4.48666666666667
t59,0.0,15.523333333333332,0.0,4.376666666666667
t60,0.0,15.523333333333332,0.0,5.106666666666667
t61,0.0,15.523333333333332,0.0,6.406666666666668
t62,0.0,15.523333333333332,0.0,7.246666666666668
t63,0.0,15.523333333333332,0.0,9.09666666666667
t64,0.0,15.523333333333332,0.0,10.616666666666669
t65,0.0,15.523333333333332,0.0,9.886666666666668
t66,0.0,15.523333333333332,0.0,8.366666666666669
t67,0.0,15.523333333333332,0.0,4.156666666666668
t68,0.0,15.523333333333332,0.0,0.0
t69,0.0,15.523333333333332,0.0,0.0
t70,0.0,15.523333333333332,0.0,0.0
t71,0.0,15.523333333333332,0.0,0.0
t72,0.0,15.523333333333332,0.0,0.0
t73,0.0,15.42333333333333,0.0,0.0
t74,0.0,14.95333333333333,0.0,0.0
t75,0.0,15.48333333333333,0.0,0.0
t76,0.0,15.523333333333332,0.0,0.0
t77,0.0,15.523333333333332,0.0,0.0
t78,0.0,15.523333333333332,0.0,0.0
t79,0.0,15.523333333333332,0.0,2.5566666666666666
t80,0.0,15.523333333333332,0.0,5.196666666666667
t81,0.0,15.523333333333332,0.0,6.316666666666668
t82,0.0,15.523333333333332,0.0,5.376666666666667
t83,0.0,15.523333333333332,0.0,5.2566666666666695
t84,0.0,15.523333333333332,0.0,6.0166666666666675
t85,0.0,15.52333333333333,0.0,7.36666666666667
t86,0.0,15.523333333333332,0.0,8.246666666666668
t87,0.0,15.523333333333333,0.0,10.186666666666667
t88,0.0,15.523333333333332,0.0,11.776666666666669
t89,0.0,15.523333333333332,0.0,11.00666666666667
t90,0.0,15.523333333333332,0.0,9.426666666666668
t91,0.0,15.523333333333332,0.0,5.0166666666666675
t92,0.0,15.523333333333332,0.0,0.0
t93,0.0,15.523333333333332,0.0,0.0
t94,0.0,15.523333333333332,0.0,0.0
t95,0.0,15.523333333333332,0.0,0.0
t96,0.0,15.523333333333332,0.0,0.0
t97,0.0,15.52333333333333,0.0,0.0
t98,0.0,15.02333333333333,0.0,0.0
t99,0.0,15.523333333333333,0.0,0.0
t100,0.0,15.523333333333333,0.0,0.0
t101,0.0,15.523333333333333,0.0,0.0
t102,0.0,15.523333333333333,0.0,0.0
t103,0.0,15.523333333333333,0.0,3.576666666666668
t104,0.0,15.523333333333332,0.0,6.366666666666669
t105,0.0,15.523333333333333,0.0,7.546666666666667
t106,0.0,15.52333333333333,0.0,6.5466666666666695
t107,0.0,15.523333333333332,0.0,6.426666666666668
t108,0.0,15.52333333333333,0.0,7.236666666666672
t109,0.0,15.523333333333332,0.0,8.656666666666668
t110,0.0,15.523333333333333,0.0,9.586666666666666
t111,0.0,15.523333333333333,0.0,11.636666666666667
t112,0.0,15.523333333333333,0.0,13.306666666666665
t113,0.0,15.523333333333332,0.0,12.50666666666667
t114,0.0,15.52333333333333,0.0,10.826666666666672
t115,0.0,15.523333333333332,0.0,6.176666666666668
t116,0.0,15.523333333333332,0.0,0.4166666666666671
t117,0.0,15.523333333333332,0.0,0.0
t118,0.0,15.523333333333332,0.0,0.0
t119,0.0,15.523333333333332,0.0,0.0
t120,0.0,15.523333333333332,0.0,0.0
t121,0.0,15.523333333333332,0.0,0.0
t122,0.0,15.523333333333332,0.0,0.0
t123,0.0,15.523333333333332,0.0,0.0
t124,0.0,15.523333333333332,0.0,0.0
t125,0.0,15.523333333333332,0.0,0.0
t126,0.0,15.523333333333332,0.0,0.0
t127,0.0,15.523333333333332,0.0,0.0
t128,0.0,15.523333333333332,0.0,1.7166666666666668
t129,0.0,15.523333333333332,0.0,6.32666666666667
t130,0.0,15.523333333333332,0.0,8.676666666666668
t131,0.0,15.523333333333332,0.0,9.456666666666669
t132,0.0,15.523333333333332,0.0,10.606666666666667
t133,0.0,15.523333333333332,0.0,12.23666666666667
t134,0.0,15.523333333333332,0.0,13.456666666666669
t135,0.0,15.523333333333332,0.0,14.876666666666667
t136,0.0,15.523333333333332,0.0,15.66666666666667
t137,0.0,15.523333333333332,0.0,14.116666666666669
t138,0.0,15.523333333333332,0.0,11.286666666666667
t139,0.0,15.523333333333332,0.0,6.7566666666666695
t140,0.0,15.523333333333193,0.0,1.7966666666668072
t141,0.0,13.970999999999998,0.0,0.0
t142,0.0,15.523333333333332,0.0,0.0
t143,0.0,14.339000000000109,0.0,0.0
t144,0.0,15.523333333333332,0.0,0.0
t145,0.0,15.523333333333332,0.0,0.0
t146,0.0,15.523333333333332,0.0,0.0
t147,0.0,15.02333333333333,0.0,0.0
t148,0.0,15.523333333333332,0.0,0.0
t149,0.0,15.523333333333332,0.0,0.0
t150,0.0,15.523333333333332,0.0,0.0
t151,0.0,15.523333333333332,0.0,0.0
t152,0.0,15.523333333333332,0.0,0.0
t153,0.0,15.523333333333332,0.0,2.8466666666666693
t154,0.0,15.523333333333332,0.0,8.116666666666669
t155,0.0,15.523333333333332,0.0,11.48666666666667
t156,0.0,15.523333333333332,0.0,12.176666666666668
t157,0.0,15.523333333333332,0.0,12.056666666666667
t158,0.0,15.523333333333332,0.0,11.226666666666668
t159,0.0,15.523333333333332,0.0,10.656666666666668
t160,0.0,15.523333333333332,0.0,9.516666666666667
t161,0.0,15.523333333333332,0.0,8.306666666666667
t162,0.0,15.523333333333332,0.0,5.836666666666668
t163,0.0,15.523333333333332,0.0,2.8466666666666693
t164,0.0,15.523333333333332,0.0,0.0
t165,0.0,15.523333333333332,0.0,0.0
t166,0.0,15.523333333333332,0.0,0.0
t167,0.0,15.523333333333332,0.0,0.0
t168,0.0,15.523333333333332,0.0,0.0
