,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0012577229257137055,0.0014996892639045935,0.0013176407875935892,0.0012487499127343342,0.001299729807802484
t1,0.0,0.0,0.0,0.0,0.0,1.4981331627201295e-6,1.7861355889767332e-6,1.568239245812792e-6,1.4866698463573261e-6,1.5471902378247147e-6
t2,0.0,0.0,0.0,0.0,0.0,1.4983509268309063e-6,1.7854981400705817e-6,1.5682681294434029e-6,1.4866451720188912e-6,1.5471996308115172e-6
t3,0.0,0.0,0.0,0.0,0.0,1.4985003768476845e-6,1.7853404196695726e-6,1.5683178518573495e-6,1.4866562613576035e-6,1.5472051649737468e-6
t4,0.0,0.0,0.0,0.0,0.0,1.498625981935716e-6,1.7852951335360883e-6,1.5683614897164737e-6,1.4866560526495569e-6,1.5471879571118825e-6
t5,0.0,0.0,0.0,0.0,0.0,1.49867385093688e-6,1.7852580835715638e-6,1.5683469968659253e-6,1.486655659799926e-6,1.547169640358367e-6
t6,0.0,0.0,0.0,0.0,0.0,1.4987160737191398e-6,1.785225389609715e-6,1.5682993615926463e-6,1.4866556901070307e-6,1.547200101974361e-6
t7,0.0,0.0,0.0,0.0,0.0,1.4987480172336246e-6,1.7853410100066081e-6,1.5683169414934651e-6,1.486646108353233e-6,1.5471809884968512e-6
t8,0.0,0.0,0.0,0.0,0.0,1.4987834864142618e-6,1.7854815375343731e-6,1.5683379569152525e-6,1.4866434450384113e-6,1.5471546187289914e-6
t9,0.0,0.0,0.0,0.0,0.0,1.498779112000525e-6,1.7856531905527294e-6,1.5683527624882461e-6,1.4866460935486056e-6,1.5471301468859902e-6
t10,0.0,0.0,0.0,0.0,0.0,1.498756213794512e-6,1.7858365172969025e-6,1.5683117525045298e-6,1.4866340220468873e-6,1.547126336804036e-6
t11,0.0,0.0,0.0,0.0,0.0,1.4987605939735024e-6,1.7858673710240236e-6,1.5683128790372992e-6,1.4866297446571188e-6,1.54714724495406e-6
t12,0.0,0.0,0.0,0.0,0.0,1.4987571857296824e-6,1.7859201779413955e-6,1.568304944501934e-6,1.4866268967477963e-6,1.5471484006487883e-6
t13,0.0,0.0,0.0,0.0,0.0,1.4987326520924302e-6,1.7859191031505784e-6,1.5683232361236032e-6,1.4866261577526953e-6,1.5471322264809392e-6
t14,0.0,0.0,0.0,0.0,0.0,1.4986981050065873e-6,1.7858576614849615e-6,1.568359326206959e-6,1.486631748426091e-6,1.5471224642327678e-6
