,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.003436375955384631,0.004195484909745972,0.003673621039613471,0.0034653949648294226,0.0036552257904942163
t1,0.0,0.0,0.0,0.0,0.0,4.091872228012342e-6,4.995214749518982e-6,4.373070596387554e-6,4.125498355320135e-6,4.351346357654148e-6
t2,0.0,0.0,0.0,0.0,0.0,4.092127430995473e-6,4.994765080646365e-6,4.373139555112815e-6,4.125494750650922e-6,4.3513597183179086e-6
t3,0.0,0.0,0.0,0.0,0.0,4.092303699079594e-6,4.994644981576387e-6,4.373183333904039e-6,4.125520308427394e-6,4.351367768254639e-6
t4,0.0,0.0,0.0,0.0,0.0,4.092462290861258e-6,4.994617131848099e-6,4.373228701212841e-6,4.125525121123879e-6,4.351351631225427e-6
t5,0.0,0.0,0.0,0.0,0.0,4.09252814166676e-6,4.99458778726405e-6,4.373219174987571e-6,4.125524051092969e-6,4.351331559175209e-6
t6,0.0,0.0,0.0,0.0,0.0,4.0925624665489294e-6,4.994570767167644e-6,4.37313912839706e-6,4.125517803077077e-6,4.351364553431946e-6
t7,0.0,0.0,0.0,0.0,0.0,4.092599058777337e-6,4.9947097450815116e-6,4.3731666709285585e-6,4.125508486111683e-6,4.351343476353438e-6
t8,0.0,0.0,0.0,0.0,0.0,4.0926353410206725e-6,4.994873843777113e-6,4.373194241488588e-6,4.125504950877194e-6,4.3513149056492765e-6
t9,0.0,0.0,0.0,0.0,0.0,4.0926254464608585e-6,4.995036541286353e-6,4.373214421491218e-6,4.125506154222596e-6,4.3512866647640196e-6
t10,0.0,0.0,0.0,0.0,0.0,4.092596136083506e-6,4.995165237997474e-6,4.3731937351789185e-6,4.125494642825315e-6,4.3512825574647664e-6
t11,0.0,0.0,0.0,0.0,0.0,4.0925819985895135e-6,4.995181970751213e-6,4.373204985906028e-6,4.125487542323755e-6,4.351302536080459e-6
t12,0.0,0.0,0.0,0.0,0.0,4.0925743378051454e-6,4.995213084120755e-6,4.37319969305039e-6,4.12548568718778e-6,4.351305784926062e-6
t13,0.0,0.0,0.0,0.0,0.0,4.0925395310329705e-6,4.995199310713436e-6,4.373210305703798e-6,4.125486168229065e-6,4.351287761938691e-6
t14,0.0,0.0,0.0,0.0,0.0,4.09250103094316e-6,4.995144465436128e-6,4.3732280606184624e-6,4.125492615795523e-6,4.351278592175621e-6
