Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
CAPTURE_COMP_1,1,0.0,0.0,0.0
CAPTURE_COMP_2,2,0.0,0.0,0.0
CAPTURE_COMP_3,3,0.0,0.0,0.0
CAPTURE_COMP_4,4,0.0,0.0,0.0
CAPTURE_COMP_5,5,0.0,0.0,0.0
CAPTURE_COMP_6,6,0.39719098009512277,0.13735102166793567,0.5345420017630584
CAPTURE_COMP_7,7,0.47236627871207676,0.16334709052820529,0.6357133692402821
CAPTURE_COMP_8,8,0.40307522801942186,0.13938582987016715,0.542461057889589
CAPTURE_COMP_9,9,0.3798484451382752,0.1313538691292138,0.511202314267489
CAPTURE_COMP_10,10,0.38142885929110687,0.1319003858162189,0.5133292451073258
