,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0005219837955781351,0.0006333033681099427,0.0005550283151854251,0.0005242129103850897,0.0005509910625305932
t1,0.0,0.0,0.0,0.0,0.0,6.216085994494509e-7,7.540861576407234e-7,6.606736544526785e-7,6.240731040265336e-7,6.559172694172494e-7
t2,0.0,0.0,0.0,0.0,0.0,6.216611933902934e-7,7.539652701437245e-7,6.606845345226514e-7,6.240699594008832e-7,6.559197996231921e-7
t3,0.0,0.0,0.0,0.0,0.0,6.216974132431133e-7,7.539343766185508e-7,6.606949318566663e-7,6.240740345600917e-7,6.559213101749965e-7
t4,0.0,0.0,0.0,0.0,0.0,6.217290159350234e-7,7.539262439107216e-7,6.607048292313398e-7,6.24074546523606e-7,6.559176022231087e-7
t5,0.0,0.0,0.0,0.0,0.0,6.217416615775248e-7,7.539188608369203e-7,6.607021583101087e-7,6.240743838512899e-7,6.559133333881336e-7
t6,0.0,0.0,0.0,0.0,0.0,6.217501736778093e-7,7.539133326336422e-7,6.606879600868553e-7,6.240736924420726e-7,6.559203896811813e-7
t7,0.0,0.0,0.0,0.0,0.0,6.217577948524188e-7,7.539416439657989e-7,6.60692977701329e-7,6.240715909044987e-7,6.559159204913521e-7
t8,0.0,0.0,0.0,0.0,0.0,6.217657736107646e-7,7.539755184018372e-7,6.60698380462507e-7,6.240709016258154e-7,6.559098111108634e-7
t9,0.0,0.0,0.0,0.0,0.0,6.217641869009057e-7,7.540126981805059e-7,6.607022708585162e-7,6.240713299521576e-7,6.55903949455481e-7
t10,0.0,0.0,0.0,0.0,0.0,6.217583813064356e-7,7.540473951887346e-7,6.606954102303995e-7,6.240687075337889e-7,6.559030690426908e-7
t11,0.0,0.0,0.0,0.0,0.0,6.217572962930075e-7,7.540526868054062e-7,6.606967865816979e-7,6.240674423122731e-7,6.559076156510386e-7
t12,0.0,0.0,0.0,0.0,0.0,6.217560654170728e-7,7.54062018741311e-7,6.606953156958185e-7,6.24066919333636e-7,6.559081054359232e-7
t13,0.0,0.0,0.0,0.0,0.0,6.217494667635445e-7,7.540603676216783e-7,6.60698529851207e-7,6.240668906491717e-7,6.559043027122629e-7
t14,0.0,0.0,0.0,0.0,0.0,6.217413439176119e-7,7.540474365136251e-7,6.607045174149868e-7,6.240682293014434e-7,6.559021974726128e-7
t15,0.0,0.0,0.0,0.0,0.0,6.217282128649125e-7,7.540318496223331e-7,6.607084276678816e-7,6.24067987362749e-7,6.55901708720976e-7
t16,0.0,0.0,0.0,0.0,0.0,6.21705768323859e-7,7.540007088922924e-7,6.607236605229334e-7,6.240678067659558e-7,6.559058602338801e-7
t17,0.0,0.0,0.0,0.0,0.0,6.216882958687455e-7,7.539985701417389e-7,6.607413695232103e-7,6.240669314659016e-7,6.559057676716303e-7
