Resource,Zone,Capacity
Liquid_DAC_1,1,0.0
Liquid_DAC_2,2,0.0
Liquid_DAC_3,3,0.0
Liquid_DAC_4,4,0.0
Liquid_DAC_5,5,0.0
Liquid_DAC_6,6,1.2462587247872602e-6
Liquid_DAC_7,7,1.3808179481168652e-6
Liquid_DAC_8,8,1.2560629944950911e-6
Liquid_DAC_9,9,1.2135256916840105e-6
Liquid_DAC_10,10,1.2122671618737475e-6
Solid_DAC_1,1,0.0
Solid_DAC_2,2,0.0
Solid_DAC_3,3,0.0
Solid_DAC_4,4,0.0
Solid_DAC_5,5,0.0
Solid_DAC_6,6,4.696050189853643e-6
Solid_DAC_7,7,5.77420205334139e-6
Solid_DAC_8,8,5.0661742528153845e-6
Solid_DAC_9,9,4.79078587365313e-6
Solid_DAC_10,10,5.066395160263928e-6
Total,n/a,3.1702540050884454e-5
