,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.004694098881098337,0.005695174173650565,0.00499126182720706,0.004714144877563755,0.004954955598296701
t1,0.0,0.0,0.0,0.0,0.0,5.590005390732473e-6,6.781350338495715e-6,5.941309842200346e-6,5.612168201677461e-6,5.898536595478862e-6
t2,0.0,0.0,0.0,0.0,0.0,5.590478357826379e-6,6.7802632207169474e-6,5.941407684556218e-6,5.612139922669813e-6,5.898559349129425e-6
t3,0.0,0.0,0.0,0.0,0.0,5.590804075927279e-6,6.779985401245961e-6,5.941501185761388e-6,5.612176569784997e-6,5.898572933228386e-6
t4,0.0,0.0,0.0,0.0,0.0,5.591088272796973e-6,6.779912265384187e-6,5.941590190929315e-6,5.6121811737734356e-6,5.898539588337309e-6
t5,0.0,0.0,0.0,0.0,0.0,5.591201992603641e-6,6.7798458708356146e-6,5.941566171853496e-6,5.612179710892895e-6,5.898501199533576e-6
t6,0.0,0.0,0.0,0.0,0.0,5.59127854026807e-6,6.7797961567773585e-6,5.941438489989706e-6,5.6121734931841065e-6,5.898564655406307e-6
t7,0.0,0.0,0.0,0.0,0.0,5.591347076010961e-6,6.78005075508812e-6,5.941483612422024e-6,5.6121545944649165e-6,5.898524464850289e-6
t8,0.0,0.0,0.0,0.0,0.0,5.591418827434934e-6,6.780355381311486e-6,5.941532198403841e-6,5.612148395915606e-6,5.898469524378268e-6
t9,0.0,0.0,0.0,0.0,0.0,5.591404558461383e-6,6.780689731839082e-6,5.941567183979463e-6,5.612152247771202e-6,5.89841681165001e-6
t10,0.0,0.0,0.0,0.0,0.0,5.5913523498780185e-6,6.781001755294376e-6,5.941505487683449e-6,5.612128664872203e-6,5.898408894268803e-6
t11,0.0,0.0,0.0,0.0,0.0,5.5913425925630165e-6,6.781049341775236e-6,5.941517864943327e-6,5.612117286980874e-6,5.89844978103452e-6
t12,0.0,0.0,0.0,0.0,0.0,5.591331523534828e-6,6.78113326206215e-6,5.941504637552325e-6,5.6121125839355755e-6,5.89845418557485e-6
t13,0.0,0.0,0.0,0.0,0.0,5.5912721831254e-6,6.781118413864013e-6,5.9415335418274015e-6,5.61211232598176e-6,5.8984199884196305e-6
t14,0.0,0.0,0.0,0.0,0.0,5.591199135949747e-6,6.781002126921089e-6,5.9415873868254215e-6,5.612124364221613e-6,5.898401056408389e-6
t15,0.0,0.0,0.0,0.0,0.0,5.591081050943458e-6,6.78086195703537e-6,5.941622550970158e-6,5.61212218851393e-6,5.898396661159857e-6
t16,0.0,0.0,0.0,0.0,0.0,5.590879211545495e-6,6.780581914499033e-6,5.94175953707674e-6,5.612120564442049e-6,5.898433994908994e-6
t17,0.0,0.0,0.0,0.0,0.0,5.590722085150589e-6,6.780562681130746e-6,5.941918790676352e-6,5.612112693038683e-6,5.898433162514661e-6
