,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0011750987292759377,0.001416983324371969,0.0012429461945069457,0.0011753536337479195,0.0012311400243472637
t1,0.0,0.0,0.0,0.0,0.0,1.3994965465254652e-6,1.6873705088459046e-6,1.4794635434262242e-6,1.3992660515111457e-6,1.4655717930788273e-6
t2,0.0,0.0,0.0,0.0,0.0,1.3996451786155428e-6,1.6869834103749288e-6,1.4794889228140269e-6,1.399253294667897e-6,1.4655785837884055e-6
t3,0.0,0.0,0.0,0.0,0.0,1.399747365173121e-6,1.6868862063485291e-6,1.4795205217625588e-6,1.3992628905437868e-6,1.4655826134781466e-6
t4,0.0,0.0,0.0,0.0,0.0,1.3998349335488705e-6,1.686859366731735e-6,1.4795493746991077e-6,1.3992635641365384e-6,1.4655715186376767e-6
t5,0.0,0.0,0.0,0.0,0.0,1.3998691794980156e-6,1.6868363499229315e-6,1.4795406862608516e-6,1.3992631976304078e-6,1.4655592416757428e-6
t6,0.0,0.0,0.0,0.0,0.0,1.3998955523794834e-6,1.686817471199689e-6,1.479504265009467e-6,1.3992622044051638e-6,1.4655795964708666e-6
t7,0.0,0.0,0.0,0.0,0.0,1.3999172189645964e-6,1.6868969478809494e-6,1.4795173838190025e-6,1.399255973042423e-6,1.4655667642056877e-6
t8,0.0,0.0,0.0,0.0,0.0,1.3999405752192596e-6,1.6869927681134208e-6,1.4795322023591315e-6,1.3992540884229805e-6,1.4655491422580219e-6
t9,0.0,0.0,0.0,0.0,0.0,1.3999368201421824e-6,1.6871037206715928e-6,1.4795427641992494e-6,1.3992555894636716e-6,1.465532510033382e-6
t10,0.0,0.0,0.0,0.0,0.0,1.399920791832608e-6,1.6872149470913851e-6,1.4795191904752377e-6,1.3992477754774622e-6,1.4655299672499884e-6
t11,0.0,0.0,0.0,0.0,0.0,1.3999206719422636e-6,1.6872328714119244e-6,1.4795215617637924e-6,1.3992445191246923e-6,1.465543507822286e-6
t12,0.0,0.0,0.0,0.0,0.0,1.3999177540497009e-6,1.687263948671416e-6,1.4795167925274062e-6,1.3992428145204712e-6,1.4655446023167857e-6
t13,0.0,0.0,0.0,0.0,0.0,1.3999000318620726e-6,1.6872611958544969e-6,1.4795275307201266e-6,1.3992425274948967e-6,1.4655337132194014e-6
