Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
CAPTURE_COMP_1,1,76135.0069722954,26327.941762010294,102462.9487343057
CAPTURE_COMP_2,2,5.585200439391036e6,1.9313957894684374e6,7.516596228859473e6
CAPTURE_COMP_3,3,2038.6558518681447,704.9794132191669,2743.6352650873114
CAPTURE_COMP_4,4,3336.1551894683394,1153.662461334148,4489.817650802487
CAPTURE_COMP_5,5,496616.09928269836,171732.82383423686,668348.9231169352
CAPTURE_COMP_6,6,95553.62534459663,33043.01638977893,128596.64173437556
CAPTURE_COMP_7,7,8.589000637708327e6,2.97012790273652e6,1.1559128540444847e7
CAPTURE_COMP_8,8,9.079158937725402e6,3.139627580876846e6,1.2218786518602248e7
CAPTURE_COMP_9,9,2682.0160157260475,927.4572141631127,3609.4732298891604
CAPTURE_COMP_10,10,533035.1198770424,184326.73945029837,717361.8593273407
