Resource,Zone,Investment_Cost,Fixed_OM_Cost,Var_OM_Cost,Startup_Cost
Liquid_DAC_1,1,3826.254557678512,1302.9056467957,0.12687548656537484,0.0
Liquid_DAC_2,2,4028.9652292522796,1371.9321254781469,0.131373018319464,0.0
Liquid_DAC_3,3,3691.2619102568583,1256.9383228891888,0.11658213499870401,0.0
Liquid_DAC_4,4,3789.930308971134,1290.5366138306879,0.13151326487918188,0.0
Liquid_DAC_5,5,3918.1868140153038,1334.2101651172802,0.13354821673524178,0.0
Liquid_DAC_6,6,3768.177556660571,1283.1294266214877,0.11300404097131386,0.0
Liquid_DAC_7,7,3931.516671846715,1338.7492115340108,0.13432079176508832,0.0
Liquid_DAC_8,8,3831.226893134574,1304.5988127484109,0.13070222793678724,0.0
Liquid_DAC_9,9,3788.865915870917,1290.1741696284587,0.13144796830786035,0.0
Liquid_DAC_10,10,3315.835722810255,1129.0992331983196,0.1145250465527253,0.0
Solid_DAC_1,1,2.3404691529797465e6,256923.6814549195,29.753692662013098,0.0
Solid_DAC_2,2,1.730788158353407e8,1.899962940748853e7,2200.9434038657196,0.0
Solid_DAC_3,3,43530.655083164,4778.553114392439,0.5444709657268447,0.0
Solid_DAC_4,4,84324.1518764589,9256.636221024812,1.063128296526487,0.0
Solid_DAC_5,5,1.5370834636555199e7,1.687324704463954e6,195.4538291329012,0.0
Solid_DAC_6,6,2.9428301002499796e6,323047.51476428343,37.41725132686505,0.0
Solid_DAC_7,7,2.6616877338813478e8,2.9218527003509533e7,3384.7194432042666,0.0
Solid_DAC_8,8,2.813591908406281e8,3.0886046513332102e7,3577.887591544825,0.0
Solid_DAC_9,9,64801.097165193874,7113.503899337072,0.8143387682435542,0.0
Solid_DAC_10,10,1.6499258407491561e7,1.811196787589299e6,209.8026941361787,0.0
