,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,317195.83506384876,0.0,0.0,0.0,210580.02318622448
t1,0.0,0.0,0.0,0.0,0.0,480.0328798532242,0.0,0.0,0.0,170.05889391169487
t2,0.0,0.0,0.0,0.0,0.0,480.34624637111597,0.0,0.0,0.0,169.88185837848323
t3,0.0,0.0,0.0,0.0,0.0,480.33587617274674,0.0,0.0,0.0,169.89210091925318
t4,0.0,0.0,0.0,0.0,0.0,480.4295743877775,0.0,0.0,0.0,169.79826853643638
t5,0.0,0.0,0.0,0.0,0.0,480.25348372790836,0.0,0.0,0.0,169.974348067768
t6,0.0,0.0,0.0,0.0,0.0,63.62200697991194,0.0,0.0,0.0,586.5447716663565
t7,0.0,0.0,0.0,0.0,0.0,63.06985171567272,0.0,0.0,0.0,587.0618610639783
t8,0.0,0.0,0.0,0.0,0.0,233.53249183026145,0.0,0.0,0.0,416.6122226039455
t9,0.0,0.0,0.0,0.0,0.0,63.01056470003529,0.0,0.0,0.0,587.1185602149022
t10,0.0,0.0,0.0,0.0,0.0,62.828052185463484,0.0,0.0,0.0,473.1548283580277
t11,0.0,0.0,0.0,0.0,0.0,61.974480957146575,0.0,0.0,0.0,405.5638266373754
t12,0.0,0.0,0.0,0.0,0.0,62.93665012679354,0.0,0.0,0.0,404.60280613915927
t13,0.0,0.0,0.0,0.0,0.0,62.938817025072844,0.0,0.0,0.0,404.60110778840624
t14,0.0,0.0,0.0,0.0,0.0,62.9654437383113,0.0,0.0,0.0,404.6136047804172
t15,0.0,0.0,0.0,0.0,0.0,62.86874512237881,0.0,0.0,0.0,404.7093245749461
t16,0.0,0.0,0.0,0.0,0.0,62.86822392776193,0.0,0.0,0.0,404.7099989832413
t17,0.0,0.0,0.0,0.0,0.0,62.203612187045955,0.0,0.0,0.0,404.61435387648146
t18,0.0,0.0,0.0,0.0,0.0,60.87863512644615,0.0,0.0,0.0,404.6214859247985
t19,0.0,0.0,0.0,0.0,0.0,60.810592335070815,0.0,0.0,0.0,404.6892652812657
t20,0.0,0.0,0.0,0.0,0.0,60.833303572445324,0.0,0.0,0.0,404.66858134524955
t21,0.0,0.0,0.0,0.0,0.0,174.34371609918165,0.0,0.0,0.0,406.56242054346467
t22,0.0,0.0,0.0,0.0,0.0,63.14899698572766,0.0,0.0,0.0,586.9825308459466
t23,0.0,0.0,0.0,0.0,0.0,63.18481401949349,0.0,0.0,0.0,586.9472775755421
t24,0.0,0.0,0.0,0.0,0.0,480.6162306716922,0.0,0.0,0.0,169.61261832017047
t25,0.0,0.0,0.0,0.0,0.0,480.53765584257644,0.0,0.0,0.0,169.69029122985853
t26,0.0,0.0,0.0,0.0,0.0,480.53880154072834,0.0,0.0,0.0,169.68913054575853
t27,0.0,0.0,0.0,0.0,0.0,480.54112567628135,0.0,0.0,0.0,169.6858534849577
t28,0.0,0.0,0.0,0.0,0.0,480.5366539582808,0.0,0.0,0.0,169.69029711914305
t29,0.0,0.0,0.0,0.0,0.0,480.5292532676246,0.0,0.0,0.0,169.69852904776312
t30,0.0,0.0,0.0,0.0,0.0,62.85740696307865,0.0,0.0,0.0,587.1584690495089
t31,0.0,0.0,0.0,0.0,0.0,62.85600917687464,0.0,0.0,0.0,587.1588116196713
t32,0.0,0.0,0.0,0.0,0.0,63.18394826237782,0.0,0.0,0.0,586.9478819989333
t33,0.0,0.0,0.0,0.0,0.0,63.21386078144637,0.0,0.0,0.0,586.9178442438593
t34,0.0,0.0,0.0,0.0,0.0,63.23949786933915,0.0,0.0,0.0,586.892115340065
t35,0.0,0.0,0.0,0.0,0.0,63.23837641347288,0.0,0.0,0.0,586.8932474487935
t36,0.0,0.0,0.0,0.0,0.0,63.23817622353321,0.0,0.0,0.0,586.8934464864187
t37,0.0,0.0,0.0,0.0,0.0,63.238053352014234,0.0,0.0,0.0,586.8935666185263
t38,0.0,0.0,0.0,0.0,0.0,63.239194635685976,0.0,0.0,0.0,586.8924176687715
t39,0.0,0.0,0.0,0.0,0.0,63.235380541253626,0.0,0.0,0.0,586.8962866690739
t40,0.0,0.0,0.0,0.0,0.0,63.34099200243932,0.0,0.0,0.0,586.7908152004052
t41,0.0,0.0,0.0,0.0,0.0,63.250193024586096,0.0,0.0,0.0,586.8814514134959
t42,0.0,0.0,0.0,0.0,0.0,63.25053807629265,0.0,0.0,0.0,586.881128072453
t43,0.0,0.0,0.0,0.0,0.0,63.23756013354136,0.0,0.0,0.0,586.8941405383154
t44,0.0,0.0,0.0,0.0,0.0,63.23504480326443,0.0,0.0,0.0,586.8966425693097
t45,0.0,0.0,0.0,0.0,0.0,63.43255204232919,0.0,0.0,0.0,586.6993091980091
t46,0.0,0.0,0.0,0.0,0.0,63.22858293447539,0.0,0.0,0.0,586.9035330260458
t47,0.0,0.0,0.0,0.0,0.0,62.857409671208195,0.0,0.0,0.0,587.1582615641199
t48,0.0,0.0,0.0,0.0,0.0,62.85757704899803,0.0,0.0,0.0,587.1581371655506
t49,0.0,0.0,0.0,0.0,0.0,303.2829447244451,0.0,0.0,0.0,346.93742875940967
t50,0.0,0.0,0.0,0.0,0.0,305.5115752535488,0.0,0.0,0.0,344.7086521895588
t51,0.0,0.0,0.0,0.0,0.0,478.95398347221976,0.0,0.0,0.0,171.26130701378142
t52,0.0,0.0,0.0,0.0,0.0,479.05317964129085,0.0,0.0,0.0,171.16197921075653
t53,0.0,0.0,0.0,0.0,0.0,62.867602757695145,0.0,0.0,0.0,587.1577557470282
t54,0.0,0.0,0.0,0.0,0.0,62.853518266035564,0.0,0.0,0.0,587.1584981443696
t55,0.0,0.0,0.0,0.0,0.0,62.85392888305381,0.0,0.0,0.0,587.158023285043
t56,0.0,0.0,0.0,0.0,0.0,63.252746761651956,0.0,0.0,0.0,586.878577166001
t57,0.0,0.0,0.0,0.0,0.0,63.20299830291313,0.0,0.0,0.0,586.9282146063904
t58,0.0,0.0,0.0,0.0,0.0,63.21626464065472,0.0,0.0,0.0,586.914830377401
t59,0.0,0.0,0.0,0.0,0.0,63.216486171958756,0.0,0.0,0.0,586.9146179755895
t60,0.0,0.0,0.0,0.0,0.0,63.29306792954459,0.0,0.0,0.0,586.8382126187549
t61,0.0,0.0,0.0,0.0,0.0,63.212757573819886,0.0,0.0,0.0,586.9184628861709
t62,0.0,0.0,0.0,0.0,0.0,63.21215807400993,0.0,0.0,0.0,586.9190262590287
t63,0.0,0.0,0.0,0.0,0.0,63.29984977861961,0.0,0.0,0.0,586.8314481122417
t64,0.0,0.0,0.0,0.0,0.0,63.29954907456944,0.0,0.0,0.0,586.8318818026039
t65,0.0,0.0,0.0,0.0,0.0,63.30107963321244,0.0,0.0,0.0,586.8301786258216
t66,0.0,0.0,0.0,0.0,0.0,63.28416114892571,0.0,0.0,0.0,586.8470314630557
t67,0.0,0.0,0.0,0.0,0.0,63.284181801427124,0.0,0.0,0.0,586.8470466328223
