Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
GEO_SEQ_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_INJECT_6,6,214847.88256145973,346366.8325484205,561214.7151098803
GEO_SEQ_INJECT_7,7,0.0,0.0,0.0
GEO_SEQ_INJECT_8,8,0.0,0.0,0.0
GEO_SEQ_INJECT_9,9,0.0,0.0,0.0
GEO_SEQ_INJECT_10,10,262243.6208487775,422775.83202820853,685019.452876986
GEO_SEQ_GAS_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0,0.0,0.0
