,Captured CO2 Compressed,Captured CO2 Compressed,Captured CO2 Compressed,Captured CO2 Compressed,Captured CO2 Compressed,Captured CO2 Compressed,Captured CO2 Compressed,Captured CO2 Compressed,Captured CO2 Compressed,Captured CO2 Compressed
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,1632.9809332796278,120569.98126732383,32.58706378305508,61.28753627292632,10709.657523873213,2116.3136612837716,184868.69783145213,196191.2907808557,49.034272776613804,11877.777852487188
t1,2.011543344798815,148.55811042253964,0.039773056558576,0.07516754087199837,13.195799811553478,2.5284425517754703,228.45824156580315,241.49620990862488,0.0583735689593527,14.163796323893278
t2,2.0115419308401674,148.5581067528462,0.039777464017519165,0.07517233885508323,13.195800259073174,2.5284423508142604,228.4582429115557,241.4962595571561,0.058372905520780595,14.163793316337044
t3,2.0115421540224676,148.55810809954775,0.039778262326121194,0.07517474565436788,13.195798615234343,2.528447380830756,228.45824469419225,241.49626691429623,0.05837285175909683,14.163792515367907
t4,2.0115445122831983,148.55811015967865,0.03977884625172194,0.07517515658693623,13.195800570801254,2.5284477230716904,228.45824091942518,241.49626625103537,0.05837306286638364,14.163792490037107
t5,2.011540722669388,148.55810786175346,0.03977523009253007,0.0751747815660617,13.195796811777607,2.5284491124879565,228.4582363984454,241.4962648263437,0.05837306129199284,14.163793708687825
t6,2.011478048104286,148.558052031007,0.03973704552921377,0.07514787244002444,13.19574406745496,2.5284492645747214,228.4581805123078,241.49619864382706,0.05837032493049506,14.163791026875383
t7,2.011235029633975,148.55786004103177,0.03963136469277122,0.07505755135146534,13.195532456244136,2.5283127245499046,228.45786891130552,241.49601924199686,0.05836604126848302,14.163788476269362
t8,2.011249628425821,148.55780183713517,0.03959844079600678,0.07503342043204159,13.19545672240719,2.5281766811829334,228.45760601042628,241.49602111504666,0.05837036818596772,14.163792646735425
t9,2.0111118962598002,148.55778752429524,0.03958110377626073,0.0750205324228956,13.195466377925928,2.527950811133457,228.4561360106002,241.495900929115,0.058360548137832084,14.163783261858939
t10,2.011113251160254,148.55780550813313,0.039555767085169606,0.07503224713516188,13.195466031018796,2.525376789289481,114.2279560131478,241.49592478443546,0.05837000933251078,14.163793744716639
t11,2.011127161535,148.55780854019523,0.03955613333726152,0.0750300432315689,13.195474753932311,2.5252600896722583,45.71042820440318,241.4959557775926,0.058369210995430056,14.163790239282498
t12,2.0112524604309887,148.55781002714113,0.039571860023335244,0.07503322657070426,13.19557856268063,2.525233471750246,45.711065460299594,241.49605960641765,0.05837014285569945,14.163793234615875
t13,2.0112637754277083,148.55780972271853,0.03957513951700615,0.07503367192095146,13.195586781450777,2.525086239347791,45.7116669311199,241.49605088734765,0.05837034750976513,14.163793231034163
t14,2.011259318055554,148.55780606012695,0.03957672684787303,0.07503397250307225,13.195591275246594,2.5254486224355586,45.75047159229252,241.49603158880845,0.05836992305025059,14.163792936829994
t15,2.011250727832322,148.55780384449187,0.03960817600057939,0.07503442255867107,13.195584944516527,2.5250870037776214,45.74986298115496,241.4960161946691,0.058370319129658205,14.163794196951947
t16,2.0112447592525746,148.5578038108192,0.039606228956971766,0.07503444747188484,13.195578031379425,2.525387563497283,45.74974363445156,241.4960033860333,0.058370742435342224,14.163792483579094
t17,2.011246164308909,148.55780398961016,0.0395750045338351,0.07503311605940617,13.195572157285289,1.764175124774131,45.75072765192015,241.495996439568,0.05837138935918744,14.163792651150283
t18,2.0112693095709577,148.5578073760414,0.039576962305655064,0.07503366050419868,13.19546755626573,0.5056094274496238,45.691491065733736,241.49599593468798,0.05837201830119034,14.163793339022915
t19,2.0112670595481514,148.5578078950367,0.039612082743277155,0.07503606702218563,13.195584434988765,0.5053840044487933,45.69131555450855,241.49599236965977,0.05837248331509388,14.163794918100866
t20,2.0112620766481184,148.55781330702223,0.03961809703291438,0.07504009259685718,13.19557652085325,0.5059672662469159,45.692747873839814,241.49599389942094,0.058372359194544726,14.163795860807827
t21,2.011251429256231,148.55785012960158,0.03963371713961218,0.07505540827553292,13.195583444528257,1.7703731779392018,159.92224736323618,241.49599615478584,0.05837245439830479,14.163793962330814
t22,2.011262644227098,148.55784917898217,0.039634100837621526,0.07505426136258177,13.19557840759628,2.5281898818498316,228.45776007397802,241.49599528885506,0.0583701452914098,14.16379222870778
t23,2.0113326045966393,148.55789651218848,0.03964647538998026,0.07507665890253605,13.19561799148792,2.528267988283244,228.45799497162994,241.49606014868124,0.05836968575959201,14.163792436494116
t24,2.011531836855588,148.55809486141314,0.03977223316843863,0.07516855721170343,13.195784325273504,2.5282740006057276,228.45823111828784,241.49624921769785,0.0583741653411386,14.16379540457288
t25,2.011560220679662,148.55811718035895,0.039774010371013094,0.07518241992895999,13.195802882550586,2.528292441269058,228.458253242702,241.4962715108255,0.058375614241194654,14.163796707474042
t26,2.0115605941942616,148.5581226834738,0.03977457112114934,0.07518383015242733,13.195803705366131,2.5282998789905107,228.45825205589284,241.49627559117692,0.058376433896907734,14.163795562368772
t27,2.011558843173112,148.55812151966367,0.03977428618995414,0.07518374418962981,13.195804624100443,2.5284671783734325,228.45824675052825,241.4962772304027,0.05837690223228461,14.163796410073973
t28,2.0115565033378187,148.55811735041672,0.03977243995700059,0.07518374504312889,13.195796183909774,2.5285012307089754,228.4582407875628,241.49627768881302,0.05837602481478355,14.163796344282122
t29,2.0115495139424975,148.55810494958982,0.03976507384886098,0.07518281557409244,13.195785069834105,2.5285129666019186,228.4582369996029,241.4962716453279,0.05837559579513564,14.163796212722014
t30,2.0113213893292112,148.55781834465748,0.039616622250509374,0.07504544826396388,13.195597032507276,2.5285249616549184,228.4582161419315,241.4960388377494,0.05835546707974933,14.163781105150768
t31,2.0112821109622416,148.55777054733122,0.03955309189417226,0.07502248959678272,13.195566699898478,2.528511796530978,228.45822213284322,241.49600245932083,0.05835536684052729,14.163778590985702
