CO2_Resource,Zone,etaPCO2_MWh_per_tonne,etaNG_MMBtu_per_tonne,etaFuel_MMBtu_per_tonne,Fuel,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_Cost_per_tonne,Power_Production_MWh_per_tonne,Fuel_CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Ramp_Up_Percentage,Ramp_Down_Percentage,CO2_Capture_Min_Output
CA_Solvent_wNGCC_DAC,1,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
NW_Solvent_wNGCC_DAC,2,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
SW_Solvent_wNGCC_DAC,3,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
TX_Solvent_wNGCC_DAC,4,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
NCEN_Solvent_wNGCC_DAC,5,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
CEN_Solvent_wNGCC_DAC,6,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
SE_Solvent_wNGCC_DAC,7,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
MIDAT_Solvent_wNGCC_DAC,8,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
NE_Solvent_wNGCC_DAC,9,0,10.397,0,None,9.56E+05,4.23E+05,64.31,0.125,0.99,0,-1,1,1,0.85
CA_Sorbent_wNGCC_DAC,1,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
NW_Sorbent_wNGCC_DAC,2,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
SW_Sorbent_wNGCC_DAC,3,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
TX_Sorbent_wNGCC_DAC,4,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
NCEN_Sorbent_wNGCC_DAC,5,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
CEN_Sorbent_wNGCC_DAC,6,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
SE_Sorbent_wNGCC_DAC,7,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
MIDAT_Sorbent_wNGCC_DAC,8,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
NE_Sorbent_wNGCC_DAC,9,0,22.643,0,None,2.39E+06,1.32E+06,68.32,0,0.9,0,-1,1,1,0.85
CA_Sorbent_DAC,1,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
NW_Sorbent_DAC,2,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
SW_Sorbent_DAC,3,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
TX_Sorbent_DAC,4,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
NCEN_Sorbent_DAC,5,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
CEN_Sorbent_DAC,6,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
SE_Sorbent_DAC,7,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
MIDAT_Sorbent_DAC,8,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
NE_Sorbent_DAC,9,4.38,0,0,None,1.05E+06,8.37E+05,24.64,0,0,0,-1,1,1,0.85
