CO2_Storage,Zone,MWh_per_tonne,Var_OM_Cost_per_tonne,Max_capacity_tonne_per_yr,Max_injection_rate_tonne_per_hr,CO2_Injection_Min_Output,CO2_Injection_Max_Output
CA_Repetto_Sst1,1,0,5.4,2288200,9239.9,0,1
CA_Temblor1a,1,0,6.5,7706600,32339.5,0,1
CA_Temblor2a,1,0,6.5,30526200,128780.6,0,1
CA_Temblor1b,1,0,7,7737800,32339.5,0,1
CA_Temblor2b,1,0,7,30649900,129358,0,1
CA_Moreno2,1,0,7.2,17202600,72186.4,0,1
CA_Repetto_Sst2a,1,0,7.5,1085400,4042.4,0,1
CA_Panoche1a,1,0,7.6,13425000,56594.1,0,1
CA_Repetto_Sst2b,1,0,7.7,1252900,5197.4,0,1
CA_Panoche1b,1,0,8,13463100,56594.1,0,1
CA_Repetto_Sst2c,1,0,8.2,1045000,4042.4,0,1
CA_Repetto_Sst3b,1,0,9.9,460000,1732.5,0,1
CA_Repetto_Sst3a,1,0,10.5,381700,1155,0,1
CA_Repetto_Sst3c,1,0,10.6,311800,1155,0,1
CA_Repetto_Sst3d,1,0,11.8,198600,577.5,0,1
CA_Temblor3a,1,0,12.5,1912800,8084.9,0,1
CA_Temblor3b,1,0,13,1914500,8084.9,0,1
CA_Temblor3c,1,0,13.6,1916200,8084.9,0,1
CA_Stevens1,1,0,18,231900,577.5,0,1
NW_Frontier3,2,0,5.3,2991800,12127.3,0,1
NW_Entrada2,2,0,7.3,8601300,35804.5,0,1
NW_Tensleep4,2,0,7.4,7503300,31184.5,0,1
NW_Lance1,2,0,7.5,1041100,4042.4,0,1
NW_Tensleep5,2,0,7.8,4421600,18479.7,0,1
NW_Morrison7,2,0,8.2,1596600,6352.4,0,1
NW_Red_River1,2,0,9,13737600,57749.1,0,1
NW_Maha01,2,0,9.2,2202200,9239.9,0,1
NW_Fort_Union2,2,0,9.9,864800,3464.9,0,1
NW_Entrada6,2,0,10.6,758200,2887.5,0,1
NW_Morrison8,2,0,10.7,2315100,9239.9,0,1
NW_Madison_GpMission_Canyon__Fm1,2,0,10.9,3850100,16169.8,0,1
NW_InyanKara2,2,0,11,3132900,12704.8,0,1
NW_Minnelusa2,2,0,11.1,2844300,11549.8,0,1
NW_InyanKara3,2,0,11.2,9302700,39269.4,0,1
NW_InyanKara1,2,0,11.5,8000000,33494.5,0,1
NW_Arbuckle3,2,0,11.6,514400,1732.5,0,1
NW_Red_River2,2,0,11.6,3344300,13859.8,0,1
NW_Arbuckle2,2,0,11.7,2087200,8662.4,0,1
NW_Madison_GpMission_Canyon_Fm4,2,0,11.8,5251800,21944.7,0,1
NW_Nugget1,2,0,11.8,2470800,10394.8,0,1
NW_Nugget2,2,0,13.1,8541000,35804.5,0,1
NW_Nugget4,2,0,13.7,928200,3464.9,0,1
NW_Madison1,2,0,13.8,1928600,8084.9,0,1
NW_Morrison6,2,0,14.7,1493500,5774.9,0,1
NW_Entrada1,2,0,14.8,5024300,20789.7,0,1
NW_Minnelusa1,2,0,15.1,1898700,7507.4,0,1
NW_Madison_GpMission_Canyon_Fm2,2,0,16.6,278700,1155,0,1
NW_DuperowLower_1,2,0,16.9,279600,1155,0,1
NW_Basal_Cambrian1,2,0,17,3123900,12704.8,0,1
NW_Dakota02,2,0,18.5,1470600,5774.9,0,1
NW_Basal_Cambrian7,2,0,19.3,3434300,14437.3,0,1
NW_Fountain1b,2,0,19.4,667600,2310,0,1
NW_Fountain2b,2,0,19.4,369800,1155,0,1
NW_Morrison3,2,0,19.4,1513800,6352.4,0,1
NW_Weber2,2,0,19.5,353000,1155,0,1
NW_Basal_Cambrian4,2,0,19.7,3316900,13859.8,0,1
SW_Forbes,3,0,5.6,9394000,39269.4,0,1
SW_Mokelumne_River1,3,0,5.6,1170300,4619.9,0,1
SW_Moreno1Starkey,3,0,5.9,13458400,56594.1,0,1
SW_Mokelumne_River2,3,0,6,19758400,83158.7,0,1
SW_Domengine2,3,0,6.2,11007400,46199.3,0,1
SW_Winters2,3,0,6.7,19090000,80271.3,0,1
SW_Starkey1,3,0,6.8,814500,2887.5,0,1
SW_Seven_Rivers1,3,0,6.9,12155100,50819.2,0,1
SW_Wolfcamp1,3,0,6.9,8956600,37536.9,0,1
SW_Arbuckle4,3,0,7,10144400,42734.4,0,1
SW_Domengine1,3,0,7,1408600,5774.9,0,1
SW_Wolfcamp2,3,0,7,5063700,21367.2,0,1
SW_Morrison2,3,0,7.1,1766600,6929.9,0,1
SW_Seven_Rivers2,3,0,7.1,2215700,9239.9,0,1
SW_Monterey1a,3,0,7.2,29418400,124160.6,0,1
SW_Monterey1b,3,0,7.6,29517000,124738.1,0,1
SW_Morrison1,3,0,7.6,390100,1155,0,1
SW_Leonard2,3,0,7.9,1698400,6929.9,0,1
SW_Canyon2,3,0,8,1863300,7507.4,0,1
SW_Leonard1,3,0,8,9317300,39269.4,0,1
SW_Canyon1,3,0,8.1,3327600,13859.8,0,1
SW_Canyon4,3,0,8.1,2432400,9817.4,0,1
SW_Canyon3,3,0,8.3,13497800,56594.1,0,1
SW_Navajo01,3,0,8.9,354100,1155,0,1
SW_Queen1,3,0,8.9,7858700,32917,0,1
SW_Queen2,3,0,9.1,1432500,5774.9,0,1
SW_Winters1a,3,0,9.6,655400,2310,0,1
SW_Winters1b,3,0,10.2,584600,2310,0,1
SW_Winters1c,3,0,10.9,512800,1732.5,0,1
SW_Entrada8,3,0,11.7,1192400,4619.9,0,1
SW_Atoka2,3,0,11.9,1483500,5774.9,0,1
SW_Hermosa1b,3,0,12.1,157300,577.5,0,1
SW_Atoka1,3,0,12.3,8102700,34072,0,1
SW_Hermosa1a,3,0,12.3,142400,577.5,0,1
SW_Cisco4,3,0,14.2,1346900,5197.4,0,1
SW_Cisco3,3,0,14.5,7474100,31184.5,0,1
SW_Cisco1,3,0,14.8,1887700,7507.4,0,1
SW_Cisco2,3,0,14.8,1067200,4042.4,0,1
SW_Entrada9,3,0,15.4,2492000,10394.8,0,1
TX_Frio02,4,0,4.7,6239900,25987.1,0,1
TX_Frio03a,4,0,5,6794500,28297.1,0,1
TX_Frio06,4,0,5,10082700,42156.9,0,1
TX_Frio09a,4,0,5,13109000,54861.7,0,1
TX_Frio12a,4,0,5.1,11078900,46776.8,0,1
TX_Frio12b,4,0,5.5,10113900,42734.4,0,1
TX_Frio07a,4,0,5.6,9051100,38114.4,0,1
TX_Frio10,4,0,5.9,10992100,46199.3,0,1
TX_Frio04,4,0,6,2702800,10972.3,0,1
TX_Frio13a,4,0,6,7696400,32339.5,0,1
TX_Frio01,4,0,6.3,3052300,12704.8,0,1
TX_Frio03b,4,0,6.3,3144900,13282.3,0,1
TX_Frio09b,4,0,6.3,6025300,25409.6,0,1
TX_Frio13b,4,0,6.5,6975000,29452.1,0,1
TX_Frio13c,4,0,7.1,6248300,25987.1,0,1
TX_Frio11,4,0,7.4,882000,3464.9,0,1
TX_Frio08,4,0,7.7,3590900,15014.8,0,1
TX_Lower_Tuscaloosa08,4,0,7.7,20357500,86046.2,0,1
TX_Frio05,4,0,9.2,579500,2310,0,1
TX_Lower_Tuscaloosa09,4,0,9.7,8942800,37536.9,0,1
TX_WashitaFredericksburg3,4,0,9.7,3730200,15592.3,0,1
TX_Paluxy1,4,0,9.9,477100,1732.5,0,1
TX_Frio07b,4,0,11.2,1678400,6929.9,0,1
TX_Lower_Tuscaloosa06,4,0,11.9,10334800,43311.8,0,1
NCEN_Mount_Simon03,5,0,6.1,21331700,90088.6,0,1
NCEN_Mount_Simon06,5,0,6.3,20937700,88356.2,0,1
NCEN_Mount_Simon07,5,0,7.2,4391300,18479.7,0,1
NCEN_Mount_Simon05,5,0,7.9,1384800,5774.9,0,1
NCEN_Mount_Simon02,5,0,8.6,1608300,6352.4,0,1
NCEN_Knox3,5,0,10.3,1658200,6929.9,0,1
NCEN_Knox5,5,0,11.5,608600,2310,0,1
NCEN_Knox1,5,0,11.9,2444100,9817.4,0,1
NCEN_StPeter07,5,0,14.5,469400,1732.5,0,1
NCEN_Mount_Simon08,5,0,15.5,1128100,4619.9,0,1
NCEN_Knox4,5,0,17.1,137300,577.5,0,1
NCEN_Knox6,5,0,17.2,182800,577.5,0,1
NCEN_Mount_Simon10,5,0,17.4,3754700,15592.3,0,1
NCEN_Knox2,5,0,18.3,599600,2310,0,1
NCEN_Niagaran01,5,0,19.1,1709100,6929.9,0,1
CEN_Woodbine1,6,0,6.2,35539400,150147.7,0,1
CEN_Lower_Tuscaloosa01,6,0,6.6,17951300,75651.4,0,1
CEN_Lower_Tuscaloosa10,6,0,7,10984500,46199.3,0,1
CEN_Arbuckle1,6,0,8.5,2442000,9817.4,0,1
CEN_Paluxy6,6,0,8.9,4965000,20789.7,0,1
CEN_Paluxy2,6,0,9.4,11096400,46776.8,0,1
CEN_Paluxy3,6,0,9.6,8856800,36959.4,0,1
CEN_Basal_Cambrian8,6,0,12.4,6040500,25409.6,0,1
CEN_Lower_Tuscaloosa07,6,0,14,1193100,4619.9,0,1
