Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
NW_Bio_Electricity_CCS_93_Herb,2,1,1.709,18.1,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
SW_Bio_Electricity_CCS_93_Herb,3,1,1.709,18.1,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
TX_Bio_Electricity_CCS_93_Herb,4,1,1.711,18.12,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
NCEN_Bio_Electricity_CCS_93_Herb,5,1,1.743,18.35,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
CEN_Bio_Electricity_CCS_93_Herb,6,1,1.723,18.2,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
SE_Bio_Electricity_CCS_93_Herb,7,1,1.715,18.16,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
MIDAT_Bio_Electricity_CCS_93_Herb,8,1,1.716,18.16,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
NE_Bio_Electricity_CCS_93_Herb,9,1,1.745,18.35,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
CA_Bio_Electricity_CCS_93_Wood,1,2,1.843,19.36,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
NW_Bio_Electricity_CCS_93_Wood,2,2,1.842,19.5,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
SW_Bio_Electricity_CCS_93_Wood,3,2,1.822,19.3,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
TX_Bio_Electricity_CCS_93_Wood,4,2,1.827,19.11,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
NCEN_Bio_Electricity_CCS_93_Wood,5,2,1.819,19.06,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
CEN_Bio_Electricity_CCS_93_Wood,6,2,1.814,19.16,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
SE_Bio_Electricity_CCS_93_Wood,7,2,1.829,19.18,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
MIDAT_Bio_Electricity_CCS_93_Wood,8,2,1.819,18.99,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
NE_Bio_Electricity_CCS_93_Wood,9,2,1.83,18.87,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
CA_Bio_Electricity_CCS_93_Agri_Res,1,3,1.72,18.33,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
NW_Bio_Electricity_CCS_93_Agri_Res,2,3,1.665,16.76,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
SW_Bio_Electricity_CCS_93_Agri_Res,3,3,1.681,16.97,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
TX_Bio_Electricity_CCS_93_Agri_Res,4,3,1.622,16.48,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
NCEN_Bio_Electricity_CCS_93_Agri_Res,5,3,1.709,17.28,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
CEN_Bio_Electricity_CCS_93_Agri_Res,6,3,1.697,17.14,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
SE_Bio_Electricity_CCS_93_Agri_Res,7,3,1.689,17.23,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
MIDAT_Bio_Electricity_CCS_93_Agri_Res,8,3,1.709,17.3,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
NE_Bio_Electricity_CCS_93_Agri_Res,9,3,1.716,17.51,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,-1,0.4,0.9
