Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1
,,,,,,,238,92.081
,,,,,,,239,92.081
,,,,,,,240,92.081
,,,,,,,241,92.081
,,,,,,,242,92.081
,,,,,,,243,92.081
,,,,,,,244,92.081
,,,,,,,245,92.081
,,,,,,,246,92.081
,,,,,,,247,92.081
,,,,,,,248,92.081
,,,,,,,249,92.081
,,,,,,,250,92.081
,,,,,,,251,92.081
,,,,,,,252,92.081
,,,,,,,253,92.081
,,,,,,,254,92.081
,,,,,,,255,92.081
,,,,,,,256,92.081
,,,,,,,257,92.081
,,,,,,,258,92.081
,,,,,,,259,92.081
,,,,,,,260,92.081
,,,,,,,261,92.081
,,,,,,,262,92.081
,,,,,,,263,92.081
,,,,,,,264,92.081
,,,,,,,265,92.081
,,,,,,,266,92.081
,,,,,,,267,92.081
,,,,,,,268,92.081
,,,,,,,269,92.081
,,,,,,,270,92.081
,,,,,,,271,92.081
,,,,,,,272,92.081
,,,,,,,273,92.081
,,,,,,,274,92.081
,,,,,,,275,92.081
,,,,,,,276,92.081
,,,,,,,277,92.081
,,,,,,,278,92.081
,,,,,,,279,92.081
,,,,,,,280,92.081
,,,,,,,281,92.081
,,,,,,,282,92.081
,,,,,,,283,92.081
,,,,,,,284,92.081
,,,,,,,285,92.081
,,,,,,,286,92.081
,,,,,,,287,92.081
,,,,,,,288,92.081
,,,,,,,289,92.081
,,,,,,,290,92.081
,,,,,,,291,92.081
,,,,,,,292,92.081
,,,,,,,293,92.081
,,,,,,,294,92.081
,,,,,,,295,92.081
,,,,,,,296,92.081
,,,,,,,297,92.081
,,,,,,,298,92.081
,,,,,,,299,92.081
,,,,,,,300,92.081
,,,,,,,301,92.081
,,,,,,,302,92.081
,,,,,,,303,92.081
,,,,,,,304,92.081
,,,,,,,305,92.081
,,,,,,,306,92.081
,,,,,,,307,92.081
