Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.44907619858922,352.5736904761909,2990.1025339441994
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.500549081564,322.4736904761909,2990.1025339441994
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.89202196454117,288.50369047619085,2990.1025339441994
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.59349484751595,262.27369047619084,2990.1025339441994
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.72496773049073,250.31369047619083,2990.1025339441994
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.72496773049073,250.31369047619083,3029.169707614602
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.72496773049073,261.83452380952417,3088.5482901577675
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.72496773049073,282.2753571428575,3155.756872700933
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58568899810864,302.71619047619083,3228.6454552440987
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.44641026572654,323.15702380952416,3280.999516513525
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.30713153334445,343.5978571428575,3325.7196330500674
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16785280096235,364.0386904761908,3393.9519318432
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.02857406858026,384.47952380952415,3446.741812799213
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.88929533619815,404.9203571428575,3509.124650290034
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.75001660381605,425.3611904761908,3555.328379434137
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.61073787143395,445.80202380952414,3555.328379434137
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.47145913905186,462.6451719576721,3555.328379434137
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.52293202202664,462.6451719576721,3555.328379434137
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.04440490500141,462.6451719576721,3555.328379434137
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5058777879762,458.65619047619066,3556.4178990887845
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.867350670951,458.65619047619066,3560.760704265516
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.33882355392578,458.65619047619066,3560.760704265516
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.08029643690057,458.65619047619066,3569.9869421446724
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.52176931987535,454.4361904761907,3569.9869421446724
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.12324220285012,445.2561904761907,3569.9869421446724
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.87471508582492,425.15619047619066,3538.265359229922
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1061879687997,396.1261904761907,3538.265359229922
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.06766085177449,371.39619047619067,3538.265359229922
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.549133734749276,355.59619047619066,3538.265359229922
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.240606617724055,355.59619047619066,3538.265359229922
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10132788534196,355.59619047619066,3538.265359229922
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.26313660849354,355.59619047619066,3538.265359229922
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.12385787611144,355.59619047619066,3540.014353447447
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.98457914372932,376.037023809524,3593.678115697513
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.84530041134722,396.4778571428573,3645.770738185916
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.70602167896513,416.91869047619065,3702.866477507232
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.56674294658303,437.359523809524,3768.266984375917
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42746421420094,457.8003571428573,3853.620170074398
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.28818548181884,478.24119047619064,3936.718752617564
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.14890674943675,498.68202380952397,4007.2127240525288
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.90037963241153,512.0428571428573,4067.2813065956943
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.19185251538632,512.0428571428573,4067.2813065956943
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.8433253983611,512.0428571428573,4067.2813065956943
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.37479828133588,508.3528571428573,4067.2813065956943
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.84627116431062,508.3528571428573,4098.384274585978
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.4377440472854,508.3528571428573,4106.56274074467
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.26921693026019,506.3828571428571,4091.664955194334
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.75068981323497,496.47285714285715,4091.664955194334
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35216269620976,481.3828571428571,4091.664955194334
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01363557918454,454.8928571428571,4091.664955194334
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.08510846215933,419.07285714285706,4091.664955194334
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92658134513411,387.7428571428571,4091.664955194334
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3480542281089,365.7428571428571,4091.664955194334
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.17952711108366,365.7428571428571,4091.664955194334
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.46099999405844,376.34369047619043,4091.664955194334
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.32172126167634,376.34369047619043,4091.664955194334
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.18244252929425,376.34369047619043,4136.1394645332775
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.04316379691217,396.78452380952376,4217.798047076443
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.90388506453007,417.2253571428571,4304.146629619609
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.76460633214798,437.6661904761904,4392.485212162774
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.62532759976588,450.7203571428572,4481.923794705939
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.48604886738379,471.16119047619054,4570.122377249105
t100,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,113.34677013500169,491.60202380952387,4652.69095979227
t101,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,118.2074914026196,512.0428571428572,4692.977253858869
t102,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,118.2074914026196,512.0428571428572,4692.977253858869
t103,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,118.2074914026196,512.0428571428572,4594.14640880137
t104,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,115.68896428559438,512.0428571428572,4545.64640880137
