Time_Index,CT_NG,ME_NG,MA_NG,None,uranium
0,0.05306,0.05306,0.05306,0,0
1,5.45,5.45,5.28,0,0.74
2,5.45,5.45,5.28,0,0.74
3,5.45,5.45,5.28,0,0.74
4,5.45,5.45,5.28,0,0.74
5,5.45,5.45,5.28,0,0.74
6,5.45,5.45,5.28,0,0.74
7,5.45,5.45,5.28,0,0.74
8,5.45,5.45,5.28,0,0.74
9,5.45,5.45,5.28,0,0.74
10,5.45,5.45,5.28,0,0.74
11,5.45,5.45,5.28,0,0.74
12,5.45,5.45,5.28,0,0.74
13,5.45,5.45,5.28,0,0.74
14,5.45,5.45,5.28,0,0.74
15,5.45,5.45,5.28,0,0.74
16,5.45,5.45,5.28,0,0.74
17,5.45,5.45,5.28,0,0.74
18,5.45,5.45,5.28,0,0.74
19,5.45,5.45,5.28,0,0.74
20,5.45,5.45,5.28,0,0.74
21,5.45,5.45,5.28,0,0.74
22,5.45,5.45,5.28,0,0.74
23,5.45,5.45,5.28,0,0.74
24,5.45,5.45,5.28,0,0.74
25,5.45,5.45,5.28,0,0.74
26,5.45,5.45,5.28,0,0.74
27,5.45,5.45,5.28,0,0.74
28,5.45,5.45,5.28,0,0.74
29,5.45,5.45,5.28,0,0.74
30,5.45,5.45,5.28,0,0.74
31,5.45,5.45,5.28,0,0.74
32,5.45,5.45,5.28,0,0.74
33,5.45,5.45,5.28,0,0.74
34,5.45,5.45,5.28,0,0.74
35,5.45,5.45,5.28,0,0.74
36,5.45,5.45,5.28,0,0.74
37,5.45,5.45,5.28,0,0.74
38,5.45,5.45,5.28,0,0.74
39,5.45,5.45,5.28,0,0.74
40,5.45,5.45,5.28,0,0.74
41,5.45,5.45,5.28,0,0.74
42,5.45,5.45,5.28,0,0.74
43,5.45,5.45,5.28,0,0.74
44,5.45,5.45,5.28,0,0.74
45,5.45,5.45,5.28,0,0.74
46,5.45,5.45,5.28,0,0.74
47,5.45,5.45,5.28,0,0.74
48,5.45,5.45,5.28,0,0.74
49,5.45,5.45,5.28,0,0.74
50,5.45,5.45,5.28,0,0.74
51,5.45,5.45,5.28,0,0.74
52,5.45,5.45,5.28,0,0.74
53,5.45,5.45,5.28,0,0.74
54,5.45,5.45,5.28,0,0.74
55,5.45,5.45,5.28,0,0.74
56,5.45,5.45,5.28,0,0.74
57,5.45,5.45,5.28,0,0.74
58,5.45,5.45,5.28,0,0.74
59,5.45,5.45,5.28,0,0.74
60,5.45,5.45,5.28,0,0.74
61,5.45,5.45,5.28,0,0.74
62,5.45,5.45,5.28,0,0.74
63,5.45,5.45,5.28,0,0.74
64,5.45,5.45,5.28,0,0.74
65,5.45,5.45,5.28,0,0.74
66,5.45,5.45,5.28,0,0.74
67,5.45,5.45,5.28,0,0.74
68,5.45,5.45,5.28,0,0.74
69,5.45,5.45,5.28,0,0.74
70,5.45,5.45,5.28,0,0.74
71,5.45,5.45,5.28,0,0.74
72,5.45,5.45,5.28,0,0.74
73,5.45,5.45,5.28,0,0.74
74,5.45,5.45,5.28,0,0.74
75,5.45,5.45,5.28,0,0.74
76,5.45,5.45,5.28,0,0.74
77,5.45,5.45,5.28,0,0.74
78,5.45,5.45,5.28,0,0.74
79,5.45,5.45,5.28,0,0.74
80,5.45,5.45,5.28,0,0.74
81,5.45,5.45,5.28,0,0.74
82,5.45,5.45,5.28,0,0.74
83,5.45,5.45,5.28,0,0.74
84,5.45,5.45,5.28,0,0.74
85,5.45,5.45,5.28,0,0.74
86,5.45,5.45,5.28,0,0.74
87,5.45,5.45,5.28,0,0.74
88,5.45,5.45,5.28,0,0.74
89,5.45,5.45,5.28,0,0.74
90,5.45,5.45,5.28,0,0.74
91,5.45,5.45,5.28,0,0.74
92,5.45,5.45,5.28,0,0.74
93,5.45,5.45,5.28,0,0.74
94,5.45,5.45,5.28,0,0.74
95,5.45,5.45,5.28,0,0.74
96,5.45,5.45,5.28,0,0.74
97,5.45,5.45,5.28,0,0.74
98,5.45,5.45,5.28,0,0.74
99,5.45,5.45,5.28,0,0.74
100,5.45,5.45,5.28,0,0.74
101,5.45,5.45,5.28,0,0.74
102,5.45,5.45,5.28,0,0.74
103,5.45,5.45,5.28,0,0.74
104,5.45,5.45,5.28,0,0.74
105,5.45,5.45,5.28,0,0.74
106,5.45,5.45,5.28,0,0.74
107,5.45,5.45,5.28,0,0.74
108,5.45,5.45,5.28,0,0.74
109,5.45,5.45,5.28,0,0.74
110,5.45,5.45,5.28,0,0.74
111,5.45,5.45,5.28,0,0.74
112,5.45,5.45,5.28,0,0.74
113,5.45,5.45,5.28,0,0.74
114,5.45,5.45,5.28,0,0.74
115,5.45,5.45,5.28,0,0.74
116,5.45,5.45,5.28,0,0.74
117,5.45,5.45,5.28,0,0.74
118,5.45,5.45,5.28,0,0.74
119,5.45,5.45,5.28,0,0.74
120,5.45,5.45,5.28,0,0.74
121,5.45,5.45,5.28,0,0.74
122,5.45,5.45,5.28,0,0.74
123,5.45,5.45,5.28,0,0.74
124,5.45,5.45,5.28,0,0.74
125,5.45,5.45,5.28,0,0.74
126,5.45,5.45,5.28,0,0.74
127,5.45,5.45,5.28,0,0.74
128,5.45,5.45,5.28,0,0.74
129,5.45,5.45,5.28,0,0.74
130,5.45,5.45,5.28,0,0.74
131,5.45,5.45,5.28,0,0.74
132,5.45,5.45,5.28,0,0.74
133,5.45,5.45,5.28,0,0.74
134,5.45,5.45,5.28,0,0.74
135,5.45,5.45,5.28,0,0.74
136,5.45,5.45,5.28,0,0.74
137,5.45,5.45,5.28,0,0.74
138,5.45,5.45,5.28,0,0.74
139,5.45,5.45,5.28,0,0.74
140,5.45,5.45,5.28,0,0.74
141,5.45,5.45,5.28,0,0.74
142,5.45,5.45,5.28,0,0.74
143,5.45,5.45,5.28,0,0.74
144,5.45,5.45,5.28,0,0.74
145,5.45,5.45,5.28,0,0.74
146,5.45,5.45,5.28,0,0.74
147,5.45,5.45,5.28,0,0.74
148,5.45,5.45,5.28,0,0.74
149,5.45,5.45,5.28,0,0.74
150,5.45,5.45,5.28,0,0.74
151,5.45,5.45,5.28,0,0.74
152,5.45,5.45,5.28,0,0.74
153,5.45,5.45,5.28,0,0.74
154,5.45,5.45,5.28,0,0.74
155,5.45,5.45,5.28,0,0.74
156,5.45,5.45,5.28,0,0.74
157,5.45,5.45,5.28,0,0.74
158,5.45,5.45,5.28,0,0.74
159,5.45,5.45,5.28,0,0.74
160,5.45,5.45,5.28,0,0.74
161,5.45,5.45,5.28,0,0.74
162,5.45,5.45,5.28,0,0.74
163,5.45,5.45,5.28,0,0.74
164,5.45,5.45,5.28,0,0.74
165,5.45,5.45,5.28,0,0.74
166,5.45,5.45,5.28,0,0.74
167,5.45,5.45,5.28,0,0.74
168,5.45,5.45,5.28,0,0.74
169,5.45,5.45,5.28,0,0.74
170,5.45,5.45,5.28,0,0.74
171,5.45,5.45,5.28,0,0.74
172,5.45,5.45,5.28,0,0.74
173,5.45,5.45,5.28,0,0.74
174,5.45,5.45,5.28,0,0.74
175,5.45,5.45,5.28,0,0.74
176,5.45,5.45,5.28,0,0.74
177,5.45,5.45,5.28,0,0.74
178,5.45,5.45,5.28,0,0.74
179,5.45,5.45,5.28,0,0.74
180,5.45,5.45,5.28,0,0.74
181,5.45,5.45,5.28,0,0.74
182,5.45,5.45,5.28,0,0.74
183,5.45,5.45,5.28,0,0.74
184,5.45,5.45,5.28,0,0.74
185,5.45,5.45,5.28,0,0.74
186,5.45,5.45,5.28,0,0.74
187,5.45,5.45,5.28,0,0.74
188,5.45,5.45,5.28,0,0.74
189,5.45,5.45,5.28,0,0.74
190,5.45,5.45,5.28,0,0.74
191,5.45,5.45,5.28,0,0.74
192,5.45,5.45,5.28,0,0.74
193,5.45,5.45,5.28,0,0.74
194,5.45,5.45,5.28,0,0.74
195,5.45,5.45,5.28,0,0.74
196,5.45,5.45,5.28,0,0.74
197,5.45,5.45,5.28,0,0.74
198,5.45,5.45,5.28,0,0.74
199,5.45,5.45,5.28,0,0.74
200,5.45,5.45,5.28,0,0.74
201,5.45,5.45,5.28,0,0.74
202,5.45,5.45,5.28,0,0.74
203,5.45,5.45,5.28,0,0.74
204,5.45,5.45,5.28,0,0.74
205,5.45,5.45,5.28,0,0.74
206,5.45,5.45,5.28,0,0.74
207,5.45,5.45,5.28,0,0.74
208,5.45,5.45,5.28,0,0.74
209,5.45,5.45,5.28,0,0.74
210,5.45,5.45,5.28,0,0.74
211,5.45,5.45,5.28,0,0.74
212,5.45,5.45,5.28,0,0.74
213,5.45,5.45,5.28,0,0.74
214,5.45,5.45,5.28,0,0.74
215,5.45,5.45,5.28,0,0.74
216,5.45,5.45,5.28,0,0.74
217,5.45,5.45,5.28,0,0.74
218,5.45,5.45,5.28,0,0.74
219,5.45,5.45,5.28,0,0.74
220,5.45,5.45,5.28,0,0.74
221,5.45,5.45,5.28,0,0.74
222,5.45,5.45,5.28,0,0.74
223,5.45,5.45,5.28,0,0.74
224,5.45,5.45,5.28,0,0.74
225,5.45,5.45,5.28,0,0.74
226,5.45,5.45,5.28,0,0.74
227,5.45,5.45,5.28,0,0.74
228,5.45,5.45,5.28,0,0.74
229,5.45,5.45,5.28,0,0.74
230,5.45,5.45,5.28,0,0.74
231,5.45,5.45,5.28,0,0.74
232,5.45,5.45,5.28,0,0.74
233,5.45,5.45,5.28,0,0.74
234,5.45,5.45,5.28,0,0.74
235,5.45,5.45,5.28,0,0.74
236,5.45,5.45,5.28,0,0.74
237,5.45,5.45,5.28,0,0.74
238,5.45,5.45,5.28,0,0.74
239,5.45,5.45,5.28,0,0.74
240,5.45,5.45,5.28,0,0.74
241,5.45,5.45,5.28,0,0.74
242,5.45,5.45,5.28,0,0.74
243,5.45,5.45,5.28,0,0.74
244,5.45,5.45,5.28,0,0.74
245,5.45,5.45,5.28,0,0.74
246,5.45,5.45,5.28,0,0.74
247,5.45,5.45,5.28,0,0.74
248,5.45,5.45,5.28,0,0.74
249,5.45,5.45,5.28,0,0.74
250,5.45,5.45,5.28,0,0.74
251,5.45,5.45,5.28,0,0.74
252,5.45,5.45,5.28,0,0.74
253,5.45,5.45,5.28,0,0.74
254,5.45,5.45,5.28,0,0.74
255,5.45,5.45,5.28,0,0.74
256,5.45,5.45,5.28,0,0.74
257,5.45,5.45,5.28,0,0.74
258,5.45,5.45,5.28,0,0.74
259,5.45,5.45,5.28,0,0.74
260,5.45,5.45,5.28,0,0.74
261,5.45,5.45,5.28,0,0.74
262,5.45,5.45,5.28,0,0.74
263,5.45,5.45,5.28,0,0.74
264,5.45,5.45,5.28,0,0.74
265,5.45,5.45,5.28,0,0.74
266,5.45,5.45,5.28,0,0.74
267,5.45,5.45,5.28,0,0.74
268,5.45,5.45,5.28,0,0.74
269,5.45,5.45,5.28,0,0.74
270,5.45,5.45,5.28,0,0.74
271,5.45,5.45,5.28,0,0.74
272,5.45,5.45,5.28,0,0.74
273,5.45,5.45,5.28,0,0.74
274,5.45,5.45,5.28,0,0.74
275,5.45,5.45,5.28,0,0.74
276,5.45,5.45,5.28,0,0.74
277,5.45,5.45,5.28,0,0.74
278,5.45,5.45,5.28,0,0.74
279,5.45,5.45,5.28,0,0.74
280,5.45,5.45,5.28,0,0.74
281,5.45,5.45,5.28,0,0.74
282,5.45,5.45,5.28,0,0.74
283,5.45,5.45,5.28,0,0.74
284,5.45,5.45,5.28,0,0.74
285,5.45,5.45,5.28,0,0.74
286,5.45,5.45,5.28,0,0.74
287,5.45,5.45,5.28,0,0.74
288,5.45,5.45,5.28,0,0.74
289,5.45,5.45,5.28,0,0.74
290,5.45,5.45,5.28,0,0.74
291,5.45,5.45,5.28,0,0.74
292,5.45,5.45,5.28,0,0.74
293,5.45,5.45,5.28,0,0.74
294,5.45,5.45,5.28,0,0.74
295,5.45,5.45,5.28,0,0.74
296,5.45,5.45,5.28,0,0.74
297,5.45,5.45,5.28,0,0.74
298,5.45,5.45,5.28,0,0.74
299,5.45,5.45,5.28,0,0.74
300,5.45,5.45,5.28,0,0.74
301,5.45,5.45,5.28,0,0.74
302,5.45,5.45,5.28,0,0.74
303,5.45,5.45,5.28,0,0.74
304,5.45,5.45,5.28,0,0.74
305,5.45,5.45,5.28,0,0.74
306,5.45,5.45,5.28,0,0.74
307,5.45,5.45,5.28,0,0.74
308,5.45,5.45,5.28,0,0.74
309,5.45,5.45,5.28,0,0.74
310,5.45,5.45,5.28,0,0.74
311,5.45,5.45,5.28,0,0.74
312,5.45,5.45,5.28,0,0.74
313,5.45,5.45,5.28,0,0.74
314,5.45,5.45,5.28,0,0.74
315,5.45,5.45,5.28,0,0.74
316,5.45,5.45,5.28,0,0.74
317,5.45,5.45,5.28,0,0.74
318,5.45,5.45,5.28,0,0.74
319,5.45,5.45,5.28,0,0.74
320,5.45,5.45,5.28,0,0.74
321,5.45,5.45,5.28,0,0.74
322,5.45,5.45,5.28,0,0.74
323,5.45,5.45,5.28,0,0.74
324,5.45,5.45,5.28,0,0.74
325,5.45,5.45,5.28,0,0.74
326,5.45,5.45,5.28,0,0.74
327,5.45,5.45,5.28,0,0.74
328,5.45,5.45,5.28,0,0.74
329,5.45,5.45,5.28,0,0.74
330,5.45,5.45,5.28,0,0.74
331,5.45,5.45,5.28,0,0.74
332,5.45,5.45,5.28,0,0.74
333,5.45,5.45,5.28,0,0.74
334,5.45,5.45,5.28,0,0.74
335,5.45,5.45,5.28,0,0.74
336,5.45,5.45,5.28,0,0.74
337,5.45,5.45,5.28,0,0.74
338,5.45,5.45,5.28,0,0.74
339,5.45,5.45,5.28,0,0.74
340,5.45,5.45,5.28,0,0.74
341,5.45,5.45,5.28,0,0.74
342,5.45,5.45,5.28,0,0.74
343,5.45,5.45,5.28,0,0.74
344,5.45,5.45,5.28,0,0.74
345,5.45,5.45,5.28,0,0.74
346,5.45,5.45,5.28,0,0.74
347,5.45,5.45,5.28,0,0.74
348,5.45,5.45,5.28,0,0.74
349,5.45,5.45,5.28,0,0.74
350,5.45,5.45,5.28,0,0.74
351,5.45,5.45,5.28,0,0.74
352,5.45,5.45,5.28,0,0.74
353,5.45,5.45,5.28,0,0.74
354,5.45,5.45,5.28,0,0.74
355,5.45,5.45,5.28,0,0.74
356,5.45,5.45,5.28,0,0.74
357,5.45,5.45,5.28,0,0.74
358,5.45,5.45,5.28,0,0.74
359,5.45,5.45,5.28,0,0.74
360,5.45,5.45,5.28,0,0.74
361,5.45,5.45,5.28,0,0.74
362,5.45,5.45,5.28,0,0.74
363,5.45,5.45,5.28,0,0.74
364,5.45,5.45,5.28,0,0.74
365,5.45,5.45,5.28,0,0.74
366,5.45,5.45,5.28,0,0.74
367,5.45,5.45,5.28,0,0.74
368,5.45,5.45,5.28,0,0.74
369,5.45,5.45,5.28,0,0.74
370,5.45,5.45,5.28,0,0.74
371,5.45,5.45,5.28,0,0.74
372,5.45,5.45,5.28,0,0.74
373,5.45,5.45,5.28,0,0.74
374,5.45,5.45,5.28,0,0.74
375,5.45,5.45,5.28,0,0.74
376,5.45,5.45,5.28,0,0.74
377,5.45,5.45,5.28,0,0.74
378,5.45,5.45,5.28,0,0.74
379,5.45,5.45,5.28,0,0.74
380,5.45,5.45,5.28,0,0.74
381,5.45,5.45,5.28,0,0.74
382,5.45,5.45,5.28,0,0.74
383,5.45,5.45,5.28,0,0.74
384,5.45,5.45,5.28,0,0.74
385,5.45,5.45,5.28,0,0.74
386,5.45,5.45,5.28,0,0.74
387,5.45,5.45,5.28,0,0.74
388,5.45,5.45,5.28,0,0.74
389,5.45,5.45,5.28,0,0.74
390,5.45,5.45,5.28,0,0.74
391,5.45,5.45,5.28,0,0.74
392,5.45,5.45,5.28,0,0.74
393,5.45,5.45,5.28,0,0.74
394,5.45,5.45,5.28,0,0.74
395,5.45,5.45,5.28,0,0.74
396,5.45,5.45,5.28,0,0.74
397,5.45,5.45,5.28,0,0.74
398,5.45,5.45,5.28,0,0.74
399,5.45,5.45,5.28,0,0.74
400,5.45,5.45,5.28,0,0.74
401,5.45,5.45,5.28,0,0.74
402,5.45,5.45,5.28,0,0.74
403,5.45,5.45,5.28,0,0.74
404,5.45,5.45,5.28,0,0.74
405,5.45,5.45,5.28,0,0.74
406,5.45,5.45,5.28,0,0.74
407,5.45,5.45,5.28,0,0.74
408,5.45,5.45,5.28,0,0.74
409,5.45,5.45,5.28,0,0.74
410,5.45,5.45,5.28,0,0.74
411,5.45,5.45,5.28,0,0.74
412,5.45,5.45,5.28,0,0.74
413,5.45,5.45,5.28,0,0.74
414,5.45,5.45,5.28,0,0.74
415,5.45,5.45,5.28,0,0.74
416,5.45,5.45,5.28,0,0.74
417,5.45,5.45,5.28,0,0.74
418,5.45,5.45,5.28,0,0.74
419,5.45,5.45,5.28,0,0.74
420,5.45,5.45,5.28,0,0.74
421,5.45,5.45,5.28,0,0.74
422,5.45,5.45,5.28,0,0.74
423,5.45,5.45,5.28,0,0.74
424,5.45,5.45,5.28,0,0.74
425,5.45,5.45,5.28,0,0.74
426,5.45,5.45,5.28,0,0.74
427,5.45,5.45,5.28,0,0.74
428,5.45,5.45,5.28,0,0.74
429,5.45,5.45,5.28,0,0.74
430,5.45,5.45,5.28,0,0.74
431,5.45,5.45,5.28,0,0.74
432,5.45,5.45,5.28,0,0.74
433,5.45,5.45,5.28,0,0.74
434,5.45,5.45,5.28,0,0.74
435,5.45,5.45,5.28,0,0.74
436,5.45,5.45,5.28,0,0.74
437,5.45,5.45,5.28,0,0.74
438,5.45,5.45,5.28,0,0.74
439,5.45,5.45,5.28,0,0.74
440,5.45,5.45,5.28,0,0.74
441,5.45,5.45,5.28,0,0.74
442,5.45,5.45,5.28,0,0.74
443,5.45,5.45,5.28,0,0.74
444,5.45,5.45,5.28,0,0.74
445,5.45,5.45,5.28,0,0.74
446,5.45,5.45,5.28,0,0.74
447,5.45,5.45,5.28,0,0.74
448,5.45,5.45,5.28,0,0.74
449,5.45,5.45,5.28,0,0.74
450,5.45,5.45,5.28,0,0.74
451,5.45,5.45,5.28,0,0.74
452,5.45,5.45,5.28,0,0.74
453,5.45,5.45,5.28,0,0.74
454,5.45,5.45,5.28,0,0.74
455,5.45,5.45,5.28,0,0.74
456,5.45,5.45,5.28,0,0.74
457,5.45,5.45,5.28,0,0.74
458,5.45,5.45,5.28,0,0.74
459,5.45,5.45,5.28,0,0.74
460,5.45,5.45,5.28,0,0.74
461,5.45,5.45,5.28,0,0.74
462,5.45,5.45,5.28,0,0.74
463,5.45,5.45,5.28,0,0.74
464,5.45,5.45,5.28,0,0.74
465,5.45,5.45,5.28,0,0.74
466,5.45,5.45,5.28,0,0.74
467,5.45,5.45,5.28,0,0.74
468,5.45,5.45,5.28,0,0.74
469,5.45,5.45,5.28,0,0.74
470,5.45,5.45,5.28,0,0.74
471,5.45,5.45,5.28,0,0.74
472,5.45,5.45,5.28,0,0.74
473,5.45,5.45,5.28,0,0.74
474,5.45,5.45,5.28,0,0.74
475,5.45,5.45,5.28,0,0.74
476,5.45,5.45,5.28,0,0.74
477,5.45,5.45,5.28,0,0.74
478,5.45,5.45,5.28,0,0.74
479,5.45,5.45,5.28,0,0.74
480,5.45,5.45,5.28,0,0.74
481,5.45,5.45,5.28,0,0.74
482,5.45,5.45,5.28,0,0.74
483,5.45,5.45,5.28,0,0.74
484,5.45,5.45,5.28,0,0.74
485,5.45,5.45,5.28,0,0.74
486,5.45,5.45,5.28,0,0.74
487,5.45,5.45,5.28,0,0.74
488,5.45,5.45,5.28,0,0.74
489,5.45,5.45,5.28,0,0.74
490,5.45,5.45,5.28,0,0.74
491,5.45,5.45,5.28,0,0.74
492,5.45,5.45,5.28,0,0.74
493,5.45,5.45,5.28,0,0.74
494,5.45,5.45,5.28,0,0.74
495,5.45,5.45,5.28,0,0.74
496,5.45,5.45,5.28,0,0.74
497,5.45,5.45,5.28,0,0.74
498,5.45,5.45,5.28,0,0.74
499,5.45,5.45,5.28,0,0.74
500,5.45,5.45,5.28,0,0.74
501,5.45,5.45,5.28,0,0.74
502,5.45,5.45,5.28,0,0.74
503,5.45,5.45,5.28,0,0.74
504,5.45,5.45,5.28,0,0.74
