Time_Index,MA_natural_gas_turbine,MA_natural_gas_combined_cycle,MA_solar_pv,MA_onshore_wind,CT_natural_gas_turbine,CT_natural_gas_combined_cycle,CT_solar_pv,ME_natural_gas_turbine,ME_natural_gas_combined_cycle,ME_onshore_wind,ME_solar_pv,MA_fission,CT_fission,ME_fission,MA_battery,CT_battery,ME_battery,COAST_offshore_wind_fixed,COAST_offshore_wind_floating
45,0.9,0.9,0,0.442,0.9,0.9,0,0.9,0.9,0.613,0,0.9,0.9,0.9,1,1,1,1,1
46,0.9,0.9,0,0.471,0.9,0.9,0,0.9,0.9,0.663,0,0.9,0.9,0.9,1,1,1,1,1
47,0.9,0.9,0,0.397,0.9,0.9,0,0.9,0.9,0.593,0,0.9,0.9,0.9,1,1,1,1,1
48,0.9,0.9,0,0.435,0.9,0.9,0,0.9,0.9,0.492,0,0.9,0.9,0.9,1,1,1,1,1
49,0.9,0.9,0,0.189,0.9,0.9,0,0.9,0.9,0.508,0,0.9,0.9,0.9,1,1,1,1,1
50,0.9,0.9,0,0.194,0.9,0.9,0,0.9,0.9,0.503,0,0.9,0.9,0.9,1,1,1,1,1
51,0.9,0.9,0,0.174,0.9,0.9,0,0.9,0.9,0.435,0,0.9,0.9,0.9,1,1,1,1,1
52,0.9,0.9,0,0.192,0.9,0.9,0,0.9,0.9,0.573,0,0.9,0.9,0.9,1,1,1,0.863,0.863
53,0.9,0.9,0,0.159,0.9,0.9,0,0.9,0.9,0.479,0,0.9,0.9,0.9,1,1,1,0.902,0.902
54,0.9,0.9,0,0.12,0.9,0.9,0,0.9,0.9,0.406,0,0.9,0.9,0.9,1,1,1,0.805,0.805
55,0.9,0.9,0,0.13,0.9,0.9,0,0.9,0.9,0.304,0,0.9,0.9,0.9,1,1,1,0.73,0.73
56,0.9,0.9,0.002,0.098,0.9,0.9,0.001,0.9,0.9,0.317,0.007,0.9,0.9,0.9,1,1,1,0.679,0.679
57,0.9,0.9,0.018,0.083,0.9,0.9,0.024,0.9,0.9,0.318,0.084,0.9,0.9,0.9,1,1,1,0.646,0.646
58,0.9,0.9,0.047,0.035,0.9,0.9,0.029,0.9,0.9,0.218,0.234,0.9,0.9,0.9,1,1,1,0.459,0.459
59,0.9,0.9,0.069,0.061,0.9,0.9,0.035,0.9,0.9,0.111,0.214,0.9,0.9,0.9,1,1,1,0.296,0.296
60,0.9,0.9,0.069,0.065,0.9,0.9,0.084,0.9,0.9,0.144,0.228,0.9,0.9,0.9,1,1,1,0.237,0.237
61,0.9,0.9,0.068,0.083,0.9,0.9,0.178,0.9,0.9,0.183,0.195,0.9,0.9,0.9,1,1,1,0.261,0.261
62,0.9,0.9,0.063,0.1,0.9,0.9,0.144,0.9,0.9,0.124,0.125,0.9,0.9,0.9,1,1,1,0.24,0.24
63,0.9,0.9,0.036,0.112,0.9,0.9,0.117,0.9,0.9,0.072,0.055,0.9,0.9,0.9,1,1,1,0.177,0.177
64,0.9,0.9,0.015,0.073,0.9,0.9,0.062,0.9,0.9,0.024,0.022,0.9,0.9,0.9,1,1,1,0.18,0.18
65,0.9,0.9,0.002,0.067,0.9,0.9,0.006,0.9,0.9,0.029,0.001,0.9,0.9,0.9,1,1,1,0.205,0.205
