H2_Resource,Zone,Commit,New_Build,etaG2P_MWh_p_tonne,Inv_Cost_p_MW_p_yr,Fixed_OM_p_MW_yr,Var_OM_Cost_p_MWh,Max_Cap_MW,Min_Cap_MW,Existing_Cap_MW,Cap_Size_MW,Ramp_Up_Percentage,Ramp_Down_Percentage,G2P_min_output,Start_Cost_per_MW,Up_Time,Down_Time
G2P_1,1,1,1,0.6,65400,16291,4.5,1000,0,0,250,0.64,0.64,0.474,91,6,6
G2P_2,2,1,1,0.6,65400,16291,4.5,1000,0,0,250,0.64,0.64,0.474,91,6,6
G2P_3,3,1,1,0.6,65400,16291,4.5,1000,0,0,250,0.64,0.64,0.474,91,6,6
G2P_4,4,1,1,0.6,65400,16291,4.5,1000,0,0,250,0.64,0.64,0.474,91,6,6
