Zone,1,2,3
t1,3455.3262490408315,3448.683718972305,2030.8661277035685
t2,3455.3262490408315,3448.683718972305,1944.4505478012886
t3,3455.3262490408315,3448.683718972305,1944.4505478012886
t4,3455.3262490408315,3448.683718972305,1944.4505478012886
t5,3455.3262490408315,3448.683718972305,1944.4505478012886
t6,3455.3262490408315,3448.683718972305,1944.4505478012886
t7,3455.3262490408315,3448.683718972305,2030.8661277035685
t8,3455.3262490408315,3448.683718972305,2030.8661277035685
t9,3455.3262490408315,3448.683718972305,2030.8661277035685
t10,3455.3262490408315,3448.683718972305,2030.8661277035685
t11,3455.3262490408315,3448.683718972305,2030.8661277035685
t12,3455.3262490408315,3448.683718972305,2030.8661277035685
t13,3455.3262490408315,0.1,1944.4505478012886
t14,3455.3262490408315,0.1,2030.8661277035685
t15,3455.3262490408315,0.1,1944.4505478012886
t16,3455.3262490408315,3448.683718972305,0.1
t17,3455.3262490408315,3448.683718972305,0.1
t18,3455.3262490408315,3448.683718972305,0.1
t19,3455.3262490408315,3448.683718972305,0.1
t20,4810.799788195246,3448.683718972305,0.1
t21,27500.000000000004,3448.683718972305,0.1
t22,3455.3262490408315,3448.683718972305,0.1
t23,3455.3262490408315,3448.683718972305,0.1
t24,3455.3262490408315,3448.683718972305,0.1
t25,3455.3262490408315,3448.683718972305,0.1
t26,3455.3262490408315,3448.683718972305,0.1
t27,3455.3262490408315,3448.683718972305,1944.4505478012886
t28,3455.3262490408315,3448.683718972305,1944.4505478012886
t29,3455.3262490408315,3448.683718972305,1645.505983659011
t30,3455.3262490408315,3448.683718972305,1944.4505478012886
t31,3455.3262490408315,3448.683718972305,2030.870572148013
t32,3455.3262490408315,3448.683718972305,2030.870572148013
t33,3455.3262490408315,3448.683718972305,2030.870572148013
t34,3455.3262490408315,3448.683718972305,2030.8705721480128
t35,3455.3262490408315,3448.683718972305,2030.870572148013
t36,3455.3262490408315,3448.683718972305,2030.870572148013
t37,3455.3262490408315,3448.683718972305,2030.870572148013
t38,3455.3262490408315,3448.683718972305,2030.870572148013
t39,3455.3262490408315,3448.683718972305,2030.870572148013
t40,3455.3262490408315,3448.683718972305,2030.870572148013
t41,3455.3262490408315,3448.683718972305,2030.870572148013
t42,3455.3262490408315,3448.683718972305,2030.870572148013
t43,19236.987730208853,3448.683718972305,1944.4505478012886
t44,27500.000000000004,3448.683718972305,1718.6518922660782
t45,27500.000000000004,3448.683718972305,1718.6518922660782
t46,3455.3262490408315,3448.683718972305,814.1504550580958
t47,3455.3262490408315,3448.683718972305,1944.4505478012886
t48,3455.3262490408315,3448.683718972305,1944.4505478012886
t49,3455.3262490408315,3448.683718972305,1944.4505478012886
t50,3455.3262490408315,3448.683718972305,1944.4505478012886
t51,3455.3262490408315,3448.683718972305,1944.4505478012886
t52,3455.3262490408315,3448.683718972305,1944.4505478012886
t53,3455.3262490408315,3448.683718972305,2030.870572148013
t54,3455.3262490408315,3448.683718972305,2030.870572148013
t55,3455.3262490408315,3448.683718972305,2030.870572148013
t56,3455.3262490408315,3448.683718972305,2030.870572148013
t57,3455.3262490408315,3448.683718972305,1944.4505478012886
t58,3455.3262490408315,3448.683718972305,1944.4505478012886
t59,3455.3262490408315,3448.683718972305,2030.870572148013
t60,3455.3262490408315,3448.683718972305,1944.4505478012886
t61,3455.3262490408315,3448.683718972305,2030.870572148013
t62,3455.3262490408315,3448.683718972305,2030.870572148013
t63,3455.3262490408315,3448.683718972305,2030.870572148013
t64,3455.3262490408315,3448.683718972305,2030.870572148013
t65,3455.3262490408315,3448.683718972305,2030.870572148013
t66,3455.3262490408315,3448.683718972305,2030.870572148013
t67,3455.3262490408315,17338.570545639406,2030.870572148013
t68,3455.3262490408315,14675.089149829195,2030.870572148013
t69,3929.4314214546284,37200.41344717292,2030.870572148013
t70,3455.3262490408315,23664.72008568488,1944.4505478012886
t71,3455.3262490408315,3448.683718972305,1944.4505478012886
t72,3455.3262490408315,3448.683718972305,1944.4505478012886
t73,3455.3262490408315,3448.683718972305,1944.4505478012886
t74,3455.3262490408315,3448.683718972305,1944.4505478012886
t75,3455.3262490408315,3448.683718972305,1944.4505478012886
t76,3455.3262490408315,3448.683718972305,1718.6518922660782
t77,3455.3262490408315,3448.683718972305,1944.4505478012886
t78,3455.3262490408315,767.6624290206441,1718.6518922660782
t79,3455.3262490408315,3448.683718972305,2030.870572148013
t80,3455.3262490408315,3448.683718972305,2030.870572148013
t81,3455.3262490408315,3448.683718972305,2030.870572148013
t82,3455.3262490408315,3448.6837189723046,1944.4505478012886
t83,3455.3262490408315,3448.683718972305,1944.4505478012886
t84,3455.3262490408315,3448.683718972305,2030.870572148013
t85,3455.3262490408315,3448.683718972305,2030.870572148013
