,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
AnnualSum,1.7140892512732404e6,0.0,-165.73584820212594,0.0,0.0,0.0,427.26886597506683,0.0,0.0,0.0,-1.5820827342465755e6,492182.2297468384,0.0,-1084.7144761306654,0.0,0.0,0.0,120.21710748517236,0.0,0.0,0.0,-451913.7863013698,1.16736130436765e6,0.0,-14777.549101926345,0.0,0.0,0.0,109.29745431266409,92.79199265586635,0.0,0.0,-215680.9123287671
t1,8357.625244450706,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7564.2479188424495,2424.1962207360552,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2160.904109856658,5755.491843490924,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1030.8800457722261
t2,7960.391886111939,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7167.014560503682,2310.6856935645965,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2047.3935826851991,7650.274540432798,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-976.2360474234434
t3,7762.826088842922,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6969.448763234665,2253.9304299788673,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1990.63831909947,6503.317173773254,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-949.9648943711442
t4,7702.925820521998,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6909.548494913741,2237.1140555830953,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1973.8219447036981,8232.25624371611,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-941.5581253944083
t5,7856.354577975595,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7062.977252367338,2281.2570383719963,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2017.964927492599,9182.256149957539,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-962.5750478362478
t6,8362.879653952543,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7569.502328344285,2316.043433867832,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2163.0061566561294,9440.760027870565,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1031.9308918943182
t7,9561.580933103593,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8772.762104264624,2729.1718958493743,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2505.639784969977,7491.181025472082,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1195.862886940666
t8,10640.140172382082,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9856.221343543113,3038.1021321047474,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2815.691687892017,5815.201719342565,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1342.9813440335422
t9,11223.11668131988,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10439.460798246859,3204.1638292629923,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2981.753385050262,5160.767658418307,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1422.8456493125323
t10,11630.85885866232,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10847.202975589298,3320.8274266336584,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3098.416982420928,4896.813136596756,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1478.5404937834069
t11,11947.174310672817,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11163.518427599796,3411.215439010931,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3188.8049947982004,7484.977693467549,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1522.6760309112697
