region,Resource,zone,Cluster,R_ID,SubsidyRevenue
BE0 0,BE0 0 CCGT,1,1,1,0.0
BE0 0,BE0 0 OCGT,1,1,2,0.0
BE0 0,BE0 0 biomass,1,1,3,0.0
BE0 0,BE0 0 coal,1,1,4,0.0
BE0 0,BE0 0 nuclear,1,1,5,0.0
BE0 0,BE0 0 offwind-ac,1,1,6,0.0
BE0 0,BE0 0 offwind-dc,1,1,7,0.0
BE0 0,BE0 0 onwind,1,1,8,0.0
BE0 0,BE0 0 ror,1,1,9,0.0
BE0 0,BE0 0 solar,1,1,10,0.0
DE0 0,DE0 0 CCGT,2,1,11,0.0
DE0 0,DE0 0 OCGT,2,1,12,0.0
DE0 0,DE0 0 biomass,2,1,13,0.0
DE0 0,DE0 0 coal,2,1,14,0.0
DE0 0,DE0 0 lignite,2,1,15,0.0
DE0 0,DE0 0 nuclear,2,1,16,0.0
DE0 0,DE0 0 offwind-ac,2,1,17,0.0
DE0 0,DE0 0 offwind-dc,2,1,18,0.0
DE0 0,DE0 0 oil,2,1,19,0.0
DE0 0,DE0 0 onwind,2,1,20,0.0
DE0 0,DE0 0 ror,2,1,21,0.0
DE0 0,DE0 0 solar,2,1,22,0.0
DK0 0,DK0 0 OCGT,3,1,23,0.0
DK0 0,DK0 0 biomass,3,1,24,0.0
DK0 0,DK0 0 coal,3,1,25,0.0
DK0 0,DK0 0 offwind-ac,3,1,26,0.0
DK0 0,DK0 0 offwind-dc,3,1,27,0.0
DK0 0,DK0 0 onwind,3,1,28,0.0
DK0 0,DK0 0 solar,3,1,29,0.0
BE0 0,DK0 0 nuclear,3,1,30,0.0
DK3 0,DK3 0 CCGT,4,1,31,0.0
DK3 0,DK3 0 OCGT,4,1,32,0.0
DK3 0,DK3 0 biomass,4,1,33,0.0
DK3 0,DK3 0 coal,4,1,34,0.0
DK3 0,DK3 0 offwind-ac,4,1,35,0.0
DK3 0,DK3 0 offwind-dc,4,1,36,0.0
DK3 0,DK3 0 oil,4,1,37,0.0
DK3 0,DK3 0 onwind,4,1,38,0.0
BE0 0,DK3 0 nuclear,4,1,39,0.0
FR0 0,FR0 0 CCGT,5,1,40,0.0
FR0 0,FR0 0 OCGT,5,1,41,0.0
FR0 0,FR0 0 coal,5,1,42,0.0
FR0 0,FR0 0 nuclear,5,1,43,0.0
FR0 0,FR0 0 offwind-ac,5,1,44,0.0
FR0 0,FR0 0 offwind-dc,5,1,45,0.0
FR0 0,FR0 0 oil,5,1,46,0.0
FR0 0,FR0 0 onwind,5,1,47,0.0
FR0 0,FR0 0 ror,5,1,48,0.0
FR0 0,FR0 0 solar,5,1,49,0.0
GB4 0,GB4 0 CCGT,6,1,50,0.0
GB4 0,GB4 0 coal,6,1,51,0.0
GB4 0,GB4 0 offwind-ac,6,1,52,0.0
GB4 0,GB4 0 offwind-dc,6,1,53,0.0
GB4 0,GB4 0 oil,6,1,54,0.0
GB4 0,GB4 0 onwind,6,1,55,0.0
GB4 0,GB4 0 solar,6,1,56,0.0
GB5 0,GB5 0 CCGT,7,1,57,0.0
GB5 0,GB5 0 OCGT,7,1,58,0.0
GB5 0,GB5 0 biomass,7,1,59,0.0
GB5 0,GB5 0 coal,7,1,60,0.0
GB5 0,GB5 0 nuclear,7,1,61,0.0
GB5 0,GB5 0 offwind-ac,7,1,62,0.0
GB5 0,GB5 0 offwind-dc,7,1,63,0.0
GB5 0,GB5 0 oil,7,1,64,0.0
GB5 0,GB5 0 onwind,7,1,65,0.0
GB5 0,GB5 0 ror,7,1,66,0.0
GB5 0,GB5 0 solar,7,1,67,0.0
NL0 0,NL0 0 CCGT,8,1,68,0.0
NL0 0,NL0 0 OCGT,8,1,69,0.0
