Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioH2_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
NW_Bio_H2_Herb,2,1,1.709,18.1,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SW_Bio_H2_Herb,3,1,1.709,18.1,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
TX_Bio_H2_Herb,4,1,1.711,18.12,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NCEN_Bio_H2_Herb,5,1,1.743,18.35,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CEN_Bio_H2_Herb,6,1,1.723,18.2,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SE_Bio_H2_Herb,7,1,1.715,18.16,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
MIDAT_Bio_H2_Herb,8,1,1.716,18.16,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NE_Bio_H2_Herb,9,1,1.745,18.35,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NW_Bio_H2_CCS_99_Herb,2,1,1.709,18.1,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SW_Bio_H2_CCS_99_Herb,3,1,1.709,18.1,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
TX_Bio_H2_CCS_99_Herb,4,1,1.711,18.12,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NCEN_Bio_H2_CCS_99_Herb,5,1,1.743,18.35,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CEN_Bio_H2_CCS_99_Herb,6,1,1.723,18.2,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SE_Bio_H2_CCS_99_Herb,7,1,1.715,18.16,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
MIDAT_Bio_H2_CCS_99_Herb,8,1,1.716,18.16,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NE_Bio_H2_CCS_99_Herb,9,1,1.745,18.35,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CA_Bio_H2_Wood,1,2,1.843,19.36,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NW_Bio_H2_Wood,2,2,1.842,19.5,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
