Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioNG_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
CA_Bio_NG_CCS_40_Wood,1,2,1.843,19.36,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NW_Bio_NG_CCS_40_Wood,2,2,1.842,19.5,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
SW_Bio_NG_CCS_40_Wood,3,2,1.822,19.3,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
TX_Bio_NG_CCS_40_Wood,4,2,1.827,19.11,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NCEN_Bio_NG_CCS_40_Wood,5,2,1.819,19.06,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
CEN_Bio_NG_CCS_40_Wood,6,2,1.814,19.16,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
SE_Bio_NG_CCS_40_Wood,7,2,1.829,19.18,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
MIDAT_Bio_NG_CCS_40_Wood,8,2,1.819,18.99,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NE_Bio_NG_CCS_40_Wood,9,2,1.83,18.87,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
CA_Bio_NG_CCS_99_Wood,1,2,1.843,19.36,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
NW_Bio_NG_CCS_99_Wood,2,2,1.842,19.5,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
SW_Bio_NG_CCS_99_Wood,3,2,1.822,19.3,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
TX_Bio_NG_CCS_99_Wood,4,2,1.827,19.11,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
NCEN_Bio_NG_CCS_99_Wood,5,2,1.819,19.06,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
CEN_Bio_NG_CCS_99_Wood,6,2,1.814,19.16,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
SE_Bio_NG_CCS_99_Wood,7,2,1.829,19.18,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
MIDAT_Bio_NG_CCS_99_Wood,8,2,1.819,18.99,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
NE_Bio_NG_CCS_99_Wood,9,2,1.83,18.87,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
CA_Bio_NG_Agri_Res,1,3,1.72,18.33,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
NW_Bio_NG_Agri_Res,2,3,1.665,16.76,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
SW_Bio_NG_Agri_Res,3,3,1.681,16.97,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
TX_Bio_NG_Agri_Res,4,3,1.622,16.48,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
NCEN_Bio_NG_Agri_Res,5,3,1.709,17.28,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
CEN_Bio_NG_Agri_Res,6,3,1.697,17.14,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
SE_Bio_NG_Agri_Res,7,3,1.689,17.23,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
MIDAT_Bio_NG_Agri_Res,8,3,1.709,17.3,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
NE_Bio_NG_Agri_Res,9,3,1.716,17.51,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
CA_Bio_NG_CCS_40_Agri_Res,1,3,1.72,18.33,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NW_Bio_NG_CCS_40_Agri_Res,2,3,1.665,16.76,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
SW_Bio_NG_CCS_40_Agri_Res,3,3,1.681,16.97,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
TX_Bio_NG_CCS_40_Agri_Res,4,3,1.622,16.48,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NCEN_Bio_NG_CCS_40_Agri_Res,5,3,1.709,17.28,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
CEN_Bio_NG_CCS_40_Agri_Res,6,3,1.697,17.14,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
SE_Bio_NG_CCS_40_Agri_Res,7,3,1.689,17.23,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
MIDAT_Bio_NG_CCS_40_Agri_Res,8,3,1.709,17.3,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NE_Bio_NG_CCS_40_Agri_Res,9,3,1.716,17.51,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
CA_Bio_NG_CCS_99_Agri_Res,1,3,1.72,18.33,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
NW_Bio_NG_CCS_99_Agri_Res,2,3,1.665,16.76,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
SW_Bio_NG_CCS_99_Agri_Res,3,3,1.681,16.97,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
TX_Bio_NG_CCS_99_Agri_Res,4,3,1.622,16.48,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
NCEN_Bio_NG_CCS_99_Agri_Res,5,3,1.709,17.28,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
CEN_Bio_NG_CCS_99_Agri_Res,6,3,1.697,17.14,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
SE_Bio_NG_CCS_99_Agri_Res,7,3,1.689,17.23,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
MIDAT_Bio_NG_CCS_99_Agri_Res,8,3,1.709,17.3,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
NE_Bio_NG_CCS_99_Agri_Res,9,3,1.716,17.51,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
