Time_Index,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery
11,0.9,0.9,0.9,0.9,0.9,0.009,0.018,0.0,0.9,0.207,0.9,0.9,0.9,0.9,0.9,0.9,0.675,0.675,0.9,0.261,0.864,0.117,0.9,0.9,0.9,0.603,0.729,0.477,0.072,0.9,0.9,0.9,0.9,0.9,0.693,0.873,0.9,0.657,0.9,0.9,0.9,0.9,0.9,0.162,0.081,0.9,0.045,0.459,0.477,0.9,0.9,0.027,0.153,0.9,0.027,0.234,0.9,0.9,0.9,0.9,0.9,0.063,0.063,0.9,0.018,0.702,0.423,0.9,0.9,0.9,0.9,0.09,0.171,0.09,0.081,0.9,0.9,0.198,0.423,0.108,0.09,0.9,0.9,0.9,0.9,0.9,0.9,0.729,0.81,0.9,0.279,0.369,0.063,1.001647537,0.513654528,0.783349564,0.207228964,0.412431592,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
12,0.9,0.9,0.9,0.9,0.9,0.0,0.018,0.0,0.9,0.288,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.603,0.9,0.279,0.864,0.117,0.9,0.9,0.9,0.603,0.675,0.459,0.099,0.9,0.9,0.9,0.9,0.9,0.801,0.891,0.9,0.738,0.9,0.9,0.9,0.9,0.9,0.135,0.072,0.9,0.036,0.459,0.522,0.9,0.9,0.027,0.18,0.9,0.018,0.324,0.9,0.9,0.9,0.9,0.9,0.063,0.054,0.9,0.018,0.702,0.477,0.9,0.9,0.9,0.9,0.081,0.189,0.09,0.09,0.9,0.9,0.207,0.423,0.099,0.09,0.9,0.9,0.9,0.9,0.9,0.9,0.738,0.81,0.9,0.288,0.369,0.054,1.001649565,0.514058864,0.783226188,0.207145025,0.412287878,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
13,0.9,0.9,0.9,0.9,0.9,0.0,0.009,0.0,0.9,0.261,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.576,0.9,0.261,0.864,0.099,0.9,0.9,0.9,0.603,0.63,0.45,0.081,0.9,0.9,0.9,0.9,0.9,0.792,0.891,0.9,0.729,0.9,0.9,0.9,0.9,0.9,0.126,0.054,0.9,0.036,0.459,0.522,0.9,0.9,0.018,0.18,0.9,0.027,0.396,0.9,0.9,0.9,0.9,0.9,0.063,0.054,0.9,0.018,0.702,0.495,0.9,0.9,0.9,0.9,0.09,0.243,0.09,0.081,0.9,0.9,0.234,0.414,0.099,0.072,0.9,0.9,0.9,0.9,0.9,0.9,0.738,0.819,0.9,0.279,0.369,0.036,1.001727458,0.514623927,0.783113676,0.207060813,0.412142933,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
14,0.9,0.9,0.9,0.9,0.9,0.009,0.018,0.009,0.9,0.252,0.9,0.9,0.9,0.9,0.9,0.9,0.711,0.567,0.9,0.261,0.864,0.081,0.9,0.9,0.9,0.612,0.63,0.441,0.081,0.9,0.9,0.9,0.9,0.9,0.756,0.891,0.9,0.702,0.9,0.9,0.9,0.9,0.9,0.099,0.036,0.9,0.027,0.468,0.486,0.9,0.9,0.018,0.162,0.9,0.036,0.423,0.9,0.9,0.9,0.9,0.9,0.054,0.054,0.9,0.018,0.702,0.459,0.9,0.9,0.9,0.9,0.117,0.297,0.099,0.081,0.9,0.9,0.252,0.414,0.099,0.072,0.9,0.9,0.9,0.9,0.9,0.9,0.738,0.837,0.9,0.279,0.369,0.045,1.001837183,0.515280581,0.783018235,0.206977117,0.41199821,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
15,0.9,0.9,0.9,0.9,0.9,0.027,0.027,0.009,0.9,0.171,0.9,0.9,0.9,0.9,0.9,0.9,0.702,0.612,0.9,0.252,0.864,0.054,0.9,0.9,0.9,0.639,0.693,0.459,0.054,0.9,0.9,0.9,0.9,0.9,0.756,0.882,0.9,0.711,0.9,0.9,0.9,0.9,0.9,0.09,0.027,0.9,0.027,0.468,0.405,0.9,0.9,0.018,0.135,0.9,0.045,0.387,0.9,0.9,0.9,0.9,0.9,0.054,0.063,0.9,0.018,0.702,0.378,0.9,0.9,0.9,0.9,0.153,0.369,0.126,0.063,0.9,0.9,0.261,0.423,0.09,0.045,0.9,0.9,0.9,0.9,0.9,0.9,0.738,0.837,0.9,0.279,0.369,0.027,1.001933852,0.515948013,0.782920922,0.206893982,0.41185338,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
16,0.9,0.9,0.9,0.9,0.9,0.036,0.036,0.009,0.9,0.108,0.9,0.9,0.9,0.9,0.9,0.9,0.702,0.648,0.9,0.234,0.864,0.036,0.9,0.9,0.9,0.666,0.738,0.468,0.027,0.9,0.9,0.9,0.9,0.9,0.729,0.882,0.9,0.639,0.9,0.9,0.9,0.9,0.9,0.081,0.036,0.9,0.027,0.468,0.279,0.9,0.9,0.027,0.135,0.9,0.063,0.288,0.9,0.9,0.9,0.9,0.9,0.045,0.063,0.9,0.018,0.702,0.252,0.9,0.9,0.9,0.9,0.198,0.468,0.171,0.054,0.9,0.9,0.27,0.423,0.09,0.018,0.9,0.9,0.9,0.9,0.9,0.9,0.738,0.837,0.9,0.261,0.369,0.009,1.002039789,0.516450149,0.782814744,0.20681136,0.411710648,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
17,0.9,0.9,0.9,0.9,0.9,0.045,0.045,0.018,0.9,0.036,0.9,0.9,0.9,0.9,0.9,0.9,0.702,0.648,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.684,0.774,0.477,0.0,0.9,0.9,0.9,0.9,0.9,0.747,0.882,0.9,0.657,0.9,0.9,0.9,0.9,0.9,0.09,0.054,0.9,0.027,0.468,0.117,0.9,0.9,0.072,0.18,0.9,0.081,0.144,0.9,0.9,0.9,0.9,0.9,0.045,0.081,0.9,0.018,0.702,0.108,0.9,0.9,0.9,0.9,0.243,0.567,0.225,0.009,0.9,0.9,0.279,0.432,0.099,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.747,0.837,0.9,0.27,0.369,0.0,1.002061787,0.516782349,0.782697652,0.206728154,0.411567462,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
18,0.9,0.9,0.9,0.9,0.9,0.054,0.054,0.036,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.657,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.711,0.801,0.45,0.0,0.9,0.9,0.9,0.9,0.9,0.801,0.891,0.9,0.72,0.9,0.9,0.9,0.9,0.9,0.108,0.081,0.9,0.045,0.468,0.0,0.9,0.9,0.135,0.27,0.9,0.126,0.009,0.9,0.9,0.9,0.9,0.9,0.054,0.135,0.9,0.027,0.702,0.0,0.9,0.9,0.9,0.9,0.306,0.612,0.252,0.0,0.9,0.9,0.288,0.432,0.108,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.747,0.828,0.9,0.27,0.369,0.0,1.002035873,0.516763683,0.782575541,0.206645082,0.411423526,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
19,0.9,0.9,0.9,0.9,0.9,0.054,0.063,0.045,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.765,0.684,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.729,0.819,0.486,0.0,0.9,0.9,0.9,0.9,0.9,0.837,0.9,0.9,0.783,0.9,0.9,0.9,0.9,0.9,0.144,0.117,0.9,0.081,0.468,0.0,0.9,0.9,0.189,0.36,0.9,0.171,0.0,0.9,0.9,0.9,0.9,0.9,0.072,0.198,0.9,0.054,0.702,0.0,0.9,0.9,0.9,0.9,0.36,0.621,0.288,0.0,0.9,0.9,0.306,0.441,0.108,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.738,0.828,0.9,0.27,0.369,0.0,1.001999113,0.516642964,0.782452823,0.206561945,0.411279231,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
20,0.9,0.9,0.9,0.9,0.9,0.045,0.054,0.045,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.783,0.684,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.738,0.819,0.495,0.0,0.9,0.9,0.9,0.9,0.9,0.846,0.9,0.9,0.792,0.9,0.9,0.9,0.9,0.9,0.18,0.135,0.9,0.099,0.468,0.0,0.9,0.9,0.225,0.423,0.9,0.189,0.0,0.9,0.9,0.9,0.9,0.9,0.099,0.27,0.9,0.081,0.702,0.0,0.9,0.9,0.9,0.9,0.405,0.603,0.297,0.0,0.9,0.9,0.315,0.45,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.828,0.9,0.27,0.369,0.0,1.001954849,0.51649914,0.782329386,0.206479785,0.411134908,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
21,0.9,0.9,0.9,0.9,0.9,0.036,0.063,0.036,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.792,0.657,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.738,0.819,0.477,0.0,0.9,0.9,0.9,0.9,0.9,0.837,0.9,0.9,0.774,0.9,0.9,0.9,0.9,0.9,0.207,0.144,0.9,0.108,0.468,0.0,0.9,0.9,0.234,0.459,0.9,0.189,0.0,0.9,0.9,0.9,0.9,0.9,0.126,0.351,0.9,0.099,0.702,0.0,0.9,0.9,0.9,0.9,0.441,0.585,0.288,0.0,0.9,0.9,0.324,0.459,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.702,0.819,0.9,0.252,0.369,0.0,1.001910703,0.51631814,0.782203387,0.206397323,0.410990872,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
22,0.9,0.9,0.9,0.9,0.9,0.063,0.099,0.036,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.783,0.612,0.9,0.225,0.864,0.0,0.9,0.9,0.9,0.711,0.792,0.459,0.0,0.9,0.9,0.9,0.9,0.9,0.828,0.9,0.9,0.756,0.9,0.9,0.9,0.9,0.9,0.216,0.171,0.9,0.108,0.468,0.0,0.9,0.9,0.225,0.513,0.9,0.171,0.0,0.9,0.9,0.9,0.9,0.9,0.171,0.441,0.9,0.108,0.702,0.0,0.9,0.9,0.9,0.9,0.459,0.558,0.27,0.0,0.9,0.9,0.324,0.459,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.684,0.801,0.9,0.243,0.369,0.0,1.0018565,0.516091576,0.782078007,0.206315101,0.410846765,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
23,0.9,0.9,0.9,0.9,0.9,0.144,0.207,0.054,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.549,0.9,0.207,0.864,0.0,0.9,0.9,0.9,0.621,0.729,0.378,0.0,0.9,0.9,0.9,0.9,0.9,0.738,0.891,0.9,0.639,0.9,0.9,0.9,0.9,0.9,0.243,0.225,0.9,0.117,0.468,0.0,0.9,0.9,0.225,0.558,0.9,0.135,0.0,0.9,0.9,0.9,0.9,0.9,0.225,0.549,0.9,0.117,0.702,0.0,0.9,0.9,0.9,0.9,0.414,0.522,0.225,0.0,0.9,0.9,0.351,0.504,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.639,0.783,0.9,0.225,0.369,0.0,1.001803596,0.515892292,0.781954321,0.206232966,0.410703895,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
24,0.9,0.9,0.9,0.9,0.9,0.261,0.333,0.081,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.738,0.504,0.9,0.216,0.864,0.0,0.9,0.9,0.9,0.594,0.657,0.396,0.0,0.9,0.9,0.9,0.9,0.9,0.765,0.891,0.9,0.666,0.9,0.9,0.9,0.9,0.9,0.207,0.207,0.9,0.099,0.468,0.0,0.9,0.9,0.243,0.648,0.9,0.135,0.0,0.9,0.9,0.9,0.9,0.9,0.279,0.594,0.9,0.144,0.702,0.0,0.9,0.9,0.9,0.9,0.477,0.504,0.252,0.0,0.9,0.9,0.351,0.504,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.639,0.774,0.9,0.225,0.369,0.0,1.001740527,0.515680401,0.781830453,0.20615126,0.410561164,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
25,0.9,0.9,0.9,0.9,0.9,0.351,0.441,0.117,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.738,0.459,0.9,0.225,0.864,0.0,0.9,0.9,0.9,0.558,0.585,0.396,0.0,0.9,0.9,0.9,0.9,0.9,0.756,0.891,0.9,0.639,0.9,0.9,0.9,0.9,0.9,0.189,0.216,0.9,0.09,0.468,0.0,0.9,0.9,0.297,0.711,0.9,0.162,0.0,0.9,0.9,0.9,0.9,0.9,0.333,0.63,0.9,0.162,0.702,0.0,0.9,0.9,0.9,0.9,0.495,0.486,0.261,0.0,0.9,0.9,0.351,0.495,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.639,0.765,0.9,0.216,0.369,0.0,1.001673135,0.515465847,0.781705497,0.206068998,0.410416967,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
