Resource,Zone,Investment_Cost,Fixed_OM_Cost,Var_OM_Cost,Startup_Cost
Liquid_DAC_1,1,33433.19426895076,11384.579082961682,0.8939035080849881,0.0
Liquid_DAC_2,2,83942.802739226,28583.971622408855,2.8169674128572644,0.0
Liquid_DAC_3,3,83183.25963895301,28325.334101195203,2.7808783391640493,0.0
Liquid_DAC_4,4,81749.79105068158,27837.213331913124,2.6585113119128465,0.0
Liquid_DAC_5,5,81997.96935243117,27921.7223225951,2.6017752286351716,0.0
Liquid_DAC_6,6,81433.53041201478,27729.521131677448,2.595444547387629,0.0
Liquid_DAC_7,7,82538.58779992689,28105.812224975107,2.591550440831119,0.0
Liquid_DAC_8,8,54013.226507281026,18392.43488825518,1.6142794618440546,0.0
Liquid_DAC_9,9,43359.303853949605,14764.59053647422,1.28233101702707,0.0
Liquid_DAC_10,10,62944.109819287485,21433.554636740137,2.0534163133295666,0.0
Solid_DAC_1,1,2.2913746815488103e8,2.5153436353844084e7,2913.694594193536,0.0
Solid_DAC_2,2,7.193976126371661e8,7.897146725189944e7,9148.120617531966,0.0
Solid_DAC_3,3,4.4238728543494595e6,485628.14792106854,56.18405326873428,0.0
Solid_DAC_4,4,2.0591268263910594e6,226039.48620533437,26.065493093573583,0.0
Solid_DAC_5,5,7.985890026439227e7,8.766465743309226e6,1015.4011184095486,0.0
Solid_DAC_6,6,4.000982948746345e7,4.392056470052379e6,508.6862322778985,0.0
Solid_DAC_7,7,1.2910863329932406e9,1.4172827414813018e8,16417.93217256785,0.0
Solid_DAC_8,8,8.7434669122279e8,9.598091497633635e7,11118.477608709753,0.0
Solid_DAC_9,9,577605.1962441406,63406.284700484604,7.213487573095195,0.0
Solid_DAC_10,10,9.064243263206068e6,995022.1928030722,115.16817951253607,0.0
