,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,34116.36005452147,107113.44863771081,689.7935035581893,335.73610643349997,11916.469334117299,5982.474207261624,192321.6626043417,130163.86535876649,99.5833961022816,1373.6970301012427
t1,40.66261032882832,127.66845455318001,0.8226437587771752,0.4007402757352867,14.202572682309022,7.133098757993147,229.08940938678563,155.1409276561885,0.11852862283199873,1.635406190942346
t2,40.66273098048935,127.66845365026731,0.8226475113251047,0.4007582099201559,14.202686113126205,7.133140762366416,229.08972724972097,155.14115279334942,0.11852657586495785,1.635407724361194
t3,40.66272767227391,127.66844505648461,0.8226469103659748,0.4007576481282859,14.202663302216685,7.133125326738541,229.08975770495186,155.14116648031322,0.11852579308507144,1.635409635306102
t4,40.66271871034938,127.66844510410877,0.8226479030331627,0.4007531106767247,14.202658306229825,7.133389351121782,229.09019646394475,155.14116205007315,0.11852445306208889,1.6354112616338763
t5,40.662693710343575,127.66843367230527,0.82263204239938,0.40072797362986406,14.202640251690474,7.1334110177096495,229.09024251985008,155.1411648543721,0.11851773538355859,1.6354104315684612
t6,40.662317903784775,127.66745396805949,0.822124392341123,0.39972708119106165,14.202125207197492,7.13320785569941,229.09005643535332,155.14101246974764,0.1185233537007061,1.6354119468838184
t7,40.66213780286765,127.6672343543928,0.8220948525888943,0.39949527385345424,14.201865661584348,7.133198625315587,229.0898643537213,155.14083693513294,0.11851570980264226,1.6354114918657447
t8,40.662102154208135,127.66720479498264,0.8220608608879693,0.39944639498784845,14.201818007152257,7.132943758443368,229.0899987393504,155.14080333057416,0.11850999409310693,1.6354089897309505
t9,40.662072169913145,127.66720953242971,0.8217771817988407,0.399434905780267,14.201780809618118,7.132956480375093,229.09001053149086,155.14079940285075,0.11850626261732497,1.6354054873691082
t10,40.66207804469917,127.66720966766161,0.8217547528257326,0.39942834363748003,14.20178226961971,7.132392468232988,229.08954970744858,155.1403026659876,0.11850454435936414,1.6354059870369213
t11,40.66195961113056,127.66713019364977,0.8216856464807434,0.3993299547960259,14.201622737626227,7.132896881050012,229.08991013996192,155.1401140384832,0.11851825697830025,1.635403242540828
t12,40.66225651041202,127.66721551613969,0.8217574308000145,0.3994208270941829,14.202032654744198,7.132986853537421,229.08996829999603,155.1407927556972,0.11851704198238516,1.635404693864762
