,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,165020.36479866307,518110.2632558526,3241.337997248145,1532.9164951023456,57559.07933387457,28850.604277541162,930345.2527880481,629665.8767525853,436.9517314898188,6574.288145343833
t1,196.68568462172837,617.5338879540344,3.8643148454283227,1.8282613557406489,68.60290970162268,34.40155731215508,1108.2106723685552,750.4937578910931,0.520137468599787,7.82663651716434
t2,196.6860213021069,617.5338907505645,3.8643256421395407,1.828306326635818,68.60319016031752,34.40167690402289,1108.211428928764,750.4943140891795,0.5201310115096617,7.826638930633718
t3,196.68601515628907,617.5338713030317,3.8643253793582475,1.828305351267769,68.60313647792277,34.40163902157291,1108.2114785948086,750.4943385380619,0.520129505960757,7.826642329835876
t4,196.68599585732736,617.5338716420163,3.8643283876601995,1.8282917484132972,68.60312530124705,34.40220744767505,1108.212458769442,750.4943278587513,0.5201271006908287,7.826645251965707
t5,196.68594599156594,617.5338627176823,3.8643023168509814,1.8282540056035104,68.60309678495547,34.402255279153785,1108.2125555592752,750.4943396891233,0.5201140360459496,7.826643007468468
t6,196.68503689575144,617.5317374714211,3.8632107422352315,1.8260020119282798,68.6019659399124,34.401816462760166,1108.212144817872,750.4939925250186,0.5201245391677913,7.826646423796852
t7,196.6846120945347,617.531283374197,3.863155775117832,1.825510633535279,68.6014097694638,34.40180553953817,1108.211717260789,750.4935917275332,0.5201090703044206,7.826644714829819
t8,196.6845343076053,617.531221325613,3.8630853344355582,1.82540690012551,68.60131150939613,34.401256248657134,1108.2120319284065,750.4935199706863,0.520097796951499,7.826639790789424
t9,196.6844648821492,617.5312303884009,3.862480882251727,1.8253828249121147,68.60122541418254,34.401302026018485,1108.2120668247355,750.4935281505157,0.5200906087094941,7.826632951277331
t10,196.68448642934695,617.5312345319034,3.8624400240482846,1.8253720546432488,68.6012297517291,34.40008332015457,1108.2110362579474,750.4923919619876,0.5200872801483267,7.826633423902631
t11,196.684183433744,617.5310585656456,3.8622909850671907,1.8251467243853385,68.60086212404553,34.40117254207836,1108.2118373514336,750.4919526696955,0.5201138312937934,7.826629305077314
t12,196.68490727785354,617.5312468519002,3.862448764967987,1.8253525509326223,68.6017705295486,34.40134956915337,1108.2119571637832,750.4935174959052,0.5201111275029651,7.8266315675060385
t13,196.6849671617927,617.5312591894582,3.862459148245345,1.8253723111517453,68.60184744292557,34.401906859167646,1108.2119237831507,750.4935793860527,0.520108818802661,7.826630361038957
t14,196.6853966526704,617.5312540070977,3.862464588574456,1.8253855025924268,68.60237823267936,34.40213446308912,1108.2119112753078,750.4935720463517,0.5201037587687521,7.826631758047406
t15,196.68541336954536,617.5312500496351,3.8625113804023945,1.8253974889102023,68.60240846983844,34.40212713952009,1108.2119036690408,750.4935693632549,0.5200939217463209,7.826631332194238
t16,196.68539121931553,617.5312449876517,3.8630225799840883,1.8254007310313856,68.60239160916939,34.40201988212108,1108.2118605896603,750.4935710335907,0.5201111840259277,7.8266245893980955
t17,196.68536037991322,617.5312293601937,3.862461060416571,1.8253594045968071,68.60234760809244,34.40078086378423,1108.2110035997937,750.4936242773091,0.5201018889011637,7.826632571972601
t18,196.68416503073215,617.5309160258917,3.8622217501905802,1.8250390869655218,68.60085001918857,24.10211308303588,1108.0836698425846,750.4931721378185,0.5200941705798834,7.826631132010112
t19,196.6844805092567,617.531228102886,3.862493840705602,1.8253833789966798,68.6012538944603,6.892837303523427,554.1832769205762,750.4938369628911,0.520090087334533,7.826627635166301
t20,196.6849353231477,617.5313683452631,3.8631124315753187,1.8255301427108295,68.60182442061073,24.103076703279783,1108.081365830117,750.4936067337835,0.5200859373800093,7.826628575861659
t21,196.68532824226935,617.5316357443877,3.8631393604148783,1.825884227389209,68.6023295271786,34.400965812358024,1108.2114515931812,750.49397950596,0.520112477196784,7.826626257272651
t22,196.68499933791205,617.5316404269087,3.8631569303727167,1.8262944217507646,68.6019176047055,34.401793682654876,1108.2117912778745,750.4939986930666,0.520112268733162,7.826631325348723
t23,196.6854557797275,617.5316573740542,3.8631818521350647,1.8259689726621646,68.60248681629373,34.40186453450184,1108.2117843110946,750.494010579153,0.5201088254857752,7.826622171073879
t24,196.68534636270516,617.5316797817816,3.8635935389246874,1.8259958132002707,68.60237410234245,34.40185409306737,1108.2121380896172,750.493993325223,0.5201068748612833,7.826625791474198
t25,196.6854032961107,617.5319510797759,3.863533275083001,1.8263408273770385,68.60242010563583,34.40227358710561,1108.212618692149,750.4944138335059,0.5201092262313082,7.8266233531146625
t26,196.6854198357623,617.5319801806504,3.8635320360982224,1.8263942955518957,68.60244979979933,34.40225331047763,1108.2126809504264,750.4944105061419,0.5201301521872429,7.826626463606982
t27,196.6865249917258,617.5325582651045,3.8635293598688247,1.8269013992965721,68.60376371747388,34.40225341359583,1108.2147322056064,750.4950272617222,0.5201242577035937,7.826623863171567
t28,196.68673348443943,617.5327471766498,3.8635149906892625,1.8271106584813546,68.60399705548333,34.4022667190111,1108.2148052455634,750.4953294463531,0.5201112392293775,7.826619483242759
t29,196.68541455954528,617.5319815340094,3.8631972444390885,1.826429573267529,68.6023584643647,34.402287249789005,1108.2149092603988,750.4944319238948,0.520104351197493,7.826610999592444
t30,196.6854553284789,617.5316403165685,3.863140503228021,1.825874696748666,68.60190357524071,34.40229530639804,1108.2148932171672,750.4940280461497,0.5200896255930229,7.826605624465224
t31,196.68548243872056,617.5313065051023,3.8625017810027487,1.8254337242062624,68.60179658606923,34.402295729823244,1108.2148921903372,750.4939725254302,0.520101178235623,7.826580614041207
t32,196.68550721175268,617.5313076280264,3.8624468026046648,1.8254814065255685,68.60127814528389,34.40229380441594,1108.2118304040337,750.4935690348873,0.520090884224544,7.826056943642699
t33,196.6855544805123,617.5313210947431,3.862158788554188,1.825516048179747,68.6009203979111,34.40238858386878,1108.2117160719172,750.4934651837523,0.5200903270582967,7.8258166589577876
