,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,130904.00474414162,410996.81461814174,2551.5444936899557,1197.1803886688454,45642.60999975728,22868.130070279538,738023.5901837061,499502.0113938188,337.3683353875371,5200.591115242591
t1,156.02307429290005,489.8654334008544,3.0416710866511476,1.4275210800053624,54.40033701931365,27.26845855416193,879.1212629817695,595.3528302349046,0.4016088457677883,6.191230326221994
t2,156.02329032161757,489.86543710029724,3.041678130814436,1.427548116715662,54.40050404719132,27.268536141656476,879.1217016790431,595.3531612958301,0.4016044356447038,6.1912312062725245
t3,156.02328748401516,489.8654262465471,3.041678468992273,1.427547703139483,54.40047317570609,27.268513694834375,879.1217208898568,595.3531720577487,0.4016037128756856,6.1912326945297735
t4,156.023277146978,489.86542653790747,3.0416804846270367,1.4275386377365726,54.40046699501722,27.268818096553268,879.1222623054972,595.3531658086781,0.40160264762873976,6.19123399033183
t5,156.02325228122237,489.8654290453771,3.0416702744516013,1.4275260319736462,54.400456533265,27.268844261444134,879.1223130394252,595.3531748347513,0.4015963006623911,6.191232575900007
t6,156.02271899196666,489.8642835033616,3.0410863498941083,1.426274930737218,54.399840732714914,27.268608607060756,879.1220883825187,595.3529800552709,0.40160118546708523,6.191234476913033
t7,156.02247429166704,489.8640490198041,3.041060922528938,1.426015359681825,54.39954410787946,27.26860691422258,879.1218529070678,595.3527547924002,0.4015933605017783,6.191233222964073
t8,156.02243215339718,489.8640165306304,3.041024473547589,1.4259605051376614,54.39949350224387,27.268312490213763,879.1220331890562,595.3527166401121,0.4015878028583922,6.191230801058474
t9,156.02239271223604,489.86402085597126,3.040703700452886,1.4259479191318478,54.399444604564415,27.26834554564339,879.1220562932446,595.3527287476649,0.4015843460921692,6.1912274639082225
t10,156.0224083846478,489.86402486424174,3.0406852712225523,1.4259437110057687,54.39944748210939,27.267690851921586,879.1214865504987,595.352089296,0.40158273578896264,6.191227436865709
t11,156.02222382261343,489.8639283719959,3.0406053385864475,1.4258167695893127,54.39923938641931,27.268275661028348,879.1219272114715,595.3518386312122,0.4015955743154931,6.1912260625364866
t12,156.0226507674415,489.8640313357605,3.0406913341679718,1.4259317238384392,54.3997378748044,27.26836271561595,879.1219888637872,595.352724740208,0.4015940855205799,6.191226873641276
t13,156.02267818588803,489.86403703267416,3.0406967808667487,1.4259414877599452,54.39977339727712,27.26865927313528,879.1219695874287,595.3527501176793,0.4015929401688334,6.191226218322329
t14,156.0229310821673,489.86403432294946,3.040699352700637,1.4259492742214683,54.40006312130839,27.26878118977675,879.1219628684133,595.3527455975994,0.40159059593134566,6.191226823472501
t15,156.02293927653042,489.8640334910666,3.040722095289481,1.425956355764109,54.40007865725294,27.268775852912647,879.1219586676735,595.3527444368362,0.40158575146803405,6.191226351599318
t16,156.02292558752018,489.86402998793665,3.0409935069079514,1.425958107842014,54.40007099165065,27.268725655393,879.1219421192638,595.352745193753,0.40159404168392093,6.1912237343130405
t17,156.0229142782249,489.86402346233984,3.040694605179118,1.4259363376983127,54.400056054492126,27.268141786792448,879.1215483826403,595.3527785777126,0.4015894003601426,6.191227287887195
t18,156.02220993857827,489.86385486794984,3.040568738802272,1.4257588075764887,54.399240246177094,19.102586224036862,879.0243386030803,595.3525185329607,0.40158572688180727,6.191226535212979
t19,156.02240111175084,489.86402067605326,3.040710449776175,1.4259478136487642,54.399463295545296,5.466725796126718,439.63190755939115,595.3528994452171,0.40158387707179954,6.191224741936589
t20,156.0226640378781,489.8640953782362,3.0410386398286593,1.4260263678213625,54.39976922844264,19.103104184658456,879.0219848476764,595.3527625739961,0.40158196347459596,6.191225001884255
t21,156.02289318946842,489.864237047936,3.041050640585585,1.4262182113199458,54.400043850493205,27.268235557564676,879.1217667467001,595.3529750019809,0.4015949389104757,6.19122462684671
t22,156.022694588468,489.8642403811706,3.0410611030399943,1.4264458727962992,54.39981398831793,27.268601803142015,879.1218977779589,595.3529838728344,0.4015948020090163,6.191227012950877
t23,156.0229680773106,489.86424982524215,3.041074745439193,1.426265253135908,54.40012900722769,27.268635721084,879.1218880083942,595.3529907347528,0.4015935072110401,6.191222719836711
t24,156.02290130740388,489.8642608222164,3.041294414881047,1.4262803393343215,54.40006308625783,27.2686277248445,879.1220787726173,595.3529784620614,0.4015926576526018,6.1912243782469645
t25,156.0229393004373,489.86440601173246,3.0412600560954663,1.4264709039381838,54.400089414392255,27.268852710152572,879.1223421382737,595.3532170484855,0.4015935042032076,6.191223050514159
t26,156.02293478238386,489.8644176155765,3.0412593840577804,1.4264966656975648,54.400099220034264,27.268839990186578,879.1223654882851,595.3532094171342,0.40160368289525034,6.191225110282858
t27,156.02358286626853,489.86472894596267,3.041258208806275,1.4267759643108884,54.400820454870356,27.268839855834912,879.1235071502707,595.3535593981445,0.40160065310623533,6.191223669240145
t28,156.02370614260133,489.86483103458517,3.041251551507055,1.426893149142466,54.40095069024992,27.26884682032566,879.1235393551624,595.3537326334005,0.4015946737464639,6.191221510901484
t29,156.02292751521196,489.8644193375795,3.041082810845838,1.4265176242848843,54.40004995708252,27.268857920888426,879.1235981073951,595.3532220304622,0.40159144127805124,6.1912173157334545
t30,156.0229596227131,489.86424071837615,3.041055415515151,1.4262153398309703,54.39981040028442,27.268861851731266,879.1235864851684,595.3529978347835,0.40158435187310204,6.191214352310944
t31,156.02297451649525,489.86406167461007,3.0407161009964407,1.4259737323150163,54.39975553425811,27.268862295995866,879.1235984641512,595.352970658033,0.40158996153285165,6.1912029882741075
t32,156.02298813988202,489.86406317192757,3.0406900048550844,1.426003651264154,54.39947485754398,27.268860479902045,879.1218961872423,595.3527430111919,0.4015849421649976,6.190910646847619
t33,156.02301646173004,489.8640689403286,3.0405367685479443,1.426023306063208,54.399273755377834,27.26891216105817,879.1218467311787,595.3526834636857,0.4015849122207182,6.190777868321548
t34,156.02301693228415,489.86407226094343,3.040696641272944,1.4260069588123414,54.3997426739585,27.26891743108707,879.1218522622106,595.3530015535033,0.40158530686868416,6.190907325854621
t35,156.02300599241462,489.86408403097647,3.0405370233156788,1.4260087948491178,54.39975759963331,27.26858152100946,879.1218541851697,595.3526647894025,0.4015854131152692,6.190785859508978
t36,156.02299480403153,489.8640857827872,3.040697505888321,1.4259666108442683,54.39975371244868,27.268924197153886,879.1218647557744,595.3528727851714,0.4015994295538443,6.191193907369906
t37,156.0229836575039,489.86408418655395,3.0407061494213075,1.4259713678389243,54.39983373292446,27.26892575490221,879.1218731837603,595.3527852459692,0.40159515874457163,6.191203487716026
t38,156.0229648504631,489.8640818232803,3.04072468630829,1.426009288198228,54.40005167703619,27.268914493226013,879.1218691648039,595.3528102462468,0.4015935494564914,6.191192636886744
t39,156.02296214639608,489.8640717084414,3.0407326966838433,1.4260310742910616,54.40006797416371,27.268907488216694,879.1218725367473,595.3528105511075,0.4015910150681179,6.19092402880538
t40,156.02291652769787,489.8640225612341,3.040706791428648,1.4260148155240988,54.40002303881868,27.268893319143846,879.1218499591844,595.3527426679263,0.401585421078126,6.190903538586403
t41,156.02294914428379,489.86405947101736,3.0403288349677378,1.4260629887151366,54.40005645486676,27.26889641744863,879.1218739680603,595.3527863207601,0.4015922677972677,6.190817055727531
t42,156.02268991503666,489.8637655927826,3.040034171927576,1.4257666707557153,54.39974216053279,27.268657345370286,879.1215278536002,595.3523731264745,0.4015887607449869,6.190624875536301
t43,156.0229514338143,489.8640628205781,3.0402989531355913,1.4260549874004342,54.39979039422083,27.268905488249015,879.1218612589888,595.3527589735603,0.40158338248518516,6.190790003386546
t44,156.0229757035399,489.8640679385232,3.040419898302666,1.4260359757296013,54.40006110583369,27.268905120737926,879.1218846936962,595.3527663730312,0.40158027810447144,6.190771523629267
