Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
t115,0.0,0.0,0.0,-46.66347826086956
t116,0.0,0.0,0.0,-46.66347826086956
t117,0.0,0.0,0.0,-46.66347826086956
t118,0.0,0.0,0.0,-46.66347826086956
t119,0.0,0.0,0.0,-46.66347826086956
t120,0.0,0.0,0.0,-46.66347826086956
t121,0.0,0.0,0.0,-46.66347826086956
t122,0.0,0.0,0.0,-46.66347826086956
t123,0.0,0.0,0.0,-46.66347826086956
t124,0.0,0.0,0.0,-46.66347826086956
t125,0.0,0.0,0.0,-46.66347826086956
t126,0.0,0.0,0.0,-46.66347826086956
t127,0.0,0.0,0.0,-46.66347826086956
t128,0.0,0.0,0.0,-46.66347826086956
t129,0.0,0.0,0.0,-46.66347826086956
t130,0.0,0.0,0.0,-46.66347826086956
t131,0.0,0.0,0.0,-46.66347826086956
t132,0.0,0.0,0.0,-46.66347826086956
t133,0.0,0.0,0.0,-46.66347826086956
t134,0.0,0.0,0.0,-46.66347826086956
t135,0.0,0.0,0.0,-46.66347826086956
t136,0.0,0.0,0.0,-46.66347826086956
t137,0.0,0.0,0.0,-46.66347826086956
t138,0.0,0.0,0.0,-46.66347826086956
t139,0.0,0.0,0.0,-46.66347826086956
t140,0.0,0.0,0.0,-46.66347826086956
t141,0.0,0.0,0.0,-46.66347826086956
t142,0.0,0.0,0.0,-46.66347826086956
t143,0.0,0.0,0.0,-46.66347826086956
t144,0.0,0.0,0.0,-46.66347826086956
t145,0.0,0.0,0.0,-46.66347826086956
t146,0.0,0.0,0.0,-46.66347826086956
t147,0.0,0.0,0.0,-46.66347826086956
t148,0.0,0.0,0.0,-46.66347826086956
t149,0.0,0.0,0.0,-46.66347826086956
t150,0.0,0.0,0.0,-46.66347826086956
t151,0.0,0.0,0.0,-46.66347826086956
t152,0.0,0.0,0.0,-46.66347826086956
t153,0.0,0.0,0.0,-46.66347826086956
t154,0.0,0.0,0.0,-46.66347826086956
t155,0.0,0.0,0.0,-46.66347826086956
t156,0.0,0.0,0.0,-46.66347826086956
t157,0.0,0.0,0.0,-46.66347826086956
t158,0.0,0.0,0.0,-46.66347826086956
t159,0.0,0.0,0.0,-46.66347826086956
t160,0.0,0.0,0.0,-46.66347826086956
t161,0.0,0.0,0.0,-46.66347826086956
t162,0.0,0.0,0.0,-46.66347826086956
t163,0.0,0.0,0.0,-46.66347826086956
t164,0.0,0.0,0.0,-46.66347826086956
t165,0.0,0.0,0.0,-46.66347826086956
t166,0.0,0.0,0.0,-46.66347826086956
t167,0.0,0.0,0.0,-46.66347826086956
t168,0.0,0.0,0.0,-46.66347826086956
