Line,Existing_Trans_Capacity,New_Trans_Capacity
1,0.0,0.0031780344
2,0.0,0.0008202681
3,0.0,0.0007752276
4,0.0,11.910277
5,0.0,0.0007555427
6,0.0,0.0050732587
7,0.0,11.014805
8,0.0,0.0008066844
9,0.0,0.0005550563
10,0.0,0.0037408273
11,0.0,0.08826711
12,0.0,0.0026412485
13,0.0,0.00058129674
14,0.0,0.0013479469
15,0.0,38.733017
16,0.0,0.0015996244
17,0.0,0.0009990061
18,0.0,2.1440926
19,0.0,0.00071483164
20,0.0,0.0005374396
21,0.0,0.0010289052
22,0.0,0.00127826
23,0.0,3.945707
24,0.0,0.0014515643
25,0.0,0.00070718024
26,0.0,0.00045756646
27,0.0,0.0007968326
28,0.0,0.0010271709
29,0.0,0.0070538996
30,0.0,0.30661184
31,0.0,0.0008491612
32,0.0,1.5735555
33,0.0,0.00320219
34,0.0,0.00066788995
35,0.0,0.0004593559
36,0.0,5.649546
37,0.0,0.00079582876
38,0.0,0.0006494965
39,0.0,0.00036954586
40,0.0,1.362929
41,0.0,0.0013718255
42,0.0,0.00051347166
43,0.0,0.001405304
44,0.0,0.00072876044
45,0.0,0.017822381
