Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
FR0 0 offwind-ac,5,5.0,0.007780212242241351,28.06535430314169,33.05757409089945,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 offwind-dc,5,5.0,0.007541228979474401,34.54858442463975,39.54104319566027,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 oil,5,2746.0,2133.0624004986776,12.875632067564633,625.8132315688872,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 onwind,5,17217.0,0.061124017700682196,39.178164140584094,17256.11704012288,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 ror,5,9554.0,2.1078204568007934,0.0,9551.8921795432,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 solar,5,10213.0,9933.26749479002,2.6360210974849845,282.3685263074658,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 CCGT,6,495.6443218,0.025926233938397852,533.7621799893905,1029.380575555452,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 coal,6,137.8952924,0.055982878446394164,76.39690092935072,214.2362104509043,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 offwind-ac,6,145.6826026,0.01920249200341253,3.135335373428797,148.79873548142538,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 offwind-dc,6,145.6826026,0.0161735025058255,4.6325552210532015,150.29898431854735,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 oil,6,7.571661583,0.01616536009650374,125.05144167012176,132.60693789302528,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 onwind,6,333.8240164,0.024087587948135494,1345.3675862139187,1679.1675150259707,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 solar,6,322.7540555,0.14948827999606717,1.785263583492911,324.3898308034968,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 CCGT,7,20189.85568,4.038976580918967,4781.614757788462,24967.431461207543,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 OCGT,7,20189.85568,24.942271882676575,120.77605605090984,20285.689464168234,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 biomass,7,4419.504799,0.02356085644776881,2.7582322439045863,4422.239470387457,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 coal,7,5617.104708,1679.2106688523704,22.524514211096243,3960.4185533587256,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 nuclear,7,8058.178361,0.0,2.9682835228994024,8061.1466445229,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 offwind-ac,7,5934.317397,0.020502907996147735,1.4450430853205236,5935.741937177324,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 offwind-dc,7,5934.317397,0.015594146397997093,17958.058322326622,23892.360125180225,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 oil,7,308.4283384,0.09471916773384213,10.714869757378452,319.04848898964457,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 onwind,7,13598.17598,0.024910750665879954,1.6669388193795203,13599.818008068713,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 ror,7,1873.018929,1.3815527607854345,0.0,1871.6373762392147,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 solar,7,13147.24594,0.1950553397920339,1.5958663834616742,13148.646751043669,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 CCGT,8,9250.0,0.024815006760172172,1690.5722628617716,10940.547447855011,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 OCGT,8,9250.0,0.08850259166696164,15.94627860980738,9265.85777601814,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 coal,8,4012.0,3678.6388045522035,6.747966207682398,340.10916165547906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 nuclear,8,485.0,0.0,7.214226239435264,492.2142262394353,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 offwind-ac,8,1178.5,0.01800659665149927,2.73533727118334,1181.217330674532,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 offwind-dc,8,1178.5,0.01566400544208512,8080.656600830112,9259.14093682467,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 onwind,8,4500.0,0.024951118971578486,8091.223932232638,12591.198981113666,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 solar,8,7900.0,0.48072409395764604,2.338899887961109,7901.858175794003,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 CCGT,9,321.0,0.0243750122714592,6257.453253721091,6578.428878708819,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 OCGT,9,321.0,0.1612734002233054,5.813417678165879,326.65214427794257,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 offwind-ac,9,0.0,0.0,27.29468944881217,27.29468944881217,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 offwind-dc,9,0.0,0.0,26.388786890619752,26.388786890619752,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 onwind,9,3068.0,2262.6144376307557,4.030758921146907,809.4163212903914,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 solar,9,0.0,0.0,19.982893352878115,19.982893352878115,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 coal,9,0.0,0.0,58.13205194986486,58.13205194986486,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 nuclear,9,0.0,0.0,52.474325146826565,52.474325146826565,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 CCGT,10,0.0,0.0,5830.14568380028,5830.14568380028,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 biomass,10,0.0,0.0,54.49454863007899,54.49454863007899,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 coal,10,0.0,0.0,59.349400286809285,59.349400286809285,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 nuclear,10,6871.0,0.0,0.0,6871.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 offwind-ac,10,0.0,0.0,51.10912660380443,51.10912660380443,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 offwind-dc,10,0.0,0.0,751.7033206503922,751.7033206503922,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 oil,10,0.0,0.0,103.86912173966279,103.86912173966279,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 onwind,10,10017.0,0.05975713009896444,3.3333268807127654,10020.273569750614,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 ror,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 solar,10,0.0,0.0,23.367488869493833,23.367488869493833,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 hydro,2,1298.0,0.36622583816920945,0.0,1297.6337741618308,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 hydro,5,6655.0,0.4167490151577644,0.0,6654.583250984842,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 hydro,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 hydro,9,33055.0,0.06881551008325526,0.0,33054.93118448992,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 hydro,10,16334.0,0.014714611025072832,0.0,16333.985285388975,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 PHS,2,9422.0,2.959141545884571,0.0,9419.040858454115,73672.62365,205.34188424015727,0.0,73467.28176575984,0,0.0,0.0,0.0
FR0 0 PHS,5,4655.0,63.84445648422254,0.0,4591.155543515777,60951.72621,835.9677619697821,0.0,60115.75844803022,0,0.0,0.0,0.0
GB5 0 PHS,7,103.2477524,6.044107527161864,0.0,97.20364487283813,35.29332389,2.066065780811277,0.0,33.227258109188725,0,0.0,0.0,0.0
NO3 0 PHS,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 PHS,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Total,n/a,600695.775365883,82439.30642590133,121870.93907288305,640127.4080128648,134659.64318388997,1043.3757119907507,0.0,133616.26747189925,0,0.0,0.0,0.0
