t,MIDAT_conventional_hydroelectric_1_PowerGen,MIDAT_hydroelectric_pumped_storage_1_PowerGen,MIDAT_natural_gas_fired_combined_cycle_1_PowerGen,MIDAT_natural_gas_fired_combined_cycle_2_PowerGen,MIDAT_natural_gas_fired_combined_cycle_3_PowerGen,MIDAT_natural_gas_fired_combined_cycle_4_PowerGen,MIDAT_natural_gas_fired_combustion_turbine_1_PowerGen,MIDAT_natural_gas_fired_combustion_turbine_2_PowerGen,MIDAT_nuclear_1_PowerGen,MIDAT_nuclear_2_PowerGen,MIDAT_onshore_wind_turbine_1_PowerGen,MIDAT_small_hydroelectric_1_PowerGen,MIDAT_solar_photovoltaic_1_PowerGen,NE_conventional_hydroelectric_1_PowerGen,NE_hydroelectric_pumped_storage_1_PowerGen,NE_natural_gas_fired_combined_cycle_1_PowerGen,NE_natural_gas_fired_combined_cycle_2_PowerGen,NE_natural_gas_fired_combined_cycle_3_PowerGen,NE_natural_gas_fired_combustion_turbine_1_PowerGen,NE_natural_gas_fired_combustion_turbine_2_PowerGen,NE_nuclear_1_PowerGen,NE_nuclear_2_PowerGen,NE_onshore_wind_turbine_1_PowerGen,NE_small_hydroelectric_1_PowerGen,NE_solar_photovoltaic_1_PowerGen,SE_conventional_hydroelectric_1_PowerGen,SE_hydroelectric_pumped_storage_1_PowerGen,SE_natural_gas_fired_combined_cycle_1_PowerGen,SE_natural_gas_fired_combined_cycle_2_PowerGen,SE_natural_gas_fired_combined_cycle_3_PowerGen,SE_natural_gas_fired_combined_cycle_4_PowerGen,SE_natural_gas_fired_combustion_turbine_1_PowerGen,SE_natural_gas_fired_combustion_turbine_2_PowerGen,SE_nuclear_1_PowerGen,SE_nuclear_2_PowerGen,SE_small_hydroelectric_1_PowerGen,SE_solar_photovoltaic_1_PowerGen,SE_naturalgas_ccccsavgcf_conservative_0_PowerGen,SE_naturalgas_ccavgcf_moderate_0_PowerGen,SE_naturalgas_ctavgcf_moderate_0_PowerGen,SE_battery_moderate_0_PowerGen,SE_nuclear_mid_0_PowerGen,MIDAT_naturalgas_ccccsavgcf_conservative_0_PowerGen,MIDAT_naturalgas_ccavgcf_moderate_0_PowerGen,MIDAT_naturalgas_ctavgcf_moderate_0_PowerGen,MIDAT_battery_moderate_0_PowerGen,MIDAT_nuclear_mid_0_PowerGen,NE_naturalgas_ccccsavgcf_conservative_0_PowerGen,NE_naturalgas_ccavgcf_moderate_0_PowerGen,NE_naturalgas_ctavgcf_moderate_0_PowerGen,NE_battery_moderate_0_PowerGen,NE_nuclear_mid_0_PowerGen,NE_offshorewind_class10_moderate_floating_1_1_PowerGen,SE_utilitypv_class1_moderate_70_0_2_1_PowerGen,SE_utilitypv_class1_moderate_70_0_2_2_PowerGen,SE_utilitypv_class1_moderate_70_0_2_3_PowerGen,SE_utilitypv_class1_moderate_70_0_2_4_PowerGen,SE_utilitypv_class1_moderate_70_0_2_5_PowerGen,SE_utilitypv_class1_moderate_70_0_2_6_PowerGen,SE_utilitypv_class1_moderate_70_0_2_7_PowerGen,SE_utilitypv_class1_moderate_70_0_2_8_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_1_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_2_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_3_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_4_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_5_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_6_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_7_PowerGen,NE_utilitypv_class1_moderate_70_0_2_1_PowerGen,NE_utilitypv_class1_moderate_70_0_2_2_PowerGen,NE_utilitypv_class1_moderate_70_0_2_3_PowerGen,NE_utilitypv_class1_moderate_70_0_2_4_PowerGen,NE_utilitypv_class1_moderate_70_0_2_5_PowerGen,NE_utilitypv_class1_moderate_70_0_2_6_PowerGen,NE_utilitypv_class1_moderate_70_0_2_7_PowerGen,SE_landbasedwind_class4_moderate_70_1_PowerGen,SE_landbasedwind_class4_moderate_70_2_PowerGen,SE_landbasedwind_class4_moderate_70_3_PowerGen,SE_landbasedwind_class4_moderate_70_4_PowerGen,SE_landbasedwind_class4_moderate_70_5_PowerGen,SE_landbasedwind_class4_moderate_70_6_PowerGen,SE_landbasedwind_class4_moderate_70_7_PowerGen,SE_landbasedwind_class4_moderate_70_8_PowerGen,MIDAT_landbasedwind_class4_moderate_70_1_PowerGen,MIDAT_landbasedwind_class4_moderate_70_2_PowerGen,MIDAT_landbasedwind_class4_moderate_70_3_PowerGen,MIDAT_landbasedwind_class4_moderate_70_4_PowerGen,MIDAT_landbasedwind_class4_moderate_70_5_PowerGen,MIDAT_landbasedwind_class4_moderate_70_6_PowerGen,MIDAT_landbasedwind_class4_moderate_70_7_PowerGen,NE_landbasedwind_class4_moderate_70_1_PowerGen,NE_landbasedwind_class4_moderate_70_2_PowerGen,NE_landbasedwind_class4_moderate_70_3_PowerGen,NE_landbasedwind_class4_moderate_70_4_PowerGen,NE_landbasedwind_class4_moderate_70_5_PowerGen,NE_landbasedwind_class4_moderate_70_6_PowerGen,NE_landbasedwind_class4_moderate_70_7_PowerGen
1602,2806.182,0.0,1.3313489959420218e-12,1.884328319634032e-12,5.55282773103074e-13,1.614319386346888e-12,6.322102668092875e-13,7.551429719902814e-13,3.7247009328335844e-11,17770.208000000923,1899.846991878045,80.76146593895999,11.769373750399847,4729.48,0.0,2.42133959685589e-12,1.0749636317661056e-11,3.5048552990475164e-13,1.3433752119267642e-12,4.248089919544231e-12,3395.700000002217,2.9635326119865686e-11,1429.5345327894988,561.283969830734,0.0,11123.215,0.0,1.2315109372649933e-12,1.1119035842549208e-12,1.3532070209592103e-12,7.143873837012483e-13,6.273657758872513e-13,6.556573861637527e-13,33632.28800000203,2228.0000000004716,75.36067571699,124.75508469619943,1.2036781042244415e-9,2.4202365421816797e-12,8.092300590764192e-13,49715.002363562264,8.437164077775691e-12,61141.78420983508,4.09025237427076e-12,7.952366653336674e-13,16292.202197750792,8.878692262832764e-12,55048.19354104539,1.2067369740769229e-11,1.783236430435575e-12,8793.627722434738,8.238380671272716e-12,1.758065075559977e-11,1.1856877895771074e-13,2986.4187666596295,4.0375596739222037e-13,2.3251558393871825e-14,6.440927016405426e-14,7.938881328551326e-14,1.351362695942875e-13,2.5570428756253116e-14,0.0,0.0,0.0,5.5382299438846233e-14,1.9365907971222306e-14,1.1675628245605526e-13,5.2436819226010644e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4999901850092202e-11,1.2422097317962085e-11,2.2092319859779102e-11,2.73976814901876e-9,1.1748976165912076e-10,50811.50241266264,9.918342213154352e-12,33272.07864147005,507.92789204798856,10578.584961744013,2970.6399637050063,1.2775609008983981e-11,16700.172209890618,5.0207479791887064e-11,2386.598540543883,5.604156346238579e-12,1.1028483104139554e-11,7.374492291288736e-11,5.393624360993916e-12,4.400905256158712e-12,5.034070317833053e-12,1.0322147105132434e-12
1603,2806.1819999999984,0.0,1.187957941587975e-12,1.5917321605259199e-12,5.302839227993751e-13,1.3972577934032944e-12,5.58421852032898e-13,6.607407627661439e-13,3.7113002304272646e-11,17770.207999999384,2167.2453913283953,80.76146593895999,0.0,4729.48,0.0,1.7213694536800274e-12,6.9462225002570024e-12,3.238179175637025e-13,6.993175816830917e-13,8.727846655451631e-13,3395.7000000000153,2.937585559066347e-11,1602.8876333205005,561.283969830734,0.0,10199.988154999985,0.0,1.1485591223946073e-12,1.0441997022779742e-12,1.2595657947402825e-12,6.826985633336803e-13,5.774300499465677e-13,6.069922848299666e-13,33632.288000000204,2228.0000000000364,75.36067571699,0.0,1.2034344793557898e-9,2.1278838334150338e-12,7.927606977963767e-13,12348.77916483796,8.369682864095879e-12,61141.784209834725,3.461317609246039e-12,7.833512360133939e-13,7.336548430038736e-12,8.799467861190685e-12,55048.19354104516,3.3392804295397273e-12,7.940081927893744e-13,5.107450938599163e-13,8.099475197543334e-12,1.752344748463477e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5985639731137604e-11,1.4294530603330728e-11,2.4150755775148385e-11,2.8338504917042894e-9,1.1787340207999277e-10,63571.4576434903,1.1689983678704934e-11,33377.974778927346,668.2646297439999,13721.052148824005,4041.691195477001,1.4130985359412432e-11,19151.446291627486,6.113571932836038e-11,2430.0896230071858,7.0370882664983436e-12,1.199081532786264e-11,7.822133463214825e-11,4.508788026843992e-12,5.284468144858119e-12,9.915197607883855e-12,1.0984218695250878e-12
1604,2573.2688939999985,0.0,9.34685265878763e-13,1.1543464955783028e-12,4.714046756392052e-13,1.050208856840719e-12,4.4079896675111836e-13,5.045744224887574e-13,3.6135998986852534e-11,17770.208000000137,2279.747818933199,80.76146593895999,0.0,4729.479999999999,0.0,1.2093966767311591e-12,2.63003577692475e-12,2.969252629608965e-13,4.752921389025297e-13,5.527608664456696e-13,3395.7000000002026,2.8418275667317293e-11,1681.4393091519992,561.283969830734,0.0,9276.761309999996,0.0,9.245880635057958e-13,8.746368482629115e-13,1.02104062848631e-12,6.05298261390139e-13,4.600467860258104e-13,4.829526170981573e-13,33632.288000000044,2227.9999999999736,75.36067571699,0.0,1.199772615489489e-9,1.1594084140358649e-12,4.843331955822756e-13,3.7190891887871197e-13,7.76590780659981e-12,61141.78420983499,1.3081436553075985e-12,4.810157616155427e-13,3.523547746545977e-13,8.16888968920906e-12,55048.193541045424,1.1146228181672312e-12,4.788312506285767e-13,3.059115789097398e-13,7.472934990383921e-12,1.700668784661567e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5674946967289007e-11,1.4741500746539556e-11,2.4234700352671222e-11,2.772428308763981e-9,1.1683776358198211e-10,67591.65368583347,1.2202111980523617e-11,33496.99475834025,758.8359300879993,16117.544007864,4683.470215117999,1.3835697195574724e-11,21011.061409608497,6.426513391241649e-11,2391.0519100440933,7.807004456715625e-12,1.1463684789136003e-11,7.82294404993181e-11,3.4710096591609946e-12,5.3802608089505405e-12,7.746551508069614e-12,8.896445858801478e-13
1605,2340.3557880000003,0.0,8.162600978783536e-13,9.70144028716647e-13,4.425624563211552e-13,8.988969289395232e-13,3.9842474882997064e-13,4.4848655258797376e-13,3.393353886644727e-11,17770.207999999944,2311.324432084796,80.76146593895999,0.0,4368.696324412938,0.0,9.215511996519532e-13,1.4849276992474879e-12,2.803857479728097e-13,4.114635092312716e-13,4.677715582278581e-13,3395.6999999998293,2.645848454028193e-11,1748.3744258334966,561.283969830734,0.0,8353.534464999982,0.0,8.273004179794483e-13,7.85713111817085e-13,9.005269936042084e-13,5.619492127944947e-13,4.161891826699623e-13,4.3523101686788263e-13,33632.28800000057,2228.000000000011,75.36067571699,0.0,8.167322907977362e-10,9.28355038601557e-13,4.471124731603593e-13,1.1345080449530446e-12,6.994357639359369e-12,56313.510645226896,9.302619664372218e-13,4.43731532108125e-13,9.838056567810174e-13,7.350994680118759e-12,48249.2299960544,8.545821655392709e-13,4.4134492432705185e-13,1.1353446440434027e-12,6.717655989230388e-12,1.5027959193806728e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3617182864372417e-11,1.357927940219116e-11,2.2222672253025392e-11,2.652148670767135e-9,1.1508204678610741e-10,68004.62749647563,1.094853206769233e-11,33188.291546999026,846.3862435359968,16908.434402471998,5316.654550922997,1.1897122471867467e-11,21757.210886683803,6.267435402901467e-11,2343.0120958278317,7.37458129166763e-12,1.0159806193517558e-11,7.401511473759347e-11,3.1064088043475813e-12,4.555584227533158e-12,5.934539805752514e-12,7.041123892648925e-13
1606,2107.442681999999,0.0,7.476907176998306e-13,8.658671113289419e-13,4.2525466684889227e-13,8.12718162422887e-13,3.860698569069243e-13,4.30164544451026e-13,3.339412676121867e-11,17770.20800000019,2306.895569527196,80.76146593895999,0.0,4019.986443932767,0.0,7.479616206465549e-13,9.124330056233712e-13,2.6965425581788886e-13,3.914538511631085e-13,4.392077485656062e-13,3395.699999999968,2.5926923875665897e-11,1805.601249975497,561.283969830734,0.0,7430.307619999995,0.0,7.709296591022138e-13,7.324109554480891e-13,8.295281109415418e-13,5.351834706137849e-13,4.030082359606191e-13,4.184284793987463e-13,33632.28799999994,2227.9999999999945,75.36067571699,0.0,7.705852265264643e-10,8.501299741305139e-13,4.515623248358356e-13,1.7479234929739516e-11,6.628354712113354e-12,46355.947274574515,8.35241558851741e-13,4.48218317547995e-13,1.747917873657456e-11,6.9619776716807694e-12,42830.438908974174,7.7783826924728e-13,4.45826560340254e-13,1.722963675898642e-11,6.351675995664329e-12,1.5023772629326193e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375368168571168e-11,1.4038779241808348e-11,2.2297737534080377e-11,2.3335756337550206e-9,1.1294907251786158e-10,66904.15242741654,1.1306653281038579e-11,32732.122190468686,881.7049713439967,16580.172821375996,5584.654923796997,1.1926644074400016e-11,22168.839573104095,6.130763628804468e-11,2314.918099985008,8.396019532877196e-12,1.1353445696606337e-11,7.152037383618613e-11,3.93559102267471e-12,4.8462522655323916e-12,5.863684242534991e-12,6.873418722334274e-13
1607,1874.529576000002,0.0,7.057673791657507e-13,8.057634858059019e-13,4.135029673875551e-13,7.614311730074395e-13,3.820423127052248e-13,4.2330647296129633e-13,3.3100496569516575e-11,17770.207999999897,2266.5600632831965,80.76146593895999,0.0,3689.3831113727992,0.0,6.722371897885323e-13,7.80970092773337e-13,2.6254406003303125e-13,3.8431802315246357e-13,4.2804888599772257e-13,3395.700000000553,2.5629461696367364e-11,1838.6675058439967,561.283969830734,0.0,6507.080775,0.0,7.349358837189924e-13,6.985726837708601e-13,7.855671193765181e-13,5.174764664280633e-13,3.9853047860072295e-13,4.115468676815821e-13,33632.287999999826,2228.000000000022,75.36067571699,0.0,7.502727599222409e-10,8.156920381437348e-13,4.515727766956975e-13,1.7479449540065304e-11,6.4376527708417264e-12,41691.65528359081,7.98815830821863e-13,4.4823675478434224e-13,1.747940287927017e-11,6.75747285103768e-12,38960.934789306906,7.594472919277709e-13,4.4585911209848557e-13,1.722993795598469e-11,6.154341464724102e-12,1.5021241438460424e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370503663912417e-11,1.4278932067660432e-11,2.236917630962372e-11,2.254909483768657e-9,1.0947349835681059e-10,64286.62109785421,1.1480913153197778e-11,30905.916214283337,873.0064566079968,15772.338299015997,5712.297609468997,1.2111206745066712e-11,22216.01598768923,5.640740623188424e-11,2309.492343520141,8.552125242584148e-12,1.221707518377439e-11,6.936132374849751e-11,4.510355470263808e-12,5.044223628305744e-12,7.105152464834541e-12,6.609530968817731e-13
1608,1641.616469999998,0.0,6.808505534747187e-13,7.708264389232045e-13,4.0596338879177037e-13,7.312215449809156e-13,3.8070883112074145e-13,4.207055677967957e-13,3.28216888458246e-11,17770.208000000068,2208.117837607196,80.76146593895999,0.0,3396.8208478673414,0.0,6.336462067935613e-13,7.216399280875275e-13,2.58246831887449e-13,3.817379308788167e-13,4.2362021634664606e-13,3395.70000000007,2.5414112981571084e-11,1862.2846865124968,561.283969830734,0.0,5583.853929999998,0.0,7.124184096045584e-13,6.776173908433277e-13,7.587084284247334e-13,5.062722835344213e-13,3.969861237566297e-13,4.0870217829605944e-13,33632.2879999997,2227.9999999999523,75.36067571699,0.0,7.357875948182132e-10,8.015092563873933e-13,4.478997806428024e-13,1.7479493701166947e-11,6.323517801243321e-12,40179.25032087247,7.866443649842019e-13,4.444774376836354e-13,1.747948815222764e-11,6.633033572307679e-12,36641.13247266077,7.595577657127923e-13,4.4204708176538184e-13,1.7230054655793488e-11,6.031415449792759e-12,1.5022092975604637e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3746801566646434e-11,1.4385462306219696e-11,2.237637569554367e-11,2.4187332687108802e-9,1.0356555726076158e-10,60990.882823711734,1.1662142057993475e-11,29628.98127218748,833.5365176799966,15164.109124703997,5929.051784011997,1.2138189298927956e-11,22253.43086444506,5.130290565864053e-11,2220.8541912067476,8.774934486666522e-12,1.3871876688250249e-11,6.662871962654976e-11,4.675791004424005e-12,5.235661730065184e-12,8.914334682072821e-12,6.253137928462622e-13
1609,1408.7033639999945,0.0,6.658686097188207e-13,7.498037015967106e-13,4.012698049932421e-13,7.130180026385102e-13,3.8026765338039596e-13,4.1972153627086225e-13,3.26277674642073e-11,17770.20799999981,2165.184461049597,80.76146593895999,0.0,3221.061763399326,0.0,6.121017420823081e-13,6.893526169087771e-13,2.557641432633019e-13,3.808047163774795e-13,4.2186129460299757e-13,3395.6999999999935,2.5239062472556596e-11,1875.063033139497,561.283969830734,0.0,4660.627085000003,0.0,6.98547147857635e-13,6.649130363147753e-13,7.424653047552146e-13,4.994748920658154e-13,3.9645421330527603e-13,4.07529661131155e-13,33632.288000000015,2228.0000000000086,75.36067571699,0.0,7.332207705623251e-10,7.961167411510986e-13,4.5153028960190386e-13,1.7479515491513032e-11,6.24297804558948e-12,39831.0920226153,7.833804540394767e-13,4.481885693634567e-13,1.7479520474101626e-11,6.5431399096676095e-12,36059.67204032187,7.647531507606557e-13,4.4579822831332623e-13,1.723009490564109e-11,5.9439125247172966e-12,9.006411901511714e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37344411789886e-11,1.4491769596542082e-11,2.2485288228567386e-11,2.3718470911799375e-9,9.638386940760313e-11,57776.99674269565,1.1846271292906299e-11,29403.117497396106,832.4676364879966,15278.330824031997,6143.0460786649965,1.1916886554427649e-11,22262.236576853255,4.776724014312152e-11,2188.7332016591295,9.010945104910205e-12,1.5153460480230046e-11,6.356325777230519e-11,4.811287966438776e-12,5.391720195520195e-12,1.1363467236475393e-11,5.844891615158158e-13
1610,1175.7902579999973,0.0,6.571002826322835e-13,7.372030430597253e-13,3.98493403528606e-13,7.021730207186787e-13,3.801268658930544e-13,4.1935725110799356e-13,3.244832704324194e-11,17770.207999999984,2143.379524430396,80.76146593895999,0.0,3383.9664685457005,0.0,5.998458934506625e-13,6.708283580449219e-13,2.5442125369367446e-13,3.804733506569621e-13,4.2117233686807294e-13,3395.6999999998075,2.5053448881133387e-11,1908.125111914497,561.283969830734,0.0,3737.4002400000063,0.0,6.903027317119346e-13,6.57540389484456e-13,7.329772611341814e-13,4.956135478173833e-13,3.962772212901064e-13,4.070558818633944e-13,33632.287999999375,2227.999999999962,75.36067571699,0.0,7.344025262485121e-10,7.942892560808411e-13,4.515734549568647e-13,1.7479560216778324e-11,6.179040834771543e-12,40352.00636652488,7.831420653797977e-13,4.482375657734113e-13,1.7479550950280894e-11,6.471606119737699e-12,35602.612483970144,7.696178414973197e-13,4.458594267651767e-13,1.7230098357783422e-11,5.874178378567829e-12,8.62556910685392e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3656865413668364e-11,1.4501683592274111e-11,2.2622806110242702e-11,2.4533364904071983e-9,9.238169325517856e-11,54481.4763157208,1.1819889332517557e-11,28816.574721107314,831.9301988399969,14781.295431527997,6495.122340221997,1.201033589749488e-11,22573.32058009274,4.411524364742307e-11,2186.565882553381,1.0711201526035555e-11,1.588662699006151e-11,6.158005726042244e-11,4.752550747206718e-12,5.5780079126629966e-12,1.2106328000940062e-11,7.05393123731188e-13
1611,942.8771519999989,0.0,6.520675014814644e-13,7.297336278958008e-13,3.969073350112338e-13,6.95811453856533e-13,3.800973309721134e-13,4.1924486511746807e-13,3.2269792363133005e-11,17770.20799999996,2127.662560271997,80.76146593895999,0.0,3679.5930266418436,0.0,5.929136571259442e-13,6.600734618811312e-13,2.537340919358923e-13,3.8037210617337374e-13,4.2092568578833374e-13,3395.6999999999625,2.4891524484008565e-11,1937.1685526549966,561.283969830734,0.0,2814.173395,0.0,6.855284165499598e-13,6.5340977001906e-13,7.275851202999867e-13,4.935170130851119e-13,3.9623606872681444e-13,4.068884283899217e-13,33632.28800000043,2228.0000000000036,75.36067571699,0.0,7.398590787555098e-10,7.938910789655079e-13,4.479000337291255e-13,1.7479621318591852e-11,6.1259801107244614e-12,41870.82523261029,7.836567731142545e-13,4.4447740491292884e-13,1.7479576079769823e-11,6.413459705732383e-12,35858.657217938264,7.723458149387042e-13,4.4204682577164067e-13,1.7230102000253397e-11,5.815653455859696e-12,1.5022338660942134e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29935412196168e-11,1.4537155212133856e-11,2.264970209661378e-11,2.5092210212540357e-9,9.082144346106524e-11,52504.09618097637,1.1743573522848268e-11,26983.94866217928,780.4742995279965,14745.238389503997,6841.544143336997,1.2203017695357592e-11,22902.334111940894,4.038975932477729e-11,2165.8337908875956,1.141093556287965e-11,1.6656007853116033e-11,6.046324493823845e-11,4.860741591238566e-12,5.6878770058753e-12,1.2546262273532187e-11,9.15632693155634e-13
1612,709.9640459999996,0.0,6.492654373145398e-13,7.254114570115358e-13,3.9603725604645736e-13,6.921886998357871e-13,3.8013961830165343e-13,4.1927322501938405e-13,3.2096707870213013e-11,17770.208000000384,2117.708379129597,80.76146593895999,0.0,4013.884703877003,0.0,5.890748897104858e-13,6.538803083251901e-13,2.5340131594234676e-13,3.803882481208602e-13,4.208968984490399e-13,3395.699999999881,2.47450948426304e-11,1972.9275939579968,561.283969830734,0.0,1890.9465500000015,0.0,6.828637078906903e-13,6.511992100694941e-13,7.246482904012199e-13,4.924474393390412e-13,3.9628035332720674e-13,4.0688926885089233e-13,33632.287999999455,2227.99999999986,75.36067571699,0.0,7.507967642901987e-10,7.941129726788809e-13,4.5153270778465343e-13,1.7479667868948447e-11,6.0854236907098665e-12,44931.282357134565,7.842596961335897e-13,4.4819073654605593e-13,1.7479558594462075e-11,6.368243952095854e-12,37382.00582403608,7.737781118096164e-13,4.4580030993313836e-13,1.7230043661239658e-11,5.767814105712559e-12,1.2152675056368046e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100827730505084e-11,1.4485634881348089e-11,2.2774523195142475e-11,2.5450749761298784e-9,8.228853910851834e-11,52642.16070357224,1.1674522139734777e-11,27428.94347693151,902.8966257199968,14726.422728263999,7220.570723873996,1.2322251166014997e-11,23125.04335078909,3.7953926389225714e-11,2132.4712308876915,1.1553284872921565e-11,1.7353007215399984e-11,5.934796551177555e-11,5.118887220260272e-12,5.839838221769888e-12,1.3251075200963594e-11,1.1432907406805083e-12
1613,477.05094000000145,0.0,6.478302802995581e-13,7.230346206947556e-13,3.9559937703458324e-13,6.902427145261681e-13,3.8031628238339583e-13,4.194756573374972e-13,3.1962216997155764e-11,17770.20799999994,2127.700761015597,80.76146593895999,0.0,4366.0644330700625,0.0,5.870557199641596e-13,6.504256918089405e-13,2.5326503205094277e-13,3.8054539197617307e-13,4.2106731377116986e-13,3395.6999999999675,2.4633542152614922e-11,2022.856728777497,561.283969830734,0.0,1503.0704881083138,0.0,6.814951444418315e-13,6.501301580739644e-13,7.231934255260855e-13,4.919740614926521e-13,3.964711923837751e-13,4.070635328304494e-13,33632.28800000032,2228.0000000000223,75.36067571699,0.0,7.831648087952325e-10,7.947353726301903e-13,4.515248893917387e-13,1.7479908559646982e-11,6.062349046997065e-12,54179.59726223681,7.850144420246697e-13,4.4819132027262836e-13,1.7479649544029217e-11,6.341642342804054e-12,43168.078252584455,7.748036104955922e-13,4.4581949918181773e-13,1.7229996143008955e-11,5.734249811015574e-12,1.1416677007081919e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9031830724328737e-11,1.4521471687515245e-11,2.3213711063676254e-11,2.715483982168094e-9,7.821645759430164e-11,55246.526584478655,1.1796840482427746e-11,28179.16904259326,935.6563333759965,14653.266332639996,7564.241448490996,1.2451403274737244e-11,23279.605673065656,3.813613936043202e-11,2096.564239261484,1.216551448898348e-11,1.8068415655070582e-11,5.863274499077814e-11,5.566630081236264e-12,5.993287601962739e-12,1.3610314133308045e-11,1.5093509074730986e-12
1614,306.7474389369653,0.0,6.476004872019604e-13,7.224033354689382e-13,3.9561374951669667e-13,6.898113499145571e-13,3.8098832562035115e-13,4.202666661871523e-13,3.208523264800571e-11,17770.208000000155,2167.910684051997,80.76146593895999,6.877560761597256,4729.4799999999805,0.0,5.863566217070182e-13,6.49000957599469e-13,2.532849989694277e-13,3.811821963555825e-13,4.218027895531371e-13,3395.699999999947,2.4704319861734342e-11,2078.014228839497,561.283969830734,109.11331460399724,1503.0704881083136,0.0,6.813807024978642e-13,6.500516555626019e-13,7.229947867867727e-13,4.920281080633901e-13,3.971968578020693e-13,4.077910936386645e-13,33632.28799999991,2227.9999999999873,75.36067571699,15.480499680797255,1.0787229678571255e-9,7.96491383135461e-13,4.4969956681090724e-13,25505.67194532895,6.071060418419572e-12,61141.7842098346,7.86790696882231e-13,4.462527078852765e-13,6073.021504170259,6.348686546663577e-12,55048.19354104509,7.765613717513565e-13,4.4365892546035684e-13,1.8571834884147518e-10,5.726945716003651e-12,1.504521459681454e-11,0.0,905.2748341387357,0.0,0.0,0.0,3.136755451146396e-14,1.4240042459126062e-14,0.0,7.077439349066048e-13,103.4716209626117,3.5172725335944965e-13,0.0,4.1720683979167863e-14,8.976855701842747e-14,0.0,2.1661866420648416e-12,2.4883972536999464e-12,1.4775831116140504e-12,2.103516257296609e-12,49.985378243656704,1.4602757290486588e-12,4.615507243662441e-13,1.925827244577304e-11,1.496149889953192e-11,2.3988253562300765e-11,2.8564672367941576e-9,7.194046454141227e-11,57412.166595119845,1.2265174049199016e-11,28350.777137676007,997.4692928879973,15839.332088183995,7697.335413300997,1.3007740952831005e-11,23345.151986851746,3.902238980135778e-11,2175.5597835744243,1.2961910026177737e-11,1.881084928863969e-11,5.954208052753624e-11,6.281555940378317e-12,6.34310516383168e-12,1.38705301617574e-11,1.8476347216790146e-12
