t,SE_Electrolyzer_H2Gen,MIDAT_Electrolyzer_H2Gen,NE_Electrolyzer_H2Gen,SE_Large_SMR_wCCS_96pct_H2Gen,MIDAT_Large_SMR_wCCS_96pct_H2Gen,NE_Large_SMR_wCCS_96pct_H2Gen,SE_ATR_wCCS_94pct_H2Gen,MIDAT_ATR_wCCS_94pct_H2Gen,NE_ATR_wCCS_94pct_H2Gen,SE_Above_ground_storage_H2Gen,MIDAT_Above_ground_storage_H2Gen,NE_Above_ground_storage_H2Gen
11,13770.187269775497,8407.870316059933,2105.0480556098146,3216.807070444368,2.2852455331465844e-12,8.617627023661939e-13,2.951913980870295e-13,2.6585292360045654e-13,2.216087323954555e-13,2.7970239810905076e-13,2.567935773184727e-13,2.710605500936482e-13
12,13770.187269775495,8407.870316059933,2105.0480556098146,3216.807070444368,2.284616763220715e-12,8.618068739992098e-13,2.941284521731305e-13,2.653153997876026e-13,2.2150077529392123e-13,2.8038636265343423e-13,2.5778415232702407e-13,2.819992783121471e-13
13,13770.187269775497,8407.870316059933,2105.0480556098146,3216.8070704444513,2.2850717012759982e-12,8.622156346949613e-13,2.9345979666312476e-13,2.650436807479137e-13,2.215286729942932e-13,2.8043930588715485e-13,2.5755013728822937e-13,2.724530886633331e-13
14,13770.187269775495,8407.870316059933,2105.048055609815,3216.8070704444176,2.285655600512067e-12,8.624362253176575e-13,2.9281638786058455e-13,2.64842369249678e-13,2.2165509857083323e-13,2.7993774597332863e-13,2.5801368974347173e-13,2.714022447423958e-13
15,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704444262,2.285640583761832e-12,8.62331008961435e-13,2.9203940344777355e-13,2.6460231233864856e-13,2.2185811237636027e-13,2.76334306318889e-13,2.5696304699291286e-13,2.7815688927534656e-13
16,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704444663,2.2855573919023408e-12,8.620563466172634e-13,2.9149008424700254e-13,2.645343778272774e-13,2.221288377621955e-13,2.789714482393872e-13,2.568717293035753e-13,2.748748549165114e-13
17,13770.187269775495,8407.870316059933,2105.048055609815,3216.807070444406,2.2855980944314387e-12,8.618300441575697e-13,2.911599460691637e-13,2.646199776904717e-13,2.2247492887092224e-13,2.7928580228560577e-13,2.5660658837544835e-13,2.7148437619879354e-13
18,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704445504,2.2865294715778246e-12,8.627547986666644e-13,2.9119095405572696e-13,2.650245077970149e-13,2.2309474303951511e-13,2.7928893910860483e-13,2.55789571938473e-13,2.733920027463085e-13
19,13770.187269775497,8407.870316059933,2105.0480556098146,3216.8070704442207,2.2889992624735197e-12,8.654017997477786e-13,2.916951226158817e-13,2.658575265659272e-13,2.2406799752957038e-13,2.7897173272678433e-13,2.539326497844939e-13,2.874771582939578e-13
20,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704444453,2.2949436670043987e-12,8.706414149987381e-13,2.925408991097148e-13,2.6727505927608303e-13,2.2551852337833285e-13,2.7813585734716445e-13,3.1424045047155635e-13,3.161322843614076e-13
21,13770.187269775497,8407.870316059933,2105.048055609815,3216.807070444417,2.297939793986435e-12,8.739857301383373e-13,2.9365895539937564e-13,2.683862243921609e-13,2.2670516265719487e-13,2.894922560975772e-13,3.211776350008503e-13,3.2281690233728466e-13
22,13770.187269775497,8407.870316059933,2105.048055609815,3216.807070444379,2.299781861665217e-12,8.761946324103762e-13,2.951066056305243e-13,2.693379703923016e-13,2.276952673909631e-13,2.781597489344328e-13,3.1811910191699647e-13,3.2048992266077704e-13
23,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704444253,2.3006268576419007e-12,8.773413825579768e-13,2.9718293475773065e-13,2.7005042122759727e-13,2.284368944448218e-13,3.50168075662741e-13,3.146970042561885e-13,3.1934857982248335e-13
24,13770.187269775497,8407.870316059933,2105.048055609815,3216.807070444648,2.300734264589797e-12,8.776664250520486e-13,2.984058879867691e-13,2.7049565032590343e-13,2.289077962889133e-13,3.45052051004402e-13,3.140709397256232e-13,3.18747628117058e-13
25,13770.187269775497,8407.870316059933,2105.048055609815,3216.807070444291,2.300747659760249e-12,8.778060132131331e-13,2.9929821685617456e-13,2.7076161037171954e-13,2.291642595961268e-13,3.417654058819161e-13,3.1376688010925867e-13,3.1862774695757467e-13
