Voll,Demand_Segment,Cost_of_Demand_Curtailment_p_MWh,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1
,,,,,,,202,827.7676
,,,,,,,203,853.7584
,,,,,,,204,890.7756
,,,,,,,205,947.8766
,,,,,,,206,990.407
,,,,,,,207,1036.4816
,,,,,,,208,1062.4724
,,,,,,,209,1010.8846000000001
,,,,,,,210,915.1912
,,,,,,,211,759.6402
,,,,,,,212,587.9434
,,,,,,,213,448.932
,,,,,,,214,347.72540000000004
,,,,,,,215,244.15600000000003
,,,,,,,216,155.55100000000002
,,,,,,,217,66.5522
,,,,,,,218,48.8312
,,,,,,,219,68.52120000000001
,,,,,,,220,159.489
,,,,,,,221,342.99980000000005
,,,,,,,222,551.32
,,,,,,,223,682.0616000000001
,,,,,,,224,781.6930000000001
,,,,,,,225,823.4358000000001
,,,,,,,226,787.9938000000001
,,,,,,,227,783.662
,,,,,,,228,812.4094
,,,,,,,229,863.6034000000001
,,,,,,,230,896.6826000000001
,,,,,,,231,969.5356000000002
,,,,,,,232,1029.3932
,,,,,,,233,1000.6458000000001
,,,,,,,234,940.7882000000001
,,,,,,,235,774.9984000000001
,,,,,,,236,569.041
,,,,,,,237,411.91480000000007
,,,,,,,238,309.92060000000004
,,,,,,,239,183.90460000000002
,,,,,,,240,103.96320000000001
,,,,,,,241,69.3088
,,,,,,,242,50.800200000000004
,,,,,,,243,71.67160000000001
,,,,,,,244,166.57740000000004
,,,,,,,245,358.358
,,,,,,,246,575.7356
,,,,,,,247,711.9904
,,,,,,,248,815.9536
,,,,,,,249,860.0592
,,,,,,,250,823.042
,,,,,,,251,818.3164
,,,,,,,252,848.2452000000001
,,,,,,,253,901.4082000000001
,,,,,,,254,936.0626000000001
,,,,,,,255,1012.4598000000001
,,,,,,,256,1075.074
,,,,,,,257,1044.7514
,,,,,,,258,982.5310000000001
,,,,,,,259,808.8652000000001
,,,,,,,260,594.2442
,,,,,,,261,430.0296
,,,,,,,262,323.70360000000005
,,,,,,,263,191.78060000000002
,,,,,,,264,108.6888
,,,,,,,265,73.24680000000001
,,,,,,,266,53.55680000000001
,,,,,,,267,75.6096
,,,,,,,268,175.6348
,,,,,,,269,378.4418
,,,,,,,270,608.0272
,,,,,,,271,752.1580000000001
,,,,,,,272,862.0282000000001
,,,,,,,273,908.4966000000001
,,,,,,,274,869.1166000000001
,,,,,,,275,864.3910000000001
,,,,,,,276,896.2888000000002
,,,,,,,277,952.2084000000001
,,,,,,,278,988.8318
,,,,,,,279,1069.5608
,,,,,,,280,1135.3254
,,,,,,,281,1103.8214
,,,,,,,282,1037.663
,,,,,,,283,854.546
,,,,,,,284,627.7172
,,,,,,,285,454.0514
,,,,,,,286,341.8184
,,,,,,,287,202.80700000000002
,,,,,,,288,114.59580000000001
,,,,,,,289,112.6268
,,,,,,,290,79.5476
,,,,,,,291,77.18480000000001
,,,,,,,292,107.90120000000002
,,,,,,,293,200.4442
,,,,,,,294,329.2168
,,,,,,,295,499.73220000000003
,,,,,,,296,678.9112
,,,,,,,297,860.4530000000001
,,,,,,,298,952.996
,,,,,,,299,983.7124000000001
,,,,,,,300,1028.9994
,,,,,,,301,1093.1888000000001
,,,,,,,302,1141.2324
,,,,,,,303,1197.152
,,,,,,,304,1228.2622000000001
,,,,,,,305,1167.2232000000001
,,,,,,,306,1055.7778
,,,,,,,307,877.3864000000001
,,,,,,,308,682.0616000000001
,,,,,,,309,520.6036
,,,,,,,310,406.40160000000003
,,,,,,,311,283.536
,,,,,,,312,183.51080000000002
,,,,,,,313,113.4144
,,,,,,,314,146.09980000000002
,,,,,,,315,53.55680000000001
,,,,,,,316,83.4856
,,,,,,,317,155.94480000000001
,,,,,,,318,255.97000000000003
,,,,,,,319,391.0434
,,,,,,,320,553.6828
,,,,,,,321,723.4106
,,,,,,,322,930.9432
,,,,,,,323,1063.6538
,,,,,,,324,1090.826
,,,,,,,325,1086.1004
,,,,,,,326,1053.415
,,,,,,,327,1030.9684
,,,,,,,328,986.0752
,,,,,,,329,938.4254
,,,,,,,330,841.1568
,,,,,,,331,723.4106
,,,,,,,332,578.4922
,,,,,,,333,461.13980000000004
,,,,,,,334,358.358
,,,,,,,335,258.3328
,,,,,,,336,176.0286
,,,,,,,337,63.79560000000001
,,,,,,,338,48.043600000000005
,,,,,,,339,68.915
,,,,,,,340,157.52
,,,,,,,341,324.49120000000005
,,,,,,,342,528.0858000000001
,,,,,,,343,661.1902
,,,,,,,344,757.6712
,,,,,,,345,797.0512
,,,,,,,346,843.9134
,,,,,,,347,1000.6458000000001
,,,,,,,348,1065.6228
,,,,,,,349,1097.1268
,,,,,,,350,1076.2554
,,,,,,,351,1065.6228
,,,,,,,352,1021.5172000000001
,,,,,,,353,969.1418
,,,,,,,354,856.9088000000002
,,,,,,,355,713.5656000000001
,,,,,,,356,543.8378
,,,,,,,357,413.49
,,,,,,,358,288.26160000000004
,,,,,,,359,178.39140000000003
,,,,,,,360,105.53840000000001
,,,,,,,361,98.05620000000002
,,,,,,,362,70.884
,,,,,,,363,65.3708
,,,,,,,364,96.87480000000001
,,,,,,,365,174.4534
,,,,,,,366,286.2926
,,,,,,,367,432.39240000000007
,,,,,,,368,590.7
,,,,,,,369,746.251
,,,,,,,370,827.7676
,,,,,,,371,853.7584
,,,,,,,372,890.7756
,,,,,,,373,947.8766
,,,,,,,374,990.407
,,,,,,,375,1036.4816
,,,,,,,376,1062.4724
,,,,,,,377,1010.8846000000001
,,,,,,,378,915.1912
,,,,,,,379,759.6402
,,,,,,,380,587.9434
,,,,,,,381,448.932
,,,,,,,382,347.72540000000004
,,,,,,,383,244.15600000000003
,,,,,,,384,155.55100000000002
,,,,,,,385,66.5522
,,,,,,,386,48.8312
,,,,,,,387,68.52120000000001
,,,,,,,388,159.489
,,,,,,,389,342.99980000000005
,,,,,,,390,551.32
,,,,,,,391,682.0616000000001
,,,,,,,392,781.6930000000001
,,,,,,,393,823.4358000000001
,,,,,,,394,787.9938000000001
,,,,,,,395,783.662
,,,,,,,396,812.4094
,,,,,,,397,863.6034000000001
,,,,,,,398,896.6826000000001
,,,,,,,399,969.5356000000002
,,,,,,,400,1029.3932
,,,,,,,401,1000.6458000000001
,,,,,,,402,940.7882000000001
,,,,,,,403,774.9984000000001
,,,,,,,404,569.041
,,,,,,,405,411.91480000000007
,,,,,,,406,309.92060000000004
,,,,,,,407,183.90460000000002
,,,,,,,408,103.96320000000001
,,,,,,,409,69.3088
,,,,,,,410,50.800200000000004
,,,,,,,411,71.67160000000001
,,,,,,,412,166.57740000000004
,,,,,,,413,358.358
,,,,,,,414,575.7356
,,,,,,,415,711.9904
,,,,,,,416,815.9536
,,,,,,,417,860.0592
,,,,,,,418,823.042
,,,,,,,419,818.3164
,,,,,,,420,848.2452000000001
,,,,,,,421,901.4082000000001
,,,,,,,422,936.0626000000001
,,,,,,,423,1012.4598000000001
,,,,,,,424,1075.074
,,,,,,,425,1044.7514
,,,,,,,426,982.5310000000001
,,,,,,,427,808.8652000000001
,,,,,,,428,594.2442
,,,,,,,429,430.0296
,,,,,,,430,323.70360000000005
,,,,,,,431,191.78060000000002
,,,,,,,432,108.6888
,,,,,,,433,73.24680000000001
,,,,,,,434,53.55680000000001
,,,,,,,435,75.6096
,,,,,,,436,175.6348
,,,,,,,437,378.4418
,,,,,,,438,608.0272
,,,,,,,439,752.1580000000001
,,,,,,,440,862.0282000000001
,,,,,,,441,908.4966000000001
,,,,,,,442,869.1166000000001
,,,,,,,443,864.3910000000001
,,,,,,,444,896.2888000000002
,,,,,,,445,952.2084000000001
,,,,,,,446,988.8318
,,,,,,,447,1069.5608
,,,,,,,448,1135.3254
,,,,,,,449,1103.8214
,,,,,,,450,1037.663
,,,,,,,451,854.546
,,,,,,,452,627.7172
,,,,,,,453,454.0514
,,,,,,,454,341.8184
,,,,,,,455,202.80700000000002
,,,,,,,456,114.59580000000001
,,,,,,,457,112.6268
,,,,,,,458,79.5476
,,,,,,,459,77.18480000000001
,,,,,,,460,107.90120000000002
,,,,,,,461,200.4442
,,,,,,,462,329.2168
,,,,,,,463,499.73220000000003
,,,,,,,464,678.9112
,,,,,,,465,860.4530000000001
,,,,,,,466,952.996
,,,,,,,467,983.7124000000001
,,,,,,,468,1028.9994
,,,,,,,469,1093.1888000000001
,,,,,,,470,1141.2324
,,,,,,,471,1197.152
,,,,,,,472,1228.2622000000001
,,,,,,,473,1167.2232000000001
,,,,,,,474,1055.7778
,,,,,,,475,877.3864000000001
,,,,,,,476,682.0616000000001
,,,,,,,477,520.6036
,,,,,,,478,406.40160000000003
,,,,,,,479,283.536
,,,,,,,480,183.51080000000002
,,,,,,,481,113.4144
,,,,,,,482,146.09980000000002
,,,,,,,483,53.55680000000001
,,,,,,,484,83.4856
,,,,,,,485,155.94480000000001
,,,,,,,486,255.97000000000003
