H2TruckType,LDS,New_Build,Existing_Number,Inv_Cost_p_unit_p_yr,Existing_Energy_Cap_MW_z1,Existing_Energy_Cap_MW_z2,Existing_Energy_Cap_MW_z3,Existing_Energy_Cap_MW_z4,Existing_Energy_Cap_MW_z5,Existing_Energy_Cap_MW_z6,Existing_Energy_Cap_MW_z7,TruckCap_MW_per_unit,Inv_Cost_Energy_p_MWh_yr,Fixed_OM_Cost_Energy_p_MWh_yr,H2TruckCompressionEnergy,H2TruckCompressionUnitOpex,Max_Energy_Cap_MWh,Min_Energy_Cap_MWh,Full_weight_MW_per_unit,Empty_weight_MW_per_unit,AvgTruckSpeed_mile_per_hour,H2TruckUnitOpex_per_mile_full,H2TruckUnitOpex_per_mile_empty,H2TLoss_per_mile,H2TLoss_per_mile_1,lifetime,Fuel,Fuel_MMBTU_per_mile,Power_MW_per_mile,H2_MW_per_mile
Gas,0,1,0,840000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.384600000000002,38090.40121889284,0.0,1,0,-39.38,-39.38,420.18460000000005,393.8,35,1.38,1.38,0.0,0.0015,12,CT_NG,0,0,0.0
Liquid,0,1,0,1200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.334,812595.2260030472,0.0,11,0,-39.38,-39.38,563.134,393.8,35,1.38,1.38,0.03,0.0015,12,CT_NG,0,0,0.0
LOHC,0,1,0,480000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.884,1.015744032503809e6,0.0,10000,0,-39.38,-39.38,464.6840000000001,393.8,35,1.38,1.38,0.1,0.0015,12,CT_NG,0,0,0.0
