Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_z1
50000000,1,1.5,0,1,168,1,1,22324
,,,,,,,2,21112
,,,,,,,3,20210
,,,,,,,4,19756
,,,,,,,5,19686
,,,,,,,6,20034
,,,,,,,7,20780
,,,,,,,8,21454
,,,,,,,9,22596
,,,,,,,10,23718
,,,,,,,11,24392
,,,,,,,12,24642
,,,,,,,13,24762
,,,,,,,14,24540
,,,,,,,15,24298
,,,,,,,16,24438
,,,,,,,17,26820
,,,,,,,18,29078
,,,,,,,19,28908
,,,,,,,20,28024
,,,,,,,21,26988
,,,,,,,22,25544
,,,,,,,23,23754
,,,,,,,24,21748
,,,,,,,25,20050
,,,,,,,26,19022
,,,,,,,27,18528
,,,,,,,28,18416
,,,,,,,29,18820
,,,,,,,30,19848
,,,,,,,31,21392
,,,,,,,32,22658
,,,,,,,33,24210
,,,,,,,34,25798
,,,,,,,35,26964
,,,,,,,36,27442
,,,,,,,37,27398
,,,,,,,38,27222
,,,,,,,39,27136
,,,,,,,40,27548
,,,,,,,41,30132
,,,,,,,42,32748
,,,,,,,43,32460
,,,,,,,44,31676
,,,,,,,45,30394
,,,,,,,46,28378
,,,,,,,47,25880
,,,,,,,48,23616
,,,,,,,49,22114
,,,,,,,50,21364
,,,,,,,51,21004
,,,,,,,52,21048
,,,,,,,53,21802
,,,,,,,54,24042
,,,,,,,55,28006
,,,,,,,56,30226
,,,,,,,57,30602
,,,,,,,58,30812
,,,,,,,59,31088
,,,,,,,60,31140
,,,,,,,61,31014
,,,,,,,62,30970
,,,,,,,63,30852
,,,,,,,64,31278
,,,,,,,65,33720
,,,,,,,66,36390
,,,,,,,67,36460
,,,,,,,68,35848
,,,,,,,69,34682
,,,,,,,70,32636
,,,,,,,71,29904
,,,,,,,72,27512
,,,,,,,73,26024
,,,,,,,74,25242
,,,,,,,75,24844
,,,,,,,76,24888
,,,,,,,77,25568
,,,,,,,78,27680
,,,,,,,79,31522
,,,,,,,80,33614
,,,,,,,81,33656
,,,,,,,82,33566
,,,,,,,83,33490
,,,,,,,84,33162
,,,,,,,85,32688
,,,,,,,86,32408
,,,,,,,87,32152
,,,,,,,88,32484
,,,,,,,89,34756
,,,,,,,90,36604
,,,,,,,91,36320
,,,,,,,92,35474
,,,,,,,93,34116
,,,,,,,94,31872
,,,,,,,95,29012
,,,,,,,96,26364
,,,,,,,97,24672
,,,,,,,98,23770
,,,,,,,99,23312
,,,,,,,100,23230
,,,,,,,101,23826
,,,,,,,102,25780
,,,,,,,103,29494
,,,,,,,104,31670
,,,,,,,105,31902
,,,,,,,106,32042
,,,,,,,107,31898
,,,,,,,108,31452
,,,,,,,109,31062
,,,,,,,110,30910
,,,,,,,111,30666
,,,,,,,112,30864
,,,,,,,113,32824
,,,,,,,114,34970
,,,,,,,115,34844
,,,,,,,116,34052
,,,,,,,117,32780
,,,,,,,118,30680
,,,,,,,119,27854
,,,,,,,120,25416
,,,,,,,121,23818
,,,,,,,122,22952
,,,,,,,123,22508
,,,,,,,124,22398
,,,,,,,125,22944
,,,,,,,126,24884
,,,,,,,127,28530
,,,,,,,128,30716
,,,,,,,129,30968
,,,,,,,130,31000
,,,,,,,131,30864
,,,,,,,132,30406
,,,,,,,133,29904
,,,,,,,134,29640
,,,,,,,135,29228
,,,,,,,136,29370
,,,,,,,137,31082
,,,,,,,138,32724
,,,,,,,139,32200
,,,,,,,140,31270
,,,,,,,141,30034
,,,,,,,142,28424
,,,,,,,143,26232
,,,,,,,144,23980
,,,,,,,145,22238
,,,,,,,146,21272
,,,,,,,147,20746
,,,,,,,148,20536
,,,,,,,149,20740
