Time_Index,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,float_offshore_wind_2,comm_solar_pv_2,res_solar_pv_2,floating_offshore_wind_2
1,0,0.830201536,1,1,1,1,0.552743642,1,0.81,0,0,1
2,0,0.830979746,1,1,1,1,0.552743642,1,0.81,0,0,1
3,0,0.787902263,1,1,1,1,0.552743642,1,0.81,0,0,1
4,0,0.689929769,1,1,1,1,0.552743642,1,0.81,0,0,1
5,0,0.84043807,1,1,1,1,0.552743642,1,0.81,0,0,1
6,0,0.782793788,1,1,1,1,0.552743642,1,0.81,0,0,1
7,0,0.752788843,1,1,1,1,0.552743642,1,0.81,0,0,1
8,0.08580908,0.671288735,1,1,1,1,0.552743642,1,0.81,0.050259604,0.045662689,1
9,0.386554167,0.721176095,1,1,1,1,0.552743642,1,0.81,0.226410296,0.205702041,1
10,0.650169031,0.801911173,1,1,1,1,0.552743642,1,0.81,0.380813287,0.345982809,1
11,0.898133054,0.752370042,1,1,1,1,0.552743642,1,0.806872212,0.526049357,0.477935094,1
12,0.940788915,0.721115201,1,0.994093894,1,1,0.552743642,1,0.770060444,0.551033504,0.500634106,0.994093894
13,0.94578748,0.606448528,1,0.979677959,1,1,0.552743642,1,0.715480144,0.553961235,0.503294056,0.979677959
14,0.947699044,0.591082848,1,0.919117698,1,1,0.552743642,1,0.617753239,0.555080865,0.504311282,0.919117698
15,0.732072629,0.599297007,1,0.809295298,1,1,0.552743642,1,0.555006716,0.428785394,0.389567224,0.809295298
16,0.375086655,0.477844525,1,0.659600978,1,1,0.552743642,1,0.418783608,0.219693611,0.199599686,0.659600978
17,0,0.415842502,1,0.612555526,1,1,0.552743642,1,0.419414866,0,0,0.612555526
18,0,0.404982625,1,0.521865141,1,1,0.552743642,1,0.314523212,0,0,0.521865141
19,0,0.483575758,1,0.501960085,1,1,0.552743642,1,0.411374904,0,0,0.501960085
20,0,0.442147163,1,0.518957369,1,1,0.552743642,1,0.448926611,0,0,0.518957369
21,0,0.41677754,1,0.568090259,1,1,0.552743642,1,0.473579605,0,0,0.568090259
22,0,0.493259663,1,0.558883863,1,1,0.552743642,1,0.435611898,0,0,0.558883863
23,0,0.445542794,1,0.489468078,1,1,0.552743642,1,0.480484031,0,0,0.489468078
24,0,0.35168041,1,0.430266173,1,1,0.552743642,1,0.490512797,0,0,0.430266173
25,0,0.494308527,1,0.37342392,1,1,0.552743642,1,0.468256225,0,0,0.37342392
26,0,0.379219488,1,0.328725305,1,1,0.552743642,1,0.373172349,0,0,0.328725305
27,0,0.358452905,1,0.278528778,1,1,0.552743642,1,0.332288854,0,0,0.278528778
28,0,0.349131321,1,0.287277291,1,1,0.552743642,1,0.332520909,0,0,0.287277291
29,0,0.309816543,1,0.33706773,1,1,0.552743642,1,0.276244548,0,0,0.33706773
30,0,0.301021831,1,0.358975253,1,1,0.552743642,1,0.218590258,0,0,0.358975253
31,0,0.36869527,1,0.349254542,1,1,0.552743642,1,0.199551099,0,0,0.349254542
32,0.068225937,0.413354995,1,0.331872074,1,1,0.552743642,1,0.21526777,0.039960906,0.036305945,0.331872074
33,0.358255556,0.391454509,1,0.375957552,1,1,0.552743642,1,0.192624011,0.209835396,0.190643137,0.375957552
34,0.644079239,0.272224199,1,0.399253422,1,1,0.552743642,1,0.174724692,0.377246409,0.34274217,0.399253422
35,0.893926387,0.256916148,1,0.419185496,1,1,0.552743642,1,0.216389053,0.523585452,0.475696546,0.419185496
36,0.95413606,0.25305956,1,0.441905811,1,1,0.552743642,1,0.229128412,0.558851117,0.507736693,0.441905811
37,0.961318212,0.277211079,1,0.424050109,1,1,0.552743642,1,0.225726749,0.563057807,0.511558625,0.424050109
38,0.960314732,0.270883901,1,0.396681041,1,1,0.552743642,1,0.303968424,0.562470054,0.51102463,0.396681041
39,0.720269667,0.298241343,1,0.420081036,1,1,0.552743642,1,0.232599824,0.421872231,0.383286362,0.420081036
40,0.39462785,0.345975509,1,0.420657148,1,1,0.552743642,1,0.191132048,0.231139168,0.209998394,0.420657148
41,0,0.359103017,1,0.397307174,1,1,0.552743642,1,0.275688797,0,0,0.397307174
42,0,0.352270663,1,0.402021628,1,1,0.552743642,1,0.261417094,0,0,0.402021628
43,0,0.439687027,1,0.48769064,1,1,0.552743642,1,0.298816178,0,0,0.48769064
