Time_Index,NG,nuclear,NGCCS,None
0,0.05306,0,0.005306,0
1,8.661,0.66,9.61608,0
2,8.661,0.66,9.61608,0
3,8.661,0.66,9.61608,0
4,8.661,0.66,9.61608,0
5,8.661,0.66,9.61608,0
6,8.661,0.66,9.61608,0
7,8.661,0.66,9.61608,0
8,8.661,0.66,9.61608,0
9,8.661,0.66,9.61608,0
10,8.661,0.66,9.61608,0
11,8.661,0.66,9.61608,0
12,8.661,0.66,9.61608,0
13,8.661,0.66,9.61608,0
14,8.661,0.66,9.61608,0
15,8.661,0.66,9.61608,0
16,8.661,0.66,9.61608,0
17,8.661,0.66,9.61608,0
18,8.661,0.66,9.61608,0
19,8.661,0.66,9.61608,0
20,8.661,0.66,9.61608,0
21,8.661,0.66,9.61608,0
22,8.661,0.66,9.61608,0
23,8.661,0.66,9.61608,0
24,8.661,0.66,9.61608,0
25,8.661,0.66,9.61608,0
26,8.661,0.66,9.61608,0
27,8.661,0.66,9.61608,0
28,8.661,0.66,9.61608,0
29,8.661,0.66,9.61608,0
30,8.661,0.66,9.61608,0
31,8.661,0.66,9.61608,0
32,8.661,0.66,9.61608,0
33,8.661,0.66,9.61608,0
34,8.661,0.66,9.61608,0
35,8.661,0.66,9.61608,0
36,8.661,0.66,9.61608,0
37,8.661,0.66,9.61608,0
38,8.661,0.66,9.61608,0
39,8.661,0.66,9.61608,0
40,8.661,0.66,9.61608,0
41,8.661,0.66,9.61608,0
42,8.661,0.66,9.61608,0
43,8.661,0.66,9.61608,0
44,8.661,0.66,9.61608,0
45,8.661,0.66,9.61608,0
46,8.661,0.66,9.61608,0
47,8.661,0.66,9.61608,0
48,8.661,0.66,9.61608,0
49,8.661,0.66,9.61608,0
50,8.661,0.66,9.61608,0
51,8.661,0.66,9.61608,0
52,8.661,0.66,9.61608,0
53,8.661,0.66,9.61608,0
54,8.661,0.66,9.61608,0
55,8.661,0.66,9.61608,0
56,8.661,0.66,9.61608,0
57,8.661,0.66,9.61608,0
58,8.661,0.66,9.61608,0
59,8.661,0.66,9.61608,0
60,8.661,0.66,9.61608,0
61,8.661,0.66,9.61608,0
62,8.661,0.66,9.61608,0
63,8.661,0.66,9.61608,0
64,8.661,0.66,9.61608,0
65,8.661,0.66,9.61608,0
66,8.661,0.66,9.61608,0
67,8.661,0.66,9.61608,0
68,8.661,0.66,9.61608,0
69,8.661,0.66,9.61608,0
70,8.661,0.66,9.61608,0
71,8.661,0.66,9.61608,0
72,8.661,0.66,9.61608,0
73,8.661,0.66,9.61608,0
74,8.661,0.66,9.61608,0
75,8.661,0.66,9.61608,0
76,8.661,0.66,9.61608,0
77,8.661,0.66,9.61608,0
78,8.661,0.66,9.61608,0
79,8.661,0.66,9.61608,0
80,8.661,0.66,9.61608,0
81,8.661,0.66,9.61608,0
82,8.661,0.66,9.61608,0
83,8.661,0.66,9.61608,0
84,8.661,0.66,9.61608,0
85,8.661,0.66,9.61608,0
