Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,1,168,1,1,25890
,,,,,,,2,24185
,,,,,,,3,23633
,,,,,,,4,23369
,,,,,,,5,23553
,,,,,,,6,24603
,,,,,,,7,26117
,,,,,,,8,27761
,,,,,,,9,29231
,,,,,,,10,31013
,,,,,,,11,31975
,,,,,,,12,33621
,,,,,,,13,34956
,,,,,,,14,33475
,,,,,,,15,32202
,,,,,,,16,31343
,,,,,,,17,32263
,,,,,,,18,33170
,,,,,,,19,37143
,,,,,,,20,37060
,,,,,,,21,36486
,,,,,,,22,35218
,,,,,,,23,33393
,,,,,,,24,30395
,,,,,,,25,26840
,,,,,,,26,26026
,,,,,,,27,25503
,,,,,,,28,26092
,,,,,,,29,26588
,,,,,,,30,28089
,,,,,,,31,30564
,,,,,,,32,33954
,,,,,,,33,35990
,,,,,,,34,37469
,,,,,,,35,38003
,,,,,,,36,39414
,,,,,,,37,39733
,,,,,,,38,37347
,,,,,,,39,36040
,,,,,,,40,36418
,,,,,,,41,38830
,,,,,,,42,42437
,,,,,,,43,42151
,,,,,,,44,37990
,,,,,,,45,37285
,,,,,,,46,35809
,,,,,,,47,33760
,,,,,,,48,31352
,,,,,,,49,30019
,,,,,,,50,29356
,,,,,,,51,28981
,,,,,,,52,29146
,,,,,,,53,29667
,,,,,,,54,31368
,,,,,,,55,35953
,,,,,,,56,42000
,,,,,,,57,44004
,,,,,,,58,44563
,,,,,,,59,43868
,,,,,,,60,44533
,,,,,,,61,44099
,,,,,,,62,40478
,,,,,,,63,39134
,,,,,,,64,39395
,,,,,,,65,42070
,,,,,,,66,45933
,,,,,,,67,46841
,,,,,,,68,43909
,,,,,,,69,43459
,,,,,,,70,36583
,,,,,,,71,33607
,,,,,,,72,31215
,,,,,,,73,29673
,,,,,,,74,28628
,,,,,,,75,28401
,,,,,,,76,28511
,,,,,,,77,29304
,,,,,,,78,31288
,,,,,,,79,36645
,,,,,,,80,43827
,,,,,,,81,45426
,,,,,,,82,45200
,,,,,,,83,43677
,,,,,,,84,44085
,,,,,,,85,44103
,,,,,,,86,41650
,,,,,,,87,40717
,,,,,,,88,41339
,,,,,,,89,44385
,,,,,,,90,48211
,,,,,,,91,48490
,,,,,,,92,44992
,,,,,,,93,43985
,,,,,,,94,36543
,,,,,,,95,33171
,,,,,,,96,30730
,,,,,,,97,28249
,,,,,,,98,27961
,,,,,,,99,27559
,,,,,,,100,27695
,,,,,,,101,28177
,,,,,,,102,30074
,,,,,,,103,35292
,,,,,,,104,42485
,,,,,,,105,45156
,,,,,,,106,45236
,,,,,,,107,44778
,,,,,,,108,45400
,,,,,,,109,44652
,,,,,,,110,40936
,,,,,,,111,39612
,,,,,,,112,39906
,,,,,,,113,42106
,,,,,,,114,45754
,,,,,,,115,46274
,,,,,,,116,42483
,,,,,,,117,41300
,,,,,,,118,34748
,,,,,,,119,31377
,,,,,,,120,28763
,,,,,,,121,26156
,,,,,,,122,24413
,,,,,,,123,23634
,,,,,,,124,23350
,,,,,,,125,23501
,,,,,,,126,24907
,,,,,,,127,28915
,,,,,,,128,35198
,,,,,,,129,37710
,,,,,,,130,38604
,,,,,,,131,38050
,,,,,,,132,38885
,,,,,,,133,39318
,,,,,,,134,37758
,,,,,,,135,37589
,,,,,,,136,38533
,,,,,,,137,41311
,,,,,,,138,44506
,,,,,,,139,43684
,,,,,,,140,39589
,,,,,,,141,37801
,,,,,,,142,32498
,,,,,,,143,29564
,,,,,,,144,27104
,,,,,,,145,25449
,,,,,,,146,23706
,,,,,,,147,23139
,,,,,,,148,23134
,,,,,,,149,23530
,,,,,,,150,24922
,,,,,,,151,26536
,,,,,,,152,28813
,,,,,,,153,30880
,,,,,,,154,33174
,,,,,,,155,34534
,,,,,,,156,35976
,,,,,,,157,37166
,,,,,,,158,35105
,,,,,,,159,33883
,,,,,,,160,32399
,,,,,,,161,33098
,,,,,,,162,33342
,,,,,,,163,36636
,,,,,,,164,36061
,,,,,,,165,35054
,,,,,,,166,33835
,,,,,,,167,31598
,,,,,,,168,28317
,,,,,,,169,24907
,,,,,,,170,23169
,,,,,,,171,22602
,,,,,,,172,22624
,,,,,,,173,23019
,,,,,,,174,24143
,,,,,,,175,25814
,,,,,,,176,27947
,,,,,,,177,28691
,,,,,,,178,30429
,,,,,,,179,31569
,,,,,,,180,33070
,,,,,,,181,33942
,,,,,,,182,32624
,,,,,,,183,31700
,,,,,,,184,30403
