Period_Index,Rep_Period,Rep_Period_Index
1,158,5
2,6,1
3,363,11
4,363,11
5,363,11
6,363,11
7,158,5
8,158,5
9,158,5
10,158,5
11,158,5
12,6,1
13,6,1
14,6,1
15,6,1
16,6,1
17,6,1
18,6,1
19,6,1
20,6,1
21,230,6
22,230,6
23,6,1
24,230,6
25,230,6
26,230,6
27,230,6
28,230,6
29,230,6
30,30,2
31,232,7
32,232,7
33,232,7
34,232,7
35,6,1
36,232,7
37,288,8
38,288,8
39,288,8
40,288,8
41,288,8
42,288,8
43,288,8
44,350,10
45,288,8
46,230,6
47,288,8
48,350,10
49,350,10
50,350,10
51,350,10
52,147,4
53,147,4
54,147,4
55,147,4
56,147,4
57,230,6
58,363,11
59,147,4
60,147,4
61,363,11
62,363,11
63,363,11
64,363,11
65,158,5
66,158,5
67,158,5
68,230,6
69,158,5
70,158,5
71,158,5
72,6,1
73,6,1
74,158,5
75,6,1
76,6,1
77,6,1
78,6,1
79,230,6
80,230,6
81,230,6
82,230,6
83,230,6
84,230,6
85,230,6
86,230,6
87,232,7
88,232,7
89,232,7
90,230,6
91,232,7
92,232,7
93,232,7
94,288,8
95,288,8
96,288,8
97,288,8
98,288,8
99,288,8
100,288,8
101,101,3
102,230,6
103,288,8
104,350,10
105,288,8
106,350,10
107,350,10
108,350,10
109,147,4
110,147,4
111,147,4
112,147,4
113,158,5
114,230,6
115,363,11
116,147,4
117,363,11
118,363,11
119,363,11
120,363,11
121,363,11
122,363,11
123,363,11
124,158,5
125,232,7
126,158,5
127,158,5
128,158,5
129,158,5
130,158,5
131,6,1
132,6,1
133,6,1
134,6,1
135,6,1
136,232,7
137,6,1
138,6,1
139,230,6
140,230,6
141,230,6
142,230,6
143,230,6
144,230,6
145,230,6
146,232,7
147,232,7
148,230,6
149,232,7
150,232,7
151,232,7
152,232,7
153,288,8
154,288,8
155,288,8
156,288,8
157,288,8
158,232,7
159,288,8
160,288,8
161,288,8
162,350,10
163,288,8
164,350,10
165,350,10
166,350,10
167,147,4
168,350,10
169,232,7
170,147,4
171,147,4
172,147,4
173,147,4
174,147,4
175,363,11
176,363,11
177,363,11
178,363,11
179,147,4
180,232,7
181,363,11
182,363,11
183,158,5
184,158,5
185,158,5
186,158,5
187,158,5
188,6,1
189,6,1
190,6,1
191,288,8
192,6,1
193,6,1
194,6,1
195,6,1
196,230,6
197,230,6
198,230,6
199,230,6
200,230,6
201,232,7
202,288,8
203,230,6
204,232,7
205,232,7
206,230,6
207,232,7
208,232,7
209,232,7
210,232,7
211,288,8
212,288,8
213,288,8
214,288,8
215,288,8
216,288,8
217,288,8
218,288,8
219,350,10
220,350,10
221,288,8
222,350,10
223,158,5
224,350,10
225,147,4
226,147,4
227,147,4
228,147,4
229,363,11
230,363,11
231,363,11
232,147,4
233,363,11
234,288,8
235,363,11
236,363,11
237,363,11
238,363,11
239,158,5
240,158,5
241,158,5
242,158,5
243,158,5
244,6,1
245,288,8
246,6,1
247,6,1
248,158,5
249,6,1
250,6,1
251,6,1
252,6,1
253,230,6
254,230,6
255,230,6
256,288,8
257,230,6
258,230,6
259,230,6
260,230,6
261,230,6
262,230,6
263,232,7
264,232,7
265,232,7
266,232,7
267,288,8
268,288,8
269,288,8
270,288,8
271,288,8
272,288,8
273,288,8
274,288,8
275,288,8
276,288,8
277,288,8
278,288,8
279,350,10
280,350,10
281,350,10
282,350,10
283,147,4
284,147,4
285,147,4
286,147,4
287,363,11
288,363,11
289,288,8
290,363,11
291,363,11
292,147,4
293,363,11
294,363,11
295,295,9
296,363,11
297,350,10
298,350,10
299,350,10
300,158,5
301,350,10
302,147,4
303,147,4
304,147,4
305,147,4
306,363,11
307,363,11
308,363,11
309,363,11
310,363,11
311,158,5
312,363,11
313,363,11
314,363,11
315,158,5
316,158,5
317,158,5
318,158,5
319,158,5
320,363,11
321,6,1
322,6,1
323,6,1
324,6,1
325,6,1
326,6,1
327,6,1
328,6,1
329,363,11
330,230,6
331,230,6
332,230,6
333,6,1
334,230,6
335,230,6
336,230,6
337,230,6
338,230,6
339,230,6
340,232,7
341,232,7
342,232,7
343,288,8
344,6,1
345,288,8
346,288,8
347,288,8
348,288,8
349,288,8
350,288,8
351,350,10
352,288,8
353,288,8
354,350,10
355,6,1
356,350,10
357,147,4
358,350,10
359,350,10
360,147,4
361,147,4
362,363,11
363,363,11
364,363,11
365,363,11
