Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,122,124292.0,91779.0,29645.0
,,,,,,,,123,123538.0,91027.0,29126.0
,,,,,,,,124,124053.0,91187.0,29050.0
,,,,,,,,125,126762.0,93453.0,29757.0
,,,,,,,,126,134356.0,99584.0,32095.0
,,,,,,,,127,148840.0,110134.0,36660.0
,,,,,,,,128,157405.0,115778.0,39243.0
,,,,,,,,129,155385.0,114730.0,39723.0
,,,,,,,,130,152813.0,112561.0,39731.0
,,,,,,,,131,150378.0,110820.0,39668.0
,,,,,,,,132,147596.0,109208.0,39358.0
,,,,,,,,133,145066.0,107546.0,38822.0
,,,,,,,,134,143059.0,106595.0,38500.0
,,,,,,,,135,141235.0,105893.0,38078.0
,,,,,,,,136,140236.0,105853.0,38062.0
,,,,,,,,137,140896.0,107775.0,39125.0
,,,,,,,,138,143756.0,111722.0,41771.0
,,,,,,,,139,150593.0,114696.0,42463.0
,,,,,,,,140,150348.0,113179.0,41149.0
,,,,,,,,141,146566.0,110728.0,39464.0
,,,,,,,,142,141634.0,107215.0,37470.0
,,,,,,,,143,135085.0,102236.0,34963.0
,,,,,,,,144,127236.0,96226.0,32256.0
,,,,,,,,145,120480.0,91568.0,30191.0
,,,,,,,,146,115775.0,89038.0,28944.0
,,,,,,,,147,113871.0,87868.0,28194.0
,,,,,,,,148,113553.0,87635.0,27868.0
,,,,,,,,149,115122.0,88470.0,28045.0
,,,,,,,,150,118692.0,91252.0,28906.0
,,,,,,,,151,124938.0,95311.0,30696.0
,,,,,,,,152,132228.0,99813.0,32639.0
,,,,,,,,153,140672.0,104032.0,35063.0
,,,,,,,,154,146677.0,107495.0,36945.0
,,,,,,,,155,148695.0,108565.0,37997.0
,,,,,,,,156,147366.0,108148.0,38187.0
,,,,,,,,157,144969.0,107217.0,38000.0
,,,,,,,,158,141946.0,105923.0,37655.0
,,,,,,,,159,139464.0,104840.0,37270.0
,,,,,,,,160,138560.0,105055.0,37205.0
,,,,,,,,161,140291.0,107181.0,38271.0
,,,,,,,,162,146429.0,111827.0,40763.0
,,,,,,,,163,159574.0,117853.0,41780.0
,,,,,,,,164,166162.0,118431.0,40736.0
,,,,,,,,165,166934.0,117105.0,39343.0
,,,,,,,,166,166061.0,114746.0,37737.0
,,,,,,,,167,163105.0,111060.0,35692.0
,,,,,,,,168,158618.0,106890.0,33520.0
,,,,,,,,169,135575.0,92400.0,33879.0
,,,,,,,,170,127934.0,89079.0,32469.0
,,,,,,,,171,122888.0,87482.0,31539.0
,,,,,,,,172,120685.0,88100.0,31443.0
,,,,,,,,173,121527.0,92087.0,32470.0
,,,,,,,,174,126168.0,98211.0,34711.0
,,,,,,,,175,133396.0,105621.0,38231.0
,,,,,,,,176,142025.0,113607.0,42068.0
,,,,,,,,177,153897.0,121527.0,45267.0
,,,,,,,,178,167613.0,130424.0,47847.0
,,,,,,,,179,181862.0,138039.0,50219.0
,,,,,,,,180,194867.0,144108.0,52204.0
,,,,,,,,181,205600.0,149098.0,53753.0
,,,,,,,,182,213135.0,152162.0,54904.0
,,,,,,,,183,217238.0,154543.0,55409.0
,,,,,,,,184,217670.0,156067.0,55831.0
,,,,,,,,185,216558.0,155832.0,56010.0
,,,,,,,,186,212859.0,153213.0,55285.0
,,,,,,,,187,207071.0,148829.0,53924.0
,,,,,,,,188,200938.0,145173.0,53144.0
,,,,,,,,189,194470.0,141936.0,52315.0
,,,,,,,,190,186074.0,132710.0,49563.0
,,,,,,,,191,172285.0,121916.0,45319.0
,,,,,,,,192,157505.0,112186.0,41320.0
,,,,,,,,193,145274.0,105485.0,38472.0
,,,,,,,,194,136587.0,100892.0,36579.0
,,,,,,,,195,130767.0,98101.0,35427.0
,,,,,,,,196,127339.0,97948.0,35068.0
,,,,,,,,197,127639.0,101049.0,35763.0
,,,,,,,,198,132104.0,106643.0,37742.0
,,,,,,,,199,139192.0,114070.0,41329.0
,,,,,,,,200,147475.0,121394.0,45382.0
,,,,,,,,201,159788.0,128156.0,48881.0
,,,,,,,,202,174334.0,135020.0,51806.0
,,,,,,,,203,189595.0,140440.0,54257.0
,,,,,,,,204,202621.0,143817.0,55907.0
,,,,,,,,205,212052.0,146521.0,57309.0
,,,,,,,,206,218629.0,148182.0,58526.0
,,,,,,,,207,221314.0,149113.0,58938.0
,,,,,,,,208,221773.0,149394.0,58715.0
,,,,,,,,209,220348.0,147980.0,58020.0
,,,,,,,,210,215934.0,144436.0,56350.0
,,,,,,,,211,209288.0,139475.0,53904.0
,,,,,,,,212,203268.0,134953.0,52280.0
,,,,,,,,213,196721.0,131581.0,51074.0
,,,,,,,,214,188273.0,122742.0,47864.0
,,,,,,,,215,174233.0,111525.0,43135.0
,,,,,,,,216,159135.0,101794.0,38763.0
,,,,,,,,217,146959.0,94573.0,35458.0
,,,,,,,,218,137961.0,89515.0,33042.0
,,,,,,,,219,131706.0,86416.0,31679.0
,,,,,,,,220,128324.0,85712.0,31093.0
,,,,,,,,221,128623.0,88154.0,31502.0
,,,,,,,,222,132981.0,92656.0,33193.0
,,,,,,,,223,139599.0,99574.0,36473.0
,,,,,,,,224,147058.0,106655.0,40048.0
,,,,,,,,225,158080.0,113160.0,42763.0
,,,,,,,,226,171001.0,119697.0,44718.0
,,,,,,,,227,185229.0,125632.0,46146.0
,,,,,,,,228,198393.0,130904.0,47187.0
,,,,,,,,229,209241.0,136906.0,48166.0
,,,,,,,,230,217514.0,141992.0,49274.0
,,,,,,,,231,222900.0,146356.0,50142.0
,,,,,,,,232,226391.0,150162.0,50937.0
,,,,,,,,233,227026.0,151783.0,51457.0
,,,,,,,,234,224892.0,150129.0,50835.0
,,,,,,,,235,219074.0,145420.0,49377.0
,,,,,,,,236,211450.0,140329.0,47933.0
,,,,,,,,237,204501.0,136574.0,47193.0
,,,,,,,,238,196033.0,127870.0,44816.0
,,,,,,,,239,181029.0,117230.0,40961.0
,,,,,,,,240,165487.0,107991.0,37352.0
,,,,,,,,241,152432.0,101585.0,34848.0
,,,,,,,,242,142907.0,97499.0,33164.0
,,,,,,,,243,136792.0,95017.0,32179.0
,,,,,,,,244,133071.0,94264.0,31870.0
,,,,,,,,245,133198.0,97048.0,32690.0
,,,,,,,,246,137317.0,102533.0,34916.0
,,,,,,,,247,143895.0,109767.0,38313.0
,,,,,,,,248,152761.0,117521.0,41812.0
,,,,,,,,249,165774.0,124723.0,44415.0
,,,,,,,,250,180973.0,131575.0,45997.0
,,,,,,,,251,196101.0,138484.0,47573.0
,,,,,,,,252,209219.0,144517.0,48977.0
,,,,,,,,253,218908.0,150798.0,50442.0
,,,,,,,,254,226185.0,155572.0,52106.0
,,,,,,,,255,230893.0,158602.0,53496.0
,,,,,,,,256,233476.0,159421.0,54323.0
,,,,,,,,257,233310.0,158605.0,54770.0
,,,,,,,,258,230111.0,154825.0,54299.0
,,,,,,,,259,223936.0,148167.0,53148.0
,,,,,,,,260,216426.0,141983.0,51157.0
,,,,,,,,261,209353.0,136853.0,49683.0
,,,,,,,,262,200531.0,127240.0,46936.0
,,,,,,,,263,185307.0,116316.0,43080.0
,,,,,,,,264,169504.0,107184.0,39446.0
,,,,,,,,265,155916.0,100454.0,36892.0
,,,,,,,,266,146318.0,95846.0,35076.0
,,,,,,,,267,139618.0,93046.0,34007.0
,,,,,,,,268,135260.0,92689.0,33656.0
,,,,,,,,269,134527.0,95654.0,34402.0
,,,,,,,,270,137542.0,100871.0,36499.0
,,,,,,,,271,143328.0,107580.0,39860.0
,,,,,,,,272,151503.0,115502.0,43304.0
,,,,,,,,273,164078.0,123328.0,46127.0
