Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
50000,1,1,1,50000,1,8760,8760,1,16784,41912,50868,52338,98653,58825,95916,82325,49993
,,,,,,,,2,17052,41449,48280,50862,93810,56794,90975,80308,48891
,,,,,,,,3,17372,40151,45221,50275,91464,55530,89553,80425,49023
,,,,,,,,4,17726,39406,43550,50977,90781,55471,88869,80232,48908
,,,,,,,,5,17967,38968,42928,51508,90749,55289,91756,84644,51968
,,,,,,,,6,18648,39146,43159,53898,96838,57712,102224,95306,58703
,,,,,,,,7,19446,40061,46183,62870,104908,63489,108554,98338,60200
,,,,,,,,8,23956,42521,62291,65274,115280,68327,119630,106581,64673
,,,,,,,,9,37048,46721,65712,68427,125650,72831,131065,110717,66375
,,,,,,,,10,34507,47745,60478,71904,132184,75467,140910,115494,69128
,,,,,,,,11,30077,49489,59690,75423,136167,77938,146540,114261,67657
,,,,,,,,12,25090,49860,60978,74981,137639,76840,153193,117602,69384
,,,,,,,,13,22822,50802,59248,76937,141133,78505,155457,116404,68561
,,,,,,,,14,21192,48407,60098,75789,139707,77543,153117,111926,65742
,,,,,,,,15,21849,48351,59733,73039,136892,75390,153295,112390,66080
,,,,,,,,16,20800,46856,57922,72522,139015,75488,159809,118335,70065
,,,,,,,,17,20186,45148,57411,74363,145360,78290,165209,123148,73722
,,,,,,,,18,20001,45601,59838,76947,150784,81714,170003,124039,73249
,,,,,,,,19,20516,47828,64345,77122,149313,81122,168046,121528,71695
,,,,,,,,20,22230,50257,63824,75699,145165,79583,155991,111700,65913
,,,,,,,,21,20048,47968,63501,72179,136306,75228,142076,104123,61601
,,,,,,,,22,19627,46939,60782,68128,129268,71896,128243,95154,56064
,,,,,,,,23,19680,44753,57444,64274,120769,67733,115379,88179,51672
,,,,,,,,24,19223,43072,53622,62159,122105,64952,106015,89160,48394
,,,,,,,,25,17091,41069,50490,63179,116641,63217,99923,84668,45688
,,,,,,,,26,16959,39700,47141,62637,110820,61781,95763,82654,44727
,,,,,,,,27,16645,37104,44034,62702,108284,60993,95061,83264,45511
,,,,,,,,28,16949,36423,42774,64257,107372,61498,94983,83149,45558
,,,,,,,,29,17295,36094,42643,65529,106854,61621,97710,85824,46883
,,,,,,,,30,17907,36331,42757,68359,110660,63203,106968,94727,52442
,,,,,,,,31,18725,37064,44819,85732,119050,71422,117885,103216,56446
,,,,,,,,32,20833,38479,57766,86432,131315,74405,130899,114338,63317
,,,,,,,,33,30436,42070,61978,80667,142394,76198,143112,120284,67394
,,,,,,,,34,29301,43688,59121,80241,148055,77880,152085,124459,70376
,,,,,,,,35,27647,46016,57557,82040,149497,80104,157435,123168,70308
,,,,,,,,36,25114,46961,58388,78457,149869,77422,163350,127042,72544
,,,,,,,,37,22783,47949,56171,78636,152408,78454,165569,125776,72006
,,,,,,,,38,21228,45425,56454,76226,150251,76554,162959,121282,69368
,,,,,,,,39,21628,45319,55632,72771,146667,73415,162890,122286,70102
,,,,,,,,40,20754,43906,53526,71750,148547,73071,169563,128796,74688
,,,,,,,,41,20276,42494,53040,73572,155470,75554,176232,135150,79202
,,,,,,,,42,20239,43093,55689,77416,160365,79538,181947,135735,79415
,,,,,,,,43,20758,45415,60458,77702,158661,79439,179556,132593,77493
,,,,,,,,44,22329,47767,60530,76868,153229,78170,167962,123544,71652
,,,,,,,,45,20630,45808,60151,73174,144567,73980,155126,117149,67660
,,,,,,,,46,19242,44263,57571,69446,137428,70799,142585,110002,62948
,,,,,,,,47,18947,41918,54350,66816,129906,67748,130668,103560,58703
,,,,,,,,48,18036,40302,51278,65195,124021,65503,129353,106693,58238
,,,,,,,,49,17175,39069,48293,68410,121559,66720,128963,107182,58570
,,,,,,,,50,16752,38162,45806,69692,119867,66846,129958,107446,58394
,,,,,,,,51,16319,39054,45205,71168,118917,67406,133441,109830,59854
,,,,,,,,52,16390,39420,44931,72709,119897,68216,138488,113777,62260
,,,,,,,,53,16982,39818,45264,75096,124405,69730,150278,125997,69623
,,,,,,,,54,17620,40691,46566,81758,143906,76052,189442,171139,92981
,,,,,,,,55,18605,42833,51388,115928,176434,108576,218376,185611,106038
,,,,,,,,56,23937,48769,73383,114447,192977,111189,221378,180409,103596
,,,,,,,,57,53008,61100,80873,106733,188695,102506,209147,164455,94239
,,,,,,,,58,46544,63944,78152,96819,179243,94520,207382,167493,96671
,,,,,,,,59,38492,62039,68842,95434,179769,94875,206958,164320,95290
,,,,,,,,60,30690,58268,66509,91544,179446,92271,206500,163391,95257
,,,,,,,,61,27219,58850,64174,89765,178727,91335,203627,160180,93465
,,,,,,,,62,25160,56019,63289,87092,176305,88942,202512,159921,93712
,,,,,,,,63,24672,54977,61607,85566,177515,88023,210068,166794,98210
,,,,,,,,64,23411,53374,60807,87876,185187,90840,226067,179694,106844
,,,,,,,,65,22809,53230,62874,93296,198622,96429,248565,197525,118252
,,,,,,,,66,22535,55467,68192,100809,205789,104597,238863,180440,107952
,,,,,,,,67,23064,59585,76453,93569,187894,95751,206133,157511,94279
,,,,,,,,68,24566,62878,73919,81007,167896,83911,187355,149910,89721
,,,,,,,,69,23216,55701,65494,75925,157539,80020,171432,132219,76124
,,,,,,,,70,23479,50104,60542,70063,142363,73458,157051,122631,70025
,,,,,,,,71,24539,47372,54803,65593,132427,69044,146385,116538,66013
,,,,,,,,72,18306,42883,50314,62701,124007,65972,136714,109425,62367
,,,,,,,,73,16617,40712,47292,60418,119301,64749,133865,108911,62245
,,,,,,,,74,16381,39154,45796,61381,117798,64912,133991,108522,61849
,,,,,,,,75,15895,39294,44758,62806,117016,65383,136084,109873,62961
,,,,,,,,76,15919,39671,44549,64129,117950,66156,139752,112902,65012
,,,,,,,,77,16325,40069,44976,66167,122332,67670,150971,124023,72158
,,,,,,,,78,17030,40964,46238,72414,140574,73838,190498,165676,95556
,,,,,,,,79,18034,43054,50672,91772,172810,97085,215774,180127,108102
,,,,,,,,80,22840,48861,68696,98255,191203,102149,215624,175664,105565
,,,,,,,,81,41312,60515,75950,95810,188221,99158,201416,161310,96076
,,,,,,,,82,43423,63503,74897,88008,179433,91554,198667,164234,98456
,,,,,,,,83,35944,61439,67669,87668,180158,91972,198108,161004,96132
,,,,,,,,84,29106,57681,65684,86203,180018,89913,197449,160362,95833
,,,,,,,,85,26372,58261,63452,85697,179527,89203,194655,156971,93889
,,,,,,,,86,24626,55373,62577,84238,177743,87162,194013,157336,94072
,,,,,,,,87,24370,54240,60884,84067,179458,86350,201996,164814,98637
,,,,,,,,88,23305,52569,60102,87084,186739,89316,218475,178079,107431
,,,,,,,,89,22666,52321,62229,92516,200136,94838,240844,194937,118827
,,,,,,,,90,22357,54498,67573,99400,207813,102790,231549,177498,108106
,,,,,,,,91,22793,58545,75822,92811,190547,94210,199022,155296,94994
,,,,,,,,92,24195,61784,73235,79880,170611,82244,179364,147785,90421
,,,,,,,,93,22864,54552,64834,74244,160265,78311,163993,130284,76184
,,,,,,,,94,22835,48939,59938,68322,144712,71841,150381,120797,70007
,,,,,,,,95,23452,46208,54249,62868,134597,66857,139465,114548,66365
,,,,,,,,96,17980,41848,49808,58532,127259,63163,134852,111286,62755
,,,,,,,,97,16423,39785,46641,55881,121913,60851,133358,111138,62463
,,,,,,,,98,16006,38366,44899,56015,120272,60754,133712,110816,61996
,,,,,,,,99,15573,36976,44317,56580,119466,61080,136107,112618,62999
,,,,,,,,100,15699,37462,44219,57327,120436,61652,140306,116096,64878
,,,,,,,,101,16033,37958,44709,59163,124960,63028,152098,127983,71883
,,,,,,,,102,16668,38812,45978,64897,143394,68623,191183,174423,95738
,,,,,,,,103,17667,40654,50075,81711,177193,87125,215740,189019,108778
,,,,,,,,104,22182,46121,67175,89898,195400,94376,216981,183270,106500
,,,,,,,,105,38956,57542,73973,89919,191834,93023,204374,167607,97074
,,,,,,,,106,41066,59364,72567,84600,182541,86566,202060,170156,99613
,,,,,,,,107,34042,56843,65594,85242,182964,87523,201584,166704,97718
,,,,,,,,108,27583,53361,63841,85293,182362,86291,201883,166125,97357
,,,,,,,,109,25194,53966,61664,85276,180985,85892,199542,162792,95485
,,,,,,,,110,23716,51160,60861,84326,178334,84190,199075,162465,95572
,,,,,,,,111,23711,50155,59400,84324,180035,83991,207303,170257,100790
,,,,,,,,112,22961,48896,58744,87304,188024,87110,223730,183801,110436
,,,,,,,,113,22441,48835,61045,92820,202064,92717,246050,201605,122259
,,,,,,,,114,22169,51144,66406,99549,209831,100222,235521,184344,111827
,,,,,,,,115,22546,54957,74303,93010,192330,91841,202317,162648,98783
,,,,,,,,116,23777,57591,71574,79919,172805,79619,182238,156414,94748
,,,,,,,,117,22467,50917,63146,74171,162552,75472,165975,137394,80037
,,,,,,,,118,22304,45226,58167,68617,146859,69356,151373,126446,73616
,,,,,,,,119,22747,42636,52634,63258,136483,64567,139896,120144,69564
,,,,,,,,120,17704,38660,48314,58919,128481,60745,131584,116186,69455
,,,,,,,,121,16173,36510,45246,55808,122459,59064,129148,115992,69054
,,,,,,,,122,15545,34901,43306,56104,120557,59110,129056,115257,67962
,,,,,,,,123,15035,32854,42679,57292,119534,59470,130823,116852,68702
,,,,,,,,124,15119,33218,42531,58811,120338,60274,134479,120405,70666
,,,,,,,,125,15373,33629,42988,61202,124593,61875,145797,132389,78059
,,,,,,,,126,15933,34442,44095,67424,143427,67544,184297,181358,106431
,,,,,,,,127,16789,36174,47963,85523,176245,84981,208492,196818,120062
,,,,,,,,128,20642,41201,61826,93553,194300,92465,209925,189829,116229
,,,,,,,,129,32868,51597,69966,93141,190924,91769,196947,172731,104926
,,,,,,,,130,36322,52912,69401,86740,182029,85427,195244,174332,105549
,,,,,,,,131,30720,51281,63135,86885,182595,86392,195312,169714,102731
,,,,,,,,132,25936,48237,61753,85575,182083,85304,195018,168389,101659
,,,,,,,,133,24396,49244,59848,85017,180977,84953,192291,164546,99083
,,,,,,,,134,23363,47349,59163,83437,178491,83365,192010,164112,98447
,,,,,,,,135,23392,46641,57988,83066,180195,83174,200172,171692,102694
,,,,,,,,136,22827,45644,57549,85838,188350,86391,216609,185750,112222
,,,,,,,,137,22372,45863,59604,91124,202306,91869,238480,204575,125552
,,,,,,,,138,22061,48141,64675,98023,209850,99160,229271,187415,115286
,,,,,,,,139,22306,51671,72088,91566,192101,90768,196334,165402,102564
,,,,,,,,140,23265,53882,69508,78895,172488,78500,176686,159256,99209
,,,,,,,,141,21972,47709,60880,73419,162205,74291,161738,139826,83386
,,,,,,,,142,21733,41901,55647,67624,146661,68355,147988,128323,75871
,,,,,,,,143,21984,39270,50504,62603,136498,63687,137047,121760,71454
,,,,,,,,144,17437,35672,46444,59001,129292,60094,129770,116570,67883
,,,,,,,,145,15925,33328,43276,56256,123508,56933,127495,116047,67447
,,,,,,,,146,15316,31751,41676,56793,121465,56769,127847,115099,66429
,,,,,,,,147,14952,31506,41080,57774,120255,57058,130474,116705,67043
,,,,,,,,148,15012,31923,41058,58920,121118,57832,134936,120147,68881
,,,,,,,,149,15274,32369,41628,61013,125841,59173,146976,132081,75965
,,,,,,,,150,15843,33186,42863,66729,146117,64419,185658,184256,104867
,,,,,,,,151,16686,34906,46549,83077,180315,79737,209535,200502,118389
,,,,,,,,152,20302,39750,59057,91375,198449,88191,212121,192922,114309
,,,,,,,,153,31674,49673,67477,90866,195102,88832,199357,175513,102938
,,,,,,,,154,35524,51616,67033,84639,185604,83870,197727,176830,104004
,,,,,,,,155,30475,50467,61284,85247,186276,85700,197462,172535,101422
,,,,,,,,156,26096,47638,60249,84552,186155,85591,197229,171285,100156
,,,,,,,,157,24658,49041,58679,84162,185459,85571,194169,167610,97360
,,,,,,,,158,23509,47409,58280,82938,183335,84479,193518,167106,96922
,,,,,,,,159,23460,46810,57280,82816,184810,84588,201791,174660,101283
,,,,,,,,160,22816,45955,56881,85880,192896,88200,218064,188802,110454
,,,,,,,,161,22363,46415,59045,91397,207424,94127,239685,207915,123258
,,,,,,,,162,22072,48800,64058,98183,215294,101344,229918,191091,112962
,,,,,,,,163,22365,52280,71328,91415,197698,93391,197441,169003,100372
,,,,,,,,164,23437,54568,68709,78443,178063,81243,177912,162789,96785
,,,,,,,,165,22085,48144,60099,72758,167318,77074,162920,142772,81357
,,,,,,,,166,21903,42390,54727,67543,151140,71483,149890,131336,74545
,,,,,,,,167,22295,39826,49771,62664,140563,67184,139915,125014,70518
,,,,,,,,168,17571,36172,45891,58736,130848,63763,129037,117704,68710
,,,,,,,,169,16186,33944,42947,52076,118048,58450,121184,112566,65523
,,,,,,,,170,15646,31701,40627,50497,112207,56675,118019,110400,64160
,,,,,,,,171,15633,29775,38311,50251,109180,55800,118257,110656,64134
,,,,,,,,172,15743,29149,37385,50989,108068,56199,119018,110404,63897
,,,,,,,,173,15931,29093,37405,51647,108711,56326,123494,117048,67939
,,,,,,,,174,16380,29493,37589,53924,115877,59053,137791,128884,75161
,,,,,,,,175,16929,30088,39193,62598,126734,65931,145085,141270,83391
,,,,,,,,176,20250,32154,44057,62847,139209,68888,154996,152285,90280
,,,,,,,,177,27111,36047,46210,65852,149544,72750,164900,155506,91701
,,,,,,,,178,26588,36125,49032,69026,154745,75370,173947,157987,92988
,,,,,,,,179,25660,38473,50443,72238,156576,77840,176871,153134,89474
,,,,,,,,180,23089,39866,52183,71019,157498,76768,182077,156038,91169
,,,,,,,,181,21830,41453,50641,72574,160557,78674,182611,153753,89357
,,,,,,,,182,20776,39815,51350,71339,158202,77520,178502,148286,85752
,,,,,,,,183,21328,40321,51293,69085,154447,75345,179025,149073,86126
,,,,,,,,184,20605,39392,49610,69081,156221,75749,186831,157333,91175
,,,,,,,,185,20243,38250,49284,71213,163754,78998,195526,167092,97286
,,,,,,,,186,20102,38707,51508,73498,167593,82432,199709,161024,92904
,,,,,,,,187,20401,40439,55158,74010,164850,81529,198586,158832,91353
,,,,,,,,188,21621,41966,55026,72714,160604,80243,187902,150470,86013
,,,,,,,,189,19409,40532,54948,68429,151650,75826,177117,144572,82457
,,,,,,,,190,18924,39387,52124,64514,143685,72467,165956,134973,76391
