Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
1666500,1,1,0,1,8760,8760,1,173,146,121,380,476,697,522,266,77
,,,,,,,2,173,146,121,380,476,697,522,266,77
,,,,,,,3,173,146,121,380,476,697,522,266,77
,,,,,,,4,173,146,121,380,476,697,522,266,77
,,,,,,,5,173,146,121,380,476,697,522,266,77
,,,,,,,6,173,146,121,380,476,697,522,266,77
,,,,,,,7,173,146,121,380,476,697,522,266,77
,,,,,,,8,173,146,121,380,476,697,522,266,77
,,,,,,,9,173,146,121,380,476,697,522,266,77
,,,,,,,10,173,146,121,380,476,697,522,266,77
,,,,,,,11,173,146,121,380,476,697,522,266,77
,,,,,,,12,173,146,121,380,476,697,522,266,77
,,,,,,,13,173,146,121,380,476,697,522,266,77
,,,,,,,14,173,146,121,380,476,697,522,266,77
,,,,,,,15,173,146,121,380,476,697,522,266,77
,,,,,,,16,173,146,121,380,476,697,522,266,77
,,,,,,,17,173,146,121,380,476,697,522,266,77
,,,,,,,18,173,146,121,380,476,697,522,266,77
,,,,,,,19,173,146,121,380,476,697,522,266,77
,,,,,,,20,173,146,121,380,476,697,522,266,77
,,,,,,,21,173,146,121,380,476,697,522,266,77
,,,,,,,22,173,146,121,380,476,697,522,266,77
,,,,,,,23,173,146,121,380,476,697,522,266,77
,,,,,,,24,173,146,121,380,476,697,522,266,77
,,,,,,,25,173,146,121,380,476,697,522,266,77
,,,,,,,26,173,146,121,380,476,697,522,266,77
,,,,,,,27,173,146,121,380,476,697,522,266,77
,,,,,,,28,173,146,121,380,476,697,522,266,77
,,,,,,,29,173,146,121,380,476,697,522,266,77
,,,,,,,30,173,146,121,380,476,697,522,266,77
,,,,,,,31,173,146,121,380,476,697,522,266,77
,,,,,,,32,173,146,121,380,476,697,522,266,77
,,,,,,,33,173,146,121,380,476,697,522,266,77
,,,,,,,34,173,146,121,380,476,697,522,266,77
,,,,,,,35,173,146,121,380,476,697,522,266,77
,,,,,,,36,173,146,121,380,476,697,522,266,77
,,,,,,,37,173,146,121,380,476,697,522,266,77
,,,,,,,38,173,146,121,380,476,697,522,266,77
,,,,,,,39,173,146,121,380,476,697,522,266,77
,,,,,,,40,173,146,121,380,476,697,522,266,77
,,,,,,,41,173,146,121,380,476,697,522,266,77
,,,,,,,42,173,146,121,380,476,697,522,266,77
,,,,,,,43,173,146,121,380,476,697,522,266,77
,,,,,,,44,173,146,121,380,476,697,522,266,77
,,,,,,,45,173,146,121,380,476,697,522,266,77
,,,,,,,46,173,146,121,380,476,697,522,266,77
,,,,,,,47,173,146,121,380,476,697,522,266,77
,,,,,,,48,173,146,121,380,476,697,522,266,77
,,,,,,,49,173,146,121,380,476,697,522,266,77
,,,,,,,50,173,146,121,380,476,697,522,266,77
,,,,,,,51,173,146,121,380,476,697,522,266,77
,,,,,,,52,173,146,121,380,476,697,522,266,77
,,,,,,,53,173,146,121,380,476,697,522,266,77
,,,,,,,54,173,146,121,380,476,697,522,266,77
,,,,,,,55,173,146,121,380,476,697,522,266,77
,,,,,,,56,173,146,121,380,476,697,522,266,77
,,,,,,,57,173,146,121,380,476,697,522,266,77
,,,,,,,58,173,146,121,380,476,697,522,266,77
,,,,,,,59,173,146,121,380,476,697,522,266,77
,,,,,,,60,173,146,121,380,476,697,522,266,77
,,,,,,,61,173,146,121,380,476,697,522,266,77
,,,,,,,62,173,146,121,380,476,697,522,266,77
,,,,,,,63,173,146,121,380,476,697,522,266,77
,,,,,,,64,173,146,121,380,476,697,522,266,77
,,,,,,,65,173,146,121,380,476,697,522,266,77
,,,,,,,66,173,146,121,380,476,697,522,266,77
,,,,,,,67,173,146,121,380,476,697,522,266,77
,,,,,,,68,173,146,121,380,476,697,522,266,77
,,,,,,,69,173,146,121,380,476,697,522,266,77
,,,,,,,70,173,146,121,380,476,697,522,266,77
,,,,,,,71,173,146,121,380,476,697,522,266,77
,,,,,,,72,173,146,121,380,476,697,522,266,77
,,,,,,,73,173,146,121,380,476,697,522,266,77
,,,,,,,74,173,146,121,380,476,697,522,266,77
,,,,,,,75,173,146,121,380,476,697,522,266,77
,,,,,,,76,173,146,121,380,476,697,522,266,77
,,,,,,,77,173,146,121,380,476,697,522,266,77
,,,,,,,78,173,146,121,380,476,697,522,266,77
,,,,,,,79,173,146,121,380,476,697,522,266,77
,,,,,,,80,173,146,121,380,476,697,522,266,77
,,,,,,,81,173,146,121,380,476,697,522,266,77
,,,,,,,82,173,146,121,380,476,697,522,266,77
,,,,,,,83,173,146,121,380,476,697,522,266,77
,,,,,,,84,173,146,121,380,476,697,522,266,77
,,,,,,,85,173,146,121,380,476,697,522,266,77
,,,,,,,86,173,146,121,380,476,697,522,266,77
,,,,,,,87,173,146,121,380,476,697,522,266,77
,,,,,,,88,173,146,121,380,476,697,522,266,77
,,,,,,,89,173,146,121,380,476,697,522,266,77
,,,,,,,90,173,146,121,380,476,697,522,266,77
,,,,,,,91,173,146,121,380,476,697,522,266,77
,,,,,,,92,173,146,121,380,476,697,522,266,77
,,,,,,,93,173,146,121,380,476,697,522,266,77
,,,,,,,94,173,146,121,380,476,697,522,266,77
,,,,,,,95,173,146,121,380,476,697,522,266,77
,,,,,,,96,173,146,121,380,476,697,522,266,77
,,,,,,,97,173,146,121,380,476,697,522,266,77
,,,,,,,98,173,146,121,380,476,697,522,266,77
,,,,,,,99,173,146,121,380,476,697,522,266,77
,,,,,,,100,173,146,121,380,476,697,522,266,77
,,,,,,,101,173,146,121,380,476,697,522,266,77
,,,,,,,102,173,146,121,380,476,697,522,266,77
,,,,,,,103,173,146,121,380,476,697,522,266,77
,,,,,,,104,173,146,121,380,476,697,522,266,77
,,,,,,,105,173,146,121,380,476,697,522,266,77
,,,,,,,106,173,146,121,380,476,697,522,266,77
,,,,,,,107,173,146,121,380,476,697,522,266,77
,,,,,,,108,173,146,121,380,476,697,522,266,77
,,,,,,,109,173,146,121,380,476,697,522,266,77
,,,,,,,110,173,146,121,380,476,697,522,266,77
,,,,,,,111,173,146,121,380,476,697,522,266,77
,,,,,,,112,173,146,121,380,476,697,522,266,77
,,,,,,,113,173,146,121,380,476,697,522,266,77
,,,,,,,114,173,146,121,380,476,697,522,266,77
,,,,,,,115,173,146,121,380,476,697,522,266,77
,,,,,,,116,173,146,121,380,476,697,522,266,77
,,,,,,,117,173,146,121,380,476,697,522,266,77
,,,,,,,118,173,146,121,380,476,697,522,266,77
,,,,,,,119,173,146,121,380,476,697,522,266,77
,,,,,,,120,173,146,121,380,476,697,522,266,77
,,,,,,,121,173,146,121,380,476,697,522,266,77
,,,,,,,122,173,146,121,380,476,697,522,266,77
,,,,,,,123,173,146,121,380,476,697,522,266,77
,,,,,,,124,173,146,121,380,476,697,522,266,77
,,,,,,,125,173,146,121,380,476,697,522,266,77
,,,,,,,126,173,146,121,380,476,697,522,266,77
,,,,,,,127,173,146,121,380,476,697,522,266,77
,,,,,,,128,173,146,121,380,476,697,522,266,77
,,,,,,,129,173,146,121,380,476,697,522,266,77
,,,,,,,130,173,146,121,380,476,697,522,266,77
,,,,,,,131,173,146,121,380,476,697,522,266,77
,,,,,,,132,173,146,121,380,476,697,522,266,77
,,,,,,,133,173,146,121,380,476,697,522,266,77
,,,,,,,134,173,146,121,380,476,697,522,266,77
,,,,,,,135,173,146,121,380,476,697,522,266,77
,,,,,,,136,173,146,121,380,476,697,522,266,77
,,,,,,,137,173,146,121,380,476,697,522,266,77
,,,,,,,138,173,146,121,380,476,697,522,266,77
,,,,,,,139,173,146,121,380,476,697,522,266,77
,,,,,,,140,173,146,121,380,476,697,522,266,77
,,,,,,,141,173,146,121,380,476,697,522,266,77
,,,,,,,142,173,146,121,380,476,697,522,266,77
,,,,,,,143,173,146,121,380,476,697,522,266,77
,,,,,,,144,173,146,121,380,476,697,522,266,77
,,,,,,,145,173,146,121,380,476,697,522,266,77
,,,,,,,146,173,146,121,380,476,697,522,266,77
,,,,,,,147,173,146,121,380,476,697,522,266,77
,,,,,,,148,173,146,121,380,476,697,522,266,77
,,,,,,,149,173,146,121,380,476,697,522,266,77
,,,,,,,150,173,146,121,380,476,697,522,266,77
,,,,,,,151,173,146,121,380,476,697,522,266,77
,,,,,,,152,173,146,121,380,476,697,522,266,77
,,,,,,,153,173,146,121,380,476,697,522,266,77
,,,,,,,154,173,146,121,380,476,697,522,266,77
,,,,,,,155,173,146,121,380,476,697,522,266,77
,,,,,,,156,173,146,121,380,476,697,522,266,77
,,,,,,,157,173,146,121,380,476,697,522,266,77
,,,,,,,158,173,146,121,380,476,697,522,266,77
,,,,,,,159,173,146,121,380,476,697,522,266,77
,,,,,,,160,173,146,121,380,476,697,522,266,77
,,,,,,,161,173,146,121,380,476,697,522,266,77
,,,,,,,162,173,146,121,380,476,697,522,266,77
,,,,,,,163,173,146,121,380,476,697,522,266,77
,,,,,,,164,173,146,121,380,476,697,522,266,77
,,,,,,,165,173,146,121,380,476,697,522,266,77
,,,,,,,166,173,146,121,380,476,697,522,266,77
,,,,,,,167,173,146,121,380,476,697,522,266,77
,,,,,,,168,173,146,121,380,476,697,522,266,77
,,,,,,,169,173,146,121,380,476,697,522,266,77
,,,,,,,170,173,146,121,380,476,697,522,266,77
,,,,,,,171,173,146,121,380,476,697,522,266,77
,,,,,,,172,173,146,121,380,476,697,522,266,77
,,,,,,,173,173,146,121,380,476,697,522,266,77
,,,,,,,174,173,146,121,380,476,697,522,266,77
,,,,,,,175,173,146,121,380,476,697,522,266,77
,,,,,,,176,173,146,121,380,476,697,522,266,77
,,,,,,,177,173,146,121,380,476,697,522,266,77
,,,,,,,178,173,146,121,380,476,697,522,266,77
,,,,,,,179,173,146,121,380,476,697,522,266,77
,,,,,,,180,173,146,121,380,476,697,522,266,77
,,,,,,,181,173,146,121,380,476,697,522,266,77
,,,,,,,182,173,146,121,380,476,697,522,266,77
,,,,,,,183,173,146,121,380,476,697,522,266,77
,,,,,,,184,173,146,121,380,476,697,522,266,77
,,,,,,,185,173,146,121,380,476,697,522,266,77
,,,,,,,186,173,146,121,380,476,697,522,266,77
,,,,,,,187,173,146,121,380,476,697,522,266,77
,,,,,,,188,173,146,121,380,476,697,522,266,77
,,,,,,,189,173,146,121,380,476,697,522,266,77
,,,,,,,190,173,146,121,380,476,697,522,266,77
,,,,,,,191,173,146,121,380,476,697,522,266,77
,,,,,,,192,173,146,121,380,476,697,522,266,77
,,,,,,,193,173,146,121,380,476,697,522,266,77
,,,,,,,194,173,146,121,380,476,697,522,266,77
,,,,,,,195,173,146,121,380,476,697,522,266,77
,,,,,,,196,173,146,121,380,476,697,522,266,77
,,,,,,,197,173,146,121,380,476,697,522,266,77
,,,,,,,198,173,146,121,380,476,697,522,266,77
,,,,,,,199,173,146,121,380,476,697,522,266,77
,,,,,,,200,173,146,121,380,476,697,522,266,77
,,,,,,,201,173,146,121,380,476,697,522,266,77
,,,,,,,202,173,146,121,380,476,697,522,266,77
,,,,,,,203,173,146,121,380,476,697,522,266,77
,,,,,,,204,173,146,121,380,476,697,522,266,77
,,,,,,,205,173,146,121,380,476,697,522,266,77
,,,,,,,206,173,146,121,380,476,697,522,266,77
,,,,,,,207,173,146,121,380,476,697,522,266,77
,,,,,,,208,173,146,121,380,476,697,522,266,77
,,,,,,,209,173,146,121,380,476,697,522,266,77
,,,,,,,210,173,146,121,380,476,697,522,266,77
,,,,,,,211,173,146,121,380,476,697,522,266,77
,,,,,,,212,173,146,121,380,476,697,522,266,77
,,,,,,,213,173,146,121,380,476,697,522,266,77
,,,,,,,214,173,146,121,380,476,697,522,266,77
,,,,,,,215,173,146,121,380,476,697,522,266,77
,,,,,,,216,173,146,121,380,476,697,522,266,77
,,,,,,,217,173,146,121,380,476,697,522,266,77
,,,,,,,218,173,146,121,380,476,697,522,266,77
,,,,,,,219,173,146,121,380,476,697,522,266,77
,,,,,,,220,173,146,121,380,476,697,522,266,77
,,,,,,,221,173,146,121,380,476,697,522,266,77
,,,,,,,222,173,146,121,380,476,697,522,266,77
,,,,,,,223,173,146,121,380,476,697,522,266,77
,,,,,,,224,173,146,121,380,476,697,522,266,77
,,,,,,,225,173,146,121,380,476,697,522,266,77
,,,,,,,226,173,146,121,380,476,697,522,266,77
,,,,,,,227,173,146,121,380,476,697,522,266,77
,,,,,,,228,173,146,121,380,476,697,522,266,77
,,,,,,,229,173,146,121,380,476,697,522,266,77
,,,,,,,230,173,146,121,380,476,697,522,266,77
,,,,,,,231,173,146,121,380,476,697,522,266,77
,,,,,,,232,173,146,121,380,476,697,522,266,77
,,,,,,,233,173,146,121,380,476,697,522,266,77
,,,,,,,234,173,146,121,380,476,697,522,266,77
,,,,,,,235,173,146,121,380,476,697,522,266,77
,,,,,,,236,173,146,121,380,476,697,522,266,77
,,,,,,,237,173,146,121,380,476,697,522,266,77
,,,,,,,238,173,146,121,380,476,697,522,266,77
,,,,,,,239,173,146,121,380,476,697,522,266,77
,,,,,,,240,173,146,121,380,476,697,522,266,77
,,,,,,,241,173,146,121,380,476,697,522,266,77
,,,,,,,242,173,146,121,380,476,697,522,266,77
,,,,,,,243,173,146,121,380,476,697,522,266,77
,,,,,,,244,173,146,121,380,476,697,522,266,77
,,,,,,,245,173,146,121,380,476,697,522,266,77
,,,,,,,246,173,146,121,380,476,697,522,266,77
,,,,,,,247,173,146,121,380,476,697,522,266,77
,,,,,,,248,173,146,121,380,476,697,522,266,77
,,,,,,,249,173,146,121,380,476,697,522,266,77
,,,,,,,250,173,146,121,380,476,697,522,266,77
,,,,,,,251,173,146,121,380,476,697,522,266,77
,,,,,,,252,173,146,121,380,476,697,522,266,77
,,,,,,,253,173,146,121,380,476,697,522,266,77
,,,,,,,254,173,146,121,380,476,697,522,266,77
,,,,,,,255,173,146,121,380,476,697,522,266,77
,,,,,,,256,173,146,121,380,476,697,522,266,77
,,,,,,,257,173,146,121,380,476,697,522,266,77
,,,,,,,258,173,146,121,380,476,697,522,266,77
,,,,,,,259,173,146,121,380,476,697,522,266,77
,,,,,,,260,173,146,121,380,476,697,522,266,77
,,,,,,,261,173,146,121,380,476,697,522,266,77
,,,,,,,262,173,146,121,380,476,697,522,266,77
,,,,,,,263,173,146,121,380,476,697,522,266,77
,,,,,,,264,173,146,121,380,476,697,522,266,77
,,,,,,,265,173,146,121,380,476,697,522,266,77
,,,,,,,266,173,146,121,380,476,697,522,266,77
,,,,,,,267,173,146,121,380,476,697,522,266,77
,,,,,,,268,173,146,121,380,476,697,522,266,77
,,,,,,,269,173,146,121,380,476,697,522,266,77
,,,,,,,270,173,146,121,380,476,697,522,266,77
