CO2_Capture_Compression,Zone,etaPCO2_MWh_per_tonne,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,CO2_Capture_Compression_Min_Output,CO2_Capture_Compression_Max_Output
CA_CAPTURE_COMP,1,0,0,0,0,3000000,0,1
NW_CAPTURE_COMP,2,0,0,0,0,3000000,0,1
SW_CAPTURE_COMP,3,0,0,0,0,3000000,0,1
TX_CAPTURE_COMP,4,0,0,0,0,3000000,0,1
NCEN_CAPTURE_COMP,5,0,0,0,0,3000000,0,1
CEN_CAPTURE_COMP,6,0,0,0,0,3000000,0,1
SE_CAPTURE_COMP,7,0,0,0,0,3000000,0,1
MIDAT_CAPTURE_COMP,8,0,0,0,0,3000000,0,1
NE_CAPTURE_COMP,9,0,0,0,0,3000000,0,1
