Conventional_diesel_co2_per_mmbtu,Global_conventional_diesel_price_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
0.0741,25.41,0.0741,0.0741,1,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,2,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,3,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,4,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,5,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,6,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,7,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,8,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,9,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,10,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,11,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,12,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,13,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,14,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,15,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,16,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,17,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,18,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,19,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,20,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,21,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,22,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,23,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,24,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,25,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,26,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,27,6927,4158,3979,9384,9976,10402,15694,8816,3150
,,,,28,6927,4158,3979,9384,9976,10402,15694,8816,3150
