Syn_Fuel_Resource,Zone,mmbtu_sf_diesel_p_tonne_co2,mmbtu_sf_jetfuel_p_tonne_co2,mmbtu_sf_gasoline_p_tonne_co2,tonnes_h2_p_tonne_co2,mmbtu_ng_p_tonne_co2,mwh_p_tonne_co2,Inv_Cost_p_tonne_co2_p_hr_yr,Fixed_OM_cost_p_tonne_co2_hr_yr,Var_OM_cost_p_tonne_co2,mmbtu_p_tonne_co2_p1,price_p_mmbtu_p1,co2_out_p_mmbtu_p1,co2_out_p_co2_in,co2_captured_p_co2_in,Fuel,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr
CA_Synfuel_Plant,1,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
NW_Synfuel_Plant,2,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
SW_Synfuel_Plant,3,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
TX_Synfuel_Plant,4,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
NCEN_Synfuel_Plant,5,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
CEN_Synfuel_Plant,6,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
SE_Synfuel_Plant,7,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
MIDAT_Synfuel_Plant,8,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
NE_Synfuel_Plant,9,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,10000000000
CA_Synfuel_Plant_wCCS_Stored_90pct,1,1.790763972,3.056648848,1.691277084,0.0934,0,0.105019391,339064.8574,269595.0007,9.52E+00,0,0,0,0.052704105,0.474336948,None,0,10000000000
NW_Synfuel_Plant_wCCS_Stored_90pct,2,1.790763972,3.056648848,1.691277084,0.0934,0,0.105019391,339064.8574,269595.0007,9.52E+00,0,0,0,0.052704105,0.474336948,None,0,10000000000
