Zone,Emissions_tonne_per_tonne,Cost_per_tonne_per_hr,Max_tonne_per_hr
1,0,123.08,313.87
2,0,144.13,1516.88
3,0,135.44,318.62
4,0,117.46,1157.54
5,0,123.31,1840.92
6,0,122.25,2740.94
7,0,128.79,5043.43
8,0,104.63,2195.06
9,0,102.41,634.46
