Conventional_jetfuel_co2_per_mmbtu,Global_conventional_jetfuel_price_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
0.0722,20.31,0.0722,0.0722,1,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,2,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,3,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,4,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,5,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,6,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,7,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,8,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,9,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,10,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,11,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,12,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,13,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,14,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,15,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,16,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,17,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,18,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,19,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,20,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,21,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,22,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,23,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,24,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,25,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,26,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,27,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,28,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,29,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,30,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,31,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,32,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,33,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,34,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,35,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,36,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,37,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,38,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,39,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,40,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,41,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,42,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,43,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,44,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,45,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,46,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,47,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,48,54205,16428,29331,27806,30552,11485,59245,32396,33614
,,,,49,54205,16428,29331,27806,30552,11485,59245,32396,33614
