Conventional_ng_co2_per_mmbtu,Syn_ng_co2_per_mmbtu,Bio_ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
0.05306,0.05306,0.05306,1,51899
,,,2,51899
,,,3,51899
,,,4,51899
,,,5,51899
,,,6,51899
,,,7,51899
,,,8,51899
,,,9,51899
,,,10,51899
,,,11,51899
,,,12,51899
,,,13,51899
,,,14,51899
,,,15,51899
,,,16,51899
,,,17,51899
,,,18,51899
,,,19,51899
,,,20,51899
,,,21,51899
,,,22,51899
,,,23,51899
,,,24,51899
,,,25,51899
,,,26,51899
,,,27,51899
,,,28,51899
,,,29,51899
,,,30,51899
,,,31,51899
,,,32,51899
,,,33,51899
,,,34,51899
,,,35,51899
,,,36,51899
,,,37,51899
,,,38,51899
,,,39,51899
,,,40,51899
,,,41,51899
,,,42,51899
,,,43,51899
,,,44,51899
,,,45,51899
,,,46,51899
,,,47,51899
,,,48,51899
,,,49,51899
,,,50,51899
,,,51,51899
,,,52,51899
,,,53,51899
,,,54,51899
,,,55,51899
,,,56,51899
,,,57,51899
,,,58,51899
,,,59,51899
,,,60,51899
,,,61,51899
,,,62,51899
,,,63,51899
,,,64,51899
,,,65,51899
,,,66,51899
,,,67,51899
,,,68,51899
,,,69,51899
,,,70,51899
,,,71,51899
,,,72,51899
,,,73,51899
,,,74,51899
,,,75,51899
,,,76,51899
,,,77,51899
,,,78,51899
,,,79,51899
,,,80,51899
,,,81,51899
,,,82,51899
,,,83,51899
,,,84,51899
,,,85,51899
,,,86,51899
,,,87,51899
,,,88,51899
,,,89,51899
,,,90,51899
,,,91,51899
,,,92,51899
,,,93,51899
,,,94,51899
,,,95,51899
,,,96,51899
,,,97,51899
,,,98,51899
,,,99,51899
,,,100,51899
,,,101,51899
,,,102,51899
,,,103,51899
,,,104,51899
,,,105,51899
,,,106,51899
,,,107,51899
,,,108,51899
,,,109,51899
,,,110,51899
,,,111,51899
,,,112,51899
,,,113,51899
,,,114,51899
,,,115,51899
,,,116,51899
,,,117,51899
,,,118,51899
,,,119,51899
,,,120,51899
,,,121,51899
,,,122,51899
,,,123,51899
,,,124,51899
,,,125,51899
,,,126,51899
,,,127,51899
,,,128,51899
,,,129,51899
,,,130,51899
,,,131,51899
,,,132,51899
,,,133,51899
,,,134,51899
,,,135,51899
,,,136,51899
,,,137,51899
,,,138,51899
,,,139,51899
,,,140,51899
,,,141,51899
,,,142,51899
,,,143,51899
,,,144,51899
,,,145,51899
,,,146,51899
,,,147,51899
,,,148,51899
,,,149,51899
,,,150,51899
,,,151,51899
,,,152,51899
,,,153,51899
,,,154,51899
,,,155,51899
,,,156,51899
,,,157,51899
,,,158,51899
,,,159,51899
,,,160,51899
,,,161,51899
,,,162,51899
,,,163,51899
,,,164,51899
,,,165,51899
,,,166,51899
,,,167,51899
,,,168,51899
,,,169,51899
,,,170,51899
,,,171,51899
,,,172,51899
,,,173,51899
,,,174,51899
,,,175,51899
,,,176,51899
,,,177,51899
,,,178,51899
,,,179,51899
,,,180,51899
,,,181,51899
,,,182,51899
,,,183,51899
,,,184,51899
,,,185,51899
,,,186,51899
,,,187,51899
,,,188,51899
,,,189,51899
,,,190,51899
,,,191,51899
,,,192,51899
,,,193,51899
,,,194,51899
,,,195,51899
,,,196,51899
,,,197,51899
,,,198,51899
,,,199,51899
,,,200,51899
,,,201,51899
,,,202,51899
,,,203,51899
,,,204,51899
,,,205,51899
,,,206,51899
,,,207,51899
,,,208,51899
,,,209,51899
,,,210,51899
,,,211,51899
,,,212,51899
,,,213,51899
,,,214,51899
,,,215,51899
,,,216,51899
,,,217,51899
,,,218,51899
,,,219,51899
,,,220,51899
,,,221,51899
,,,222,51899
,,,223,51899
,,,224,51899
,,,225,51899
,,,226,51899
,,,227,51899
,,,228,51899
,,,229,51899
,,,230,51899
,,,231,51899
,,,232,51899
,,,233,51899
,,,234,51899
,,,235,51899
,,,236,51899
,,,237,51899
,,,238,51899
,,,239,51899
,,,240,51899
,,,241,51899
,,,242,51899
,,,243,51899
,,,244,51899
,,,245,51899
,,,246,51899
,,,247,51899
,,,248,51899
,,,249,51899
,,,250,51899
,,,251,51899
,,,252,51899
,,,253,51899
,,,254,51899
,,,255,51899
,,,256,51899
,,,257,51899
,,,258,51899
,,,259,51899
,,,260,51899
,,,261,51899
,,,262,51899
,,,263,51899
,,,264,51899
,,,265,51899
,,,266,51899
,,,267,51899
,,,268,51899
,,,269,51899
,,,270,51899
,,,271,51899
,,,272,51899
,,,273,51899
,,,274,51899
,,,275,51899
,,,276,51899
,,,277,51899
,,,278,51899
,,,279,51899
,,,280,51899
,,,281,51899
,,,282,51899
,,,283,51899
,,,284,51899
,,,285,51899
,,,286,51899
,,,287,51899
,,,288,51899
,,,289,51899
,,,290,51899
,,,291,51899
,,,292,51899
,,,293,51899
,,,294,51899
