,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions
Zone,1,2,3
AnnualSum,118049.68873318903,26621.677670757912,9998.761721473973
t1,702.6767186499347,158.53379513347153,59.51643881829748
t2,702.6767186499347,158.53379513347153,59.51643881829748
t3,702.6767186499347,158.53379513347153,59.51643881829748
t4,702.6767186499347,158.53379513347153,59.51643881829748
t5,702.6767186499347,158.53379513347153,59.51643881829748
t6,702.6767186499347,158.53379513347153,59.51643881829748
t7,702.6767186499347,158.53379513347153,59.51643881829748
t8,702.6767186499347,158.53379513347153,59.51643881829748
t9,702.6767186499347,158.53379513347153,59.51643881829748
t10,702.6767186499347,158.53379513347153,59.51643881829748
t11,702.6767186499347,158.53379513347153,59.51643881829748
t12,702.6767186499347,158.53379513347153,59.51643881829748
t13,702.6767186499347,158.53379513347153,59.51643881829748
t14,702.6767186499347,158.53379513347153,59.51643881829748
t15,702.6767186499347,158.53379513347153,59.51643881829748
t16,702.6767186499347,158.53379513347153,59.51643881829748
t17,702.6767186499347,158.53379513347153,59.51643881829748
t18,702.6767186499347,158.53379513347153,59.51643881829748
t19,702.6767186499347,158.53379513347153,59.51643881829748
t20,702.6767186499347,158.53379513347153,59.51643881829748
t21,702.6767186499347,158.53379513347153,59.51643881829748
t22,702.6767186499347,158.53379513347153,59.51643881829748
t23,702.6767186499347,158.53379513347153,59.51643881829748
t24,702.6767186499347,158.53379513347153,59.51643881829748
t25,702.6767186499347,158.53379513347153,59.51643881829748
t26,702.6767186499347,158.53379513347153,59.51643881829748
t27,702.6767186499347,158.53379513347153,59.51643881829748
t28,702.6767186499347,158.53379513347153,59.51643881829748
t29,702.6767186499347,158.53379513347153,59.51643881829748
t30,702.6767186499347,158.53379513347153,59.51643881829748
t31,702.6767186499347,158.53379513347153,59.51643881829748
t32,702.6767186499347,158.53379513347153,59.51643881829748
t33,702.6767186499347,158.53379513347153,59.51643881829748
t34,702.6767186499347,158.53379513347153,59.51643881829748
t35,702.6767186499347,158.53379513347153,59.51643881829748
t36,702.6767186499347,158.53379513347153,59.51643881829748
t37,702.6767186499347,158.53379513347153,59.51643881829748
t38,702.6767186499347,158.53379513347153,59.51643881829748
t39,702.6767186499347,158.53379513347153,59.51643881829748
t40,702.6767186499347,158.53379513347153,59.51643881829748
t41,702.6767186499347,158.53379513347153,59.51643881829748
t42,702.6767186499347,158.53379513347153,59.51643881829748
t43,702.6767186499347,158.53379513347153,59.51643881829748
t44,702.6767186499347,158.53379513347153,59.51643881829748
t45,702.6767186499347,158.53379513347153,59.51643881829748
t46,702.6767186499347,158.53379513347153,59.51643881829748
t47,702.6767186499347,158.53379513347153,59.51643881829748
t48,702.6767186499347,158.53379513347153,59.51643881829748
t49,702.6767186499347,158.53379513347153,59.51643881829748
