,Power Consumption,Power Consumption,Power Consumption
Zone,1,2,3
AnnualSum,131580.1307912008,29672.961169059774,11144.784786643084
t1,783.2150642333381,176.70438374161472,66.33800468239934
t2,783.2150642333381,176.70438374161472,66.33800468239934
t3,783.2150642333381,176.70438374161472,66.33800468239934
t4,783.2150642333381,176.70438374161472,66.33800468239934
t5,783.2150642333381,176.70438374161472,66.33800468239934
t6,783.2150642333378,176.70438374161472,66.33800468239934
t7,783.2150642333378,176.70438374161472,66.33800468239934
t8,783.2150642333378,176.70438374161472,66.33800468239934
t9,783.2150642333378,176.70438374161472,66.33800468239934
t10,783.2150642333378,176.70438374161472,66.33800468239934
t11,783.2150642333378,176.70438374161472,66.33800468239934
t12,783.2150642333378,176.70438374161472,66.33800468239934
t13,783.2150642333378,176.70438374161472,66.33800468239934
t14,783.2150642333378,176.70438374161472,66.33800468239934
t15,783.2150642333378,176.70438374161472,66.33800468239934
t16,783.2150642333378,176.70438374161472,66.33800468239934
t17,783.2150642333378,176.70438374161472,66.33800468239934
t18,783.2150642333378,176.70438374161472,66.33800468239934
t19,783.2150642333378,176.70438374161472,66.33800468239934
t20,783.2150642333378,176.70438374161472,66.33800468239934
t21,783.2150642333378,176.70438374161472,66.33800468239934
t22,783.2150642333378,176.70438374161472,66.33800468239934
t23,783.2150642333381,176.70438374161472,66.33800468239934
t24,783.2150642333381,176.70438374161472,66.33800468239934
t25,783.2150642333381,176.70438374161472,66.33800468239934
t26,783.2150642333381,176.70438374161472,66.33800468239934
t27,783.2150642333381,176.70438374161472,66.33800468239934
t28,783.2150642333381,176.70438374161472,66.33800468239934
t29,783.2150642333381,176.70438374161472,66.33800468239934
t30,783.2150642333378,176.70438374161472,66.33800468239934
t31,783.2150642333378,176.70438374161472,66.33800468239934
t32,783.2150642333378,176.70438374161472,66.33800468239934
t33,783.2150642333378,176.70438374161472,66.33800468239934
t34,783.2150642333378,176.70438374161472,66.33800468239934
t35,783.2150642333378,176.70438374161472,66.33800468239934
t36,783.2150642333378,176.70438374161472,66.33800468239934
t37,783.2150642333378,176.70438374161472,66.33800468239934
t38,783.2150642333378,176.70438374161472,66.33800468239934
t39,783.2150642333378,176.70438374161472,66.33800468239934
t40,783.2150642333378,176.70438374161472,66.33800468239934
t41,783.2150642333378,176.70438374161472,66.33800468239934
t42,783.2150642333378,176.70438374161472,66.33800468239934
t43,783.2150642333378,176.70438374161472,66.33800468239934
t44,783.2150642333378,176.70438374161472,66.33800468239934
t45,783.2150642333378,176.70438374161472,66.33800468239934
t46,783.2150642333381,176.70438374161472,66.33800468239934
t47,783.2150642333381,176.70438374161472,66.33800468239934
t48,783.2150642333381,176.70438374161472,66.33800468239934
t49,783.2150642333381,176.70438374161472,66.33800468239934
t50,783.2150642333372,176.70438374161472,66.33800468239934
t51,783.2150642333381,176.70438374161472,66.33800468239934
t52,783.2150642333381,176.70438374161472,66.33800468239934
t53,783.2150642333381,176.70438374161472,66.33800468239934
t54,783.2150642333372,176.70438374161472,66.33800468239934
t55,783.2150642333378,176.70438374161472,66.33800468239934
t56,783.2150642333378,176.70438374161472,66.33800468239934
t57,783.2150642333378,176.70438374161472,66.33800468239934
t58,783.2150642333378,176.70438374161472,66.33800468239934
t59,783.2150642333378,176.70438374161472,66.33800468239934
t60,783.2150642333378,176.70438374161472,66.33800468239934
t61,783.2150642333378,176.70438374161472,66.33800468239934
t62,783.2150642333378,176.70438374161472,66.33800468239934
t63,783.2150642333378,176.70438374161472,66.33800468239934
t64,783.2150642333378,176.70438374161472,66.33800468239934
t65,783.2150642333378,176.70438374161472,66.33800468239934
t66,783.2150642333378,176.70438374161472,66.33800468239934
t67,783.2150642333378,176.70438374161472,66.33800468239934
t68,783.2150642333378,176.70438374161472,66.33800468239934
t69,783.2150642333381,163.32908421012462,66.33800468239934
t70,783.2150642333381,176.70438374161472,66.33800468239934
t71,783.2150642333381,176.70438374161472,66.33800468239934
t72,783.2150642333381,176.70438374161472,66.33800468239934
t73,783.2150642333372,176.70438374161472,66.33800468239934
t74,783.2150642333381,176.70438374161472,66.33800468239934
t75,783.2150642333381,176.70438374161472,66.33800468239934
t76,783.2150642333381,176.70438374161472,66.33800468239934
t77,783.2150642333381,176.70438374161472,66.33800468239934
t78,783.2150642333378,176.70438374161472,66.33800468239934
t79,783.2150642333378,176.70438374161472,66.33800468239934
t80,783.2150642333378,176.70438374161472,66.33800468239934
t81,783.2150642333378,176.70438374161472,66.33800468239934
t82,783.2150642333378,176.70438374161472,66.33800468239934
t83,783.2150642333378,176.70438374161472,66.33800468239934
t84,783.2150642333378,176.70438374161472,66.33800468239934
t85,783.2150642333378,176.70438374161472,66.33800468239934
t86,783.2150642333378,176.70438374161472,66.33800468239934
t87,783.2150642333378,176.70438374161472,66.33800468239934
t88,783.2150642333378,176.70438374161472,66.33800468239934
t89,783.2150642333378,176.70438374161472,66.33800468239934
t90,783.2150642333378,176.70438374161472,66.33800468239934
t91,783.2150642333378,176.70438374161472,66.33800468239934
t92,783.2150642333378,176.70438374161472,66.33800468239934
t93,783.2150642333381,176.70438374161472,66.33800468239934
t94,783.2150642333381,176.70438374161472,66.33800468239934
t95,783.2150642333381,176.70438374161472,66.33800468239934
t96,783.2150642333381,176.70438374161472,66.33800468239934
t97,783.2150642333381,176.70438374161472,66.33800468239934
t98,783.2150642333381,176.70438374161472,66.33800468239934
t99,783.2150642333381,176.70438374161472,66.33800468239934
t100,783.2150642333381,176.70438374161472,66.33800468239934
t101,783.2150642333381,176.70438374161472,66.33800468239934
